config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0015894753159955144,0.004473434295505285,0.08055770397186279,0.8136887254901961,0.00897960551083088,-0.003692361991852522,2585,0.004400910809636116,-0.0015556307043880224,160615
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.002434230875223875,0.006072707008570433,0.10568535327911377,0.9998345588235295,0.012784931808710098,-0.00721938768401742,2585,0.005964677780866623,-0.00235721655189991,160615
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.001852083601988852,0.005439010448753834,0.127036452293396,0.9596200980392157,0.011832067742943764,-0.006295925471931696,2585,0.00533611886203289,-0.0017805624520406127,160615
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.011212068609893322,0.012738221324980259,0.14445051550865173,0.9997365196078432,0.027381589636206627,-0.02504277229309082,2585,0.012502545490860939,-0.010989471338689327,160615
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.011322665959596634,0.012833498418331146,0.17396605014801025,0.9985600490196078,0.02587924525141716,-0.023388497531414032,2585,0.012623532675206661,-0.011128474958240986,160615
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.011774430051445961,0.01326969638466835,0.16386985778808594,0.999093137254902,0.02719932049512863,-0.024982867762446404,2585,0.013045509345829487,-0.011561846360564232,160615
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0014716748846694827,0.00412560673430562,0.09416463971138,0.8081740196078432,0.008185775019228458,-0.004438257310539484,2585,0.0040602609515190125,-0.0014239295851439238,160615
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.0023582996800541878,0.005705853458493948,0.11102530360221863,0.999797794117647,0.01237751916050911,-0.008295751176774502,2585,0.005598477553576231,-0.0022627406287938356,160615
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0018198983743786812,0.005117262247949839,0.11655518412590027,0.9604901960784313,0.011881010606884956,-0.007181101944297552,2585,0.005008404143154621,-0.0017336133169010282,160615
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.010581458918750286,0.011911572888493538,0.13387787342071533,0.9997671568627451,0.025909192860126495,-0.023900888860225677,2585,0.011686291545629501,-0.010367090813815594,160615
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.010782415047287941,0.012124891392886639,0.16800791025161743,0.998639705882353,0.024798182770609856,-0.022662857547402382,2585,0.011920924298465252,-0.010591205209493637,160615
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.011184578761458397,0.012498762458562851,0.15121512115001678,0.9991360294117647,0.02540309727191925,-0.02338903211057186,2585,0.012291074730455875,-0.010988154448568821,160615
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.005338713526725769,0.006151238456368446,0.13868173956871033,0.771109068627451,0.010720928199589252,-0.01015960518270731,2585,0.006077691912651062,-0.005261124111711979,160615
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.009529140777885914,0.010670064017176628,0.170803964138031,0.9999264705882352,0.02249635010957718,-0.021819911897182465,2585,0.010479726828634739,-0.00933132879436016,160615
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.007949483580887318,0.009092498570680618,0.170803964138031,0.9523529411764706,0.019936736673116684,-0.019306370988488197,2585,0.008917967788875103,-0.007766702212393284,160615
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.03469977155327797,0.03476725146174431,0.2141265869140625,0.9998161764705882,0.04747513309121132,-0.04739098623394966,2585,0.03456272557377815,-0.034495510160923004,160615
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.03411582112312317,0.03418664261698723,0.20759744942188263,0.9986458333333333,0.049620289355516434,-0.04945044219493866,2585,0.03393825516104698,-0.033869024366140366,160615
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.035714585334062576,0.03576932102441788,0.19436274468898773,0.999093137254902,0.05055246874690056,-0.05048650503158569,2585,0.03553139790892601,-0.035476841032505035,160615
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.0013196623185649514,0.0039431084878742695,0.10790903866291046,0.7994424019607843,0.007689469959586859,-0.003864890430122614,2585,0.003882813733071089,-0.001278698444366455,160615
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.002096765208989382,0.005426088813692331,0.08574865013360977,0.9997732843137255,0.011451245285570621,-0.00724228098988533,2585,0.005329118575900793,-0.002013951074331999,160615
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0016672577476128936,0.00490642711520195,0.09613124281167984,0.959295343137255,0.010759220458567142,-0.006164698861539364,2585,0.004812230356037617,-0.0015948740765452385,160615
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.009389864280819893,0.010967658832669258,0.12831273674964905,0.9997732843137255,0.023743057623505592,-0.021370792761445045,2585,0.0107620470225811,-0.009197036735713482,160615
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.009369546547532082,0.010958278551697731,0.12190655618906021,0.998547794117647,0.02241821214556694,-0.019870325922966003,2585,0.010773836635053158,-0.009200544096529484,160615
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.009802590124309063,0.011358009651303291,0.13887426257133484,0.9991544117647059,0.02333756536245346,-0.02099987305700779,2585,0.01116520632058382,-0.009622376412153244,160615
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.006564530078321695,0.007502594962716103,0.17967930436134338,0.7688970588235294,0.01282560732215643,-0.01228585746139288,2585,0.007416922599077225,-0.006472448352724314,160615
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.012037217617034912,0.013384494930505753,0.22773860394954681,0.9999264705882352,0.029172983020544052,-0.028471603989601135,2585,0.013130388222634792,-0.011772715486586094,160615
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.010021558031439781,0.011358111165463924,0.22773860394954681,0.9533517156862745,0.025165630504488945,-0.024515395984053612,2585,0.011135888285934925,-0.009788289666175842,160615
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.04334109276533127,0.04341858625411987,0.28190234303474426,0.9998406862745098,0.05907171964645386,-0.059020452201366425,2585,0.04316665604710579,-0.04308874532580376,160615
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.0426635816693306,0.042744800448417664,0.24041655659675598,0.9985539215686274,0.06176399067044258,-0.06169930472970009,2585,0.042438700795173645,-0.04235721752047539,160615
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.04465087503194809,0.04471302777528763,0.25945982336997986,0.9991115196078432,0.06320313364267349,-0.06317165493965149,2585,0.0444154366850853,-0.04435279592871666,160615
