method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9905580359254879,0.5589928099236725,0.9192,0.9576737952018346,0.9099526066350712
S,0.9944100047743167,0.6310923019188628,0.9558000000000001,0.9779248412382602,0.9183673469387755
C,0.991719340275958,0.6306471874071153,0.9338,0.9666762509464134,0.9191919191919193
A1_J,0.994285377526001,0.6385359109121691,0.9598,0.9809211430466536,0.9170731707317075
TRI_J,0.9945573153662983,0.6459109315152971,0.9566000000000001,0.9788787124972951,0.9246231155778895
BAL_J,0.995119060261744,0.6608855799409004,0.9653999999999999,0.9835147929529564,0.9333333333333333
DUP_J,0.9933799269012953,0.61497581974696,0.9494,0.9752852656896632,0.9134615384615385
DUP_BAL_J,0.994285377526001,0.6385359109121691,0.9598,0.9809211430466536,0.9170731707317075
DUP_EXPECTED_J,0.9933799269012953,0.61497581974696,0.9494,0.9752852656896632,0.9134615384615385
A1_L,0.9943319069031982,0.6368674731036654,0.9578,0.9786756740623617,0.9245283018867924
DUP_L,0.9930802262695463,0.6059688552715368,0.938,0.9675841236694538,0.9174311926605504
TRI_L,0.9950477753390107,0.6525619146953269,0.971,0.9857383558353685,0.9411764705882353
BAL_L,0.9956866346756336,0.6732366949352859,0.9803999999999999,0.9906377165879067,0.9447236180904524
