method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9724600570934624,0.1546427199990169,0.9404,0.9466702770152757,0.892156862745098
S,0.9712734569190796,0.10004954406489326,0.8913,0.889023879111856,0.8198198198198198
C,0.9875706272024578,0.1967780710665858,0.7575999999999999,0.7798448755661362,0.7148936170212766
A1_J,0.986649807478443,0.2100551391374504,0.9649,0.966727093524938,0.916256157635468
TRI_J,0.9788669859305397,0.1944228027721204,0.9435000000000001,0.9468739521485733,0.8899521531100477
BAL_J,0.9843648618135555,0.2146895682759213,0.9626,0.9615471172729371,0.9142857142857144
DUP_J,0.9822873912766094,0.18994443380416942,0.9564,0.9606989103557815,0.9064039408866995
DUP_BAL_J,0.986649807478443,0.2100551391374504,0.9649,0.966727093524938,0.916256157635468
DUP_EXPECTED_J,0.9822873912766094,0.18994443380416942,0.9564,0.9606989103557815,0.9064039408866995
A1_L,0.9880732363761914,0.2262770995969592,0.959,0.9657682795104282,0.9170731707317075
DUP_L,0.9827633629850724,0.19740525200108144,0.951,0.9585945898570867,0.9029126213592233
TRI_L,0.9850907722253566,0.20239480431866935,0.9428,0.9459380495550752,0.8878504672897196
BAL_L,0.9893741892265486,0.2304124058654733,0.9499,0.9526875283567167,0.8899521531100477
