method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9872520989354614,0.3416835806215558,0.9183,0.9018105979342911,0.8720379146919431
S,0.9906756135506974,0.31855689309855584,0.904,0.8925060557412321,0.8558139534883721
C,0.9851996623486207,0.1764477433610717,0.9313999999999999,0.9370054394237046,0.88
A1_J,0.9888499031763863,0.3063851302712445,0.9404000000000001,0.937663686231774,0.871559633027523
TRI_J,0.9888906292785583,0.3316955274082088,0.9297,0.9278735332856702,0.869158878504673
BAL_J,0.9892703247355583,0.3020717064361211,0.9403,0.9413276509449133,0.8780487804878048
DUP_J,0.988345002358581,0.33003577828642056,0.9313,0.9250742716603177,0.8651162790697675
DUP_BAL_J,0.9888499031763863,0.3063851302712445,0.9404000000000001,0.937663686231774,0.871559633027523
DUP_EXPECTED_J,0.988345002358581,0.33003577828642056,0.9313,0.9250742716603177,0.8651162790697675
A1_L,0.9903791751541794,0.28678527226618705,0.9412999999999999,0.9318154512325194,0.88
DUP_L,0.989277134454692,0.3106762486338795,0.9326,0.9208090122133396,0.8792270531400966
TRI_L,0.9915829880631243,0.3104908570716374,0.9311999999999999,0.9252222526906819,0.8727272727272728
BAL_L,0.9922113439617406,0.28335292097333864,0.9394,0.9360971898540977,0.8807339449541285
