method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9771195409751535,0.4202921128310164,0.9555,0.9744971705475125,0.919431279620853
S,0.9758542661812942,0.35225239184961543,0.9561666666666667,0.9685137430245911,0.9500000000000001
C,0.9456673843128119,0.19017813444975906,0.8448333333333333,0.895195321724195,0.8392857142857143
A1_J,0.9780396632862071,0.42624630212493464,0.976,0.9861227672948047,0.9339622641509434
TRI_J,0.9765629417324919,0.40525523151215326,0.9769999999999999,0.9834826822988261,0.9702970297029702
BAL_J,0.9764816650242119,0.3995756258035411,0.9815,0.9875186479863484,0.9751243781094527
DUP_J,0.9782326183527991,0.43181206489985136,0.9703333333333334,0.9827410742492877,0.927536231884058
DUP_BAL_J,0.9780396632862071,0.42624630212493464,0.976,0.9861227672948047,0.9339622641509434
DUP_EXPECTED_J,0.9782326183527991,0.43181206489985136,0.9703333333333334,0.9827410742492877,0.927536231884058
A1_L,0.978778893683474,0.4154078066525998,0.9776666666666667,0.9866765807452722,0.9509803921568627
DUP_L,0.9781981290598606,0.42104335549597066,0.97,0.982185862654116,0.9365853658536586
TRI_L,0.9795090614482884,0.4045272992521674,0.9836666666666667,0.9897242787976619,0.9611650485436893
BAL_L,0.9798516013175986,0.3976595957844459,0.9838333333333333,0.9898879741838894,0.9611650485436893
