method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9891024508052629,0.45118343632572444,0.9762000000000001,0.988832096141615,0.9365853658536586
S,0.9917051811040164,0.46948596832799,0.9843999999999999,0.9921215290090346,0.9552238805970149
C,0.9909708369681715,0.6015933935513567,0.9868,0.9931577645526432,0.9751243781094527
A1_J,0.9924292774393602,0.5151101872859715,0.9958,0.9979640593099892,0.9849246231155778
TRI_J,0.9924520460236453,0.5042922353418994,0.9946,0.9973077415700073,0.9753694581280788
BAL_J,0.9931592686402313,0.5263827981974927,0.9972000000000001,0.9986124716764284,0.9803921568627451
DUP_J,0.9914702400308895,0.49088773823850984,0.9924,0.9964107421391357,0.9705882352941176
DUP_BAL_J,0.9924292774393602,0.5151101872859715,0.9958,0.9979640593099892,0.9849246231155778
DUP_EXPECTED_J,0.9914702400308895,0.49088773823850984,0.9924,0.9964107421391357,0.9705882352941176
A1_L,0.9924729201407322,0.5173451366973331,0.9964000000000001,0.9983039961592981,0.9849246231155778
DUP_L,0.9914078802316217,0.4909507611931304,0.9907999999999999,0.9956199452946747,0.97
TRI_L,0.9926521684064876,0.5060463782174588,0.9965999999999999,0.9983354871888596,0.9850746268656716
BAL_L,0.9933049262159293,0.528957220732872,0.9986,0.9993163547123943,0.9850746268656716
