dataset,seed,shot,category,group,method,pixel_ap,n_images,n_abnormal
mvtec,0,1,bottle,large,B,0.8032081594976431,80,60
mvtec,0,1,bottle,large,S,0.8421174255845609,80,60
mvtec,0,1,bottle,large,C,0.6764808549190987,80,60
mvtec,0,1,bottle,large,A1_J,0.8214934777711362,80,60
mvtec,0,1,bottle,large,TRI_J,0.842046801379944,80,60
mvtec,0,1,bottle,large,BAL_J,0.8416764492183284,80,60
mvtec,0,1,bottle,large,DUP_J,0.8170152483412245,80,60
mvtec,0,1,bottle,large,DUP_BAL_J,0.8214934777711362,80,60
mvtec,0,1,bottle,large,DUP_EXPECTED_J,0.8170152483412245,80,60
mvtec,0,1,bottle,large,A1_L,0.8179472927174825,80,60
mvtec,0,1,bottle,large,DUP_L,0.813812871674334,80,60
mvtec,0,1,bottle,large,TRI_L,0.8393135893337003,80,60
mvtec,0,1,bottle,large,BAL_L,0.8384871177070621,80,60
mvtec,0,1,cable,large,B,0.597127397310638,143,85
mvtec,0,1,cable,large,S,0.6328563505161232,143,85
mvtec,0,1,cable,large,C,0.3815573447237786,143,85
mvtec,0,1,cable,large,A1_J,0.6269455634054656,143,85
mvtec,0,1,cable,large,TRI_J,0.6450569803597167,143,85
mvtec,0,1,cable,large,BAL_J,0.6460447615504277,143,85
mvtec,0,1,cable,large,DUP_J,0.6211964372818156,143,85
mvtec,0,1,cable,large,DUP_BAL_J,0.6269455634054656,143,85
mvtec,0,1,cable,large,DUP_EXPECTED_J,0.6211964372818156,143,85
mvtec,0,1,cable,large,A1_L,0.6147079457632776,143,85
mvtec,0,1,cable,large,DUP_L,0.6108376051001463,143,85
mvtec,0,1,cable,large,TRI_L,0.6419766515026237,143,85
mvtec,0,1,cable,large,BAL_L,0.6418069568890848,143,85
mvtec,0,1,capsule,small,B,0.515501365482216,101,78
mvtec,0,1,capsule,small,S,0.5281271821264194,101,78
mvtec,0,1,capsule,small,C,0.3959159967058722,101,78
mvtec,0,1,capsule,small,A1_J,0.5447139834551683,101,78
mvtec,0,1,capsule,small,TRI_J,0.5829833482875494,101,78
