dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,1,toothbrush,B,1,0.9892553554216786,0.5063641910898409,0.9249999999999999,0.970783314686843
mvtec,0,1,toothbrush,S,1,0.9916808047770319,0.5889682821348722,0.9805555555555555,0.9924792578574559
mvtec,0,1,toothbrush,C,1,0.9770132946645165,0.5530917881870289,0.8638888888888889,0.9492154416073089
mvtec,0,1,toothbrush,A1_J,1,0.991095939302186,0.599538864036079,0.9861111111111112,0.9949673202614379
mvtec,0,1,toothbrush,TRI_J,1,0.9923028524498557,0.6056797786473033,0.9944444444444445,0.9979166666666667
mvtec,0,1,toothbrush,BAL_J,1,0.9920151180889267,0.6235109991864088,0.9944444444444445,0.9979166666666667
mvtec,0,1,toothbrush,DUP_J,1,0.9907742074985308,0.567163719950652,0.9805555555555556,0.9926274187836054
mvtec,0,1,toothbrush,DUP_BAL_J,1,0.991095939302186,0.599538864036079,0.9861111111111112,0.9949673202614379
mvtec,0,1,toothbrush,DUP_EXPECTED_J,1,0.9907742074985308,0.567163719950652,0.9805555555555556,0.9926274187836054
mvtec,0,1,toothbrush,A1_L,1,0.9912712911633309,0.6162458083026124,0.9916666666666667,0.9968055555555555
mvtec,0,1,toothbrush,DUP_L,1,0.9908588861856356,0.5764487399690735,0.9861111111111112,0.9946167037449017
mvtec,0,1,toothbrush,TRI_L,1,0.9925649269866482,0.6222383692186132,0.9944444444444445,0.9979166666666667
mvtec,0,1,toothbrush,BAL_L,1,0.9923278942078598,0.6460162496551065,0.9944444444444445,0.9979166666666667
