dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,2,metal_nut,B,1,0.9607194521547254,0.748224385425674,0.9887585532746823,0.997517561358385
mvtec,0,2,metal_nut,S,1,0.9702783329870455,0.7522178792909608,0.998533724340176,0.9996531123520238
mvtec,0,2,metal_nut,C,1,0.9608180073667945,0.7760936402445419,0.979960899315738,0.995293161917427
mvtec,0,2,metal_nut,A1_J,1,0.9700635019092376,0.7950426796675605,0.9975562072336266,0.9994409698755472
mvtec,0,2,metal_nut,TRI_J,1,0.9704778996536622,0.7858139474865549,1.0,1.0
mvtec,0,2,metal_nut,BAL_J,1,0.9729883226337193,0.8021406612584977,1.0,1.0
mvtec,0,2,metal_nut,DUP_J,1,0.9668310923945893,0.7781262830605206,0.9965786901270772,0.9992188961123365
mvtec,0,2,metal_nut,DUP_BAL_J,1,0.9700635019092376,0.7950426796675605,0.9975562072336266,0.9994409698755472
mvtec,0,2,metal_nut,DUP_EXPECTED_J,1,0.9668310923945893,0.7781262830605206,0.9965786901270772,0.9992188961123365
mvtec,0,2,metal_nut,A1_L,1,0.9734539720296569,0.8046586187544913,0.998533724340176,0.9996580073145055
mvtec,0,2,metal_nut,DUP_L,1,0.9691747173463812,0.7835821048217125,0.9970674486803519,0.9993357731576848
mvtec,0,2,metal_nut,TRI_L,1,0.9753542054613239,0.8015056963362134,1.0,1.0
mvtec,0,2,metal_nut,BAL_L,1,0.9780356111586845,0.8185800644535387,1.0,1.0
