dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,4,pill,B,1,0.9347653021119415,0.5845101443834468,0.9345335515548281,0.9876114243525133
mvtec,0,4,pill,S,1,0.9700986239870499,0.6978040456356028,0.9443535188216039,0.9868415918807363
mvtec,0,4,pill,C,1,0.9728341074939232,0.6702564093810562,0.9277141298417894,0.9780555601038322
mvtec,0,4,pill,A1_J,1,0.9563096442907886,0.6611279842646766,0.9609929078014184,0.9929191453080619
mvtec,0,4,pill,TRI_J,1,0.9608199656810091,0.6830920900434259,0.9645390070921985,0.9929122525308534
mvtec,0,4,pill,BAL_J,1,0.9648340499697183,0.7034853879476937,0.9659028914348063,0.9932381746452805
mvtec,0,4,pill,DUP_J,1,0.9494628360590727,0.6337716598026442,0.9569012547735951,0.992137057329522
mvtec,0,4,pill,DUP_BAL_J,1,0.9563096442907886,0.6611279842646766,0.9609929078014184,0.9929191453080619
mvtec,0,4,pill,DUP_EXPECTED_J,1,0.9494628360590727,0.6337716598026442,0.9569012547735951,0.992137057329522
mvtec,0,4,pill,A1_L,1,0.9617577005806422,0.6663527988055545,0.9659028914348063,0.993783981092418
mvtec,0,4,pill,DUP_L,1,0.9523519740737284,0.6345094160246562,0.9541734860883797,0.9914568945706757
mvtec,0,4,pill,TRI_L,1,0.9681008402569101,0.6926828765707078,0.9609929078014185,0.9920704055392304
mvtec,0,4,pill,BAL_L,1,0.9732053163626663,0.7142570487604964,0.9659028914348063,0.9929426645178767
