dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,8,capsule,B,1,0.9819333811802275,0.5502785175717255,0.9597128041483846,0.9894431286015413
mvtec,0,8,capsule,S,1,0.9875829362301389,0.5209609277073736,0.9637016354208217,0.9916043537740584
mvtec,0,8,capsule,C,1,0.9859759013982211,0.4487618426033383,0.9621061029118468,0.9919110207620545
mvtec,0,8,capsule,A1_J,1,0.9870482311363814,0.5596969584652441,0.9680893498205025,0.9920565815742373
mvtec,0,8,capsule,TRI_J,1,0.9875250331524004,0.5581014484255984,0.9684882329477464,0.9921722574715759
mvtec,0,8,capsule,BAL_J,1,0.9881414887293496,0.5555236839875818,0.9696848823294775,0.992424288922681
mvtec,0,8,capsule,DUP_J,1,0.9859975883451582,0.560504201290184,0.962106102911847,0.990476888699767
mvtec,0,8,capsule,DUP_BAL_J,1,0.9870482311363814,0.5596969584652441,0.9680893498205025,0.9920565815742373
mvtec,0,8,capsule,DUP_EXPECTED_J,1,0.9859975883451582,0.560504201290184,0.962106102911847,0.990476888699767
mvtec,0,8,capsule,A1_L,1,0.9881094586625397,0.5608624991514795,0.9744714798564021,0.9937731566820812
mvtec,0,8,capsule,DUP_L,1,0.9862425265504503,0.5588752132000896,0.9668927004387715,0.9915713997613795
mvtec,0,8,capsule,TRI_L,1,0.9889939808882785,0.56043923897641,0.9736737136019147,0.9935807910260399
mvtec,0,8,capsule,BAL_L,1,0.9899236731239319,0.5602113656120165,0.9780614280015956,0.9947454540127652
