dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,0,8,transistor,B,1,0.917117341801588,0.4904376957798249,0.905,0.8660754007383256
mvtec,0,8,transistor,S,1,0.9355309269684507,0.5657516654651462,0.9033333333333333,0.8588267533547782
mvtec,0,8,transistor,C,1,0.8934635295477454,0.42037556902752843,0.9208333333333333,0.8845780889373209
mvtec,0,8,transistor,A1_J,1,0.9235858287818207,0.5025872771893779,0.9349999999999999,0.9096247367373298
mvtec,0,8,transistor,TRI_J,1,0.9250403933644599,0.5280475403414012,0.94625,0.9132283405796557
mvtec,0,8,transistor,BAL_J,1,0.9262603186066485,0.5257551957304544,0.9537500000000001,0.926252202933709
mvtec,0,8,transistor,DUP_J,1,0.9220371793227686,0.5008308493792857,0.9216666666666667,0.8945644927584391
mvtec,0,8,transistor,DUP_BAL_J,1,0.9235858287818207,0.5025872771893779,0.9349999999999999,0.9096247367373298
mvtec,0,8,transistor,DUP_EXPECTED_J,1,0.9220371793227686,0.5008308493792857,0.9216666666666667,0.8945644927584391
mvtec,0,8,transistor,A1_L,1,0.9318335697152336,0.512357819866238,0.9291666666666667,0.9007023567368793
mvtec,0,8,transistor,DUP_L,1,0.9264914514782727,0.5051280602219521,0.9191666666666666,0.8865289811964688
mvtec,0,8,transistor,TRI_L,1,0.9391885573418943,0.553388596101947,0.9433333333333332,0.9080336786238099
mvtec,0,8,transistor,BAL_L,1,0.9421072546104363,0.5540904993311105,0.9500000000000001,0.920503065366832
