dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,1,1,bottle,B,1,0.9840705595419696,0.7969515876251011,0.9888888888888888,0.9969523484423637
mvtec,1,1,bottle,S,1,0.9882970294770486,0.8291703129666237,0.996031746031746,0.9987705302605454
mvtec,1,1,bottle,C,1,0.9556054864132881,0.6747913297934033,0.9777777777777776,0.9941174779884456
mvtec,1,1,bottle,A1_J,1,0.9852072071617997,0.803155016788071,0.9928571428571429,0.9977505904365018
mvtec,1,1,bottle,TRI_J,1,0.9874739622865836,0.8211778612344102,0.9936507936507937,0.9979767324536886
mvtec,1,1,bottle,BAL_J,1,0.9873513770946136,0.8191281075553896,0.9944444444444444,0.9981765446147077
mvtec,1,1,bottle,DUP_J,1,0.9850137197541261,0.8026319746132863,0.9904761904761905,0.9971787585117662
mvtec,1,1,bottle,DUP_BAL_J,1,0.9852072071617997,0.803155016788071,0.9928571428571429,0.9977505904365018
mvtec,1,1,bottle,DUP_EXPECTED_J,1,0.9850137197541261,0.8026319746132863,0.9904761904761905,0.9971787585117662
mvtec,1,1,bottle,A1_L,1,0.9853511440257687,0.800271996697165,0.996031746031746,0.9987192514695127
mvtec,1,1,bottle,DUP_L,1,0.985017443840796,0.799930996755789,0.9944444444444445,0.9983248974619714
mvtec,1,1,bottle,TRI_L,1,0.9876962085809644,0.8201933772465793,0.9984126984126984,0.9995115995115993
mvtec,1,1,bottle,BAL_L,1,0.9876514873601197,0.8176973123396178,0.9976190476190476,0.9992440151090303
