dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,1,4,cable,B,1,0.9433426171509631,0.5858585243981146,0.9156671664167916,0.9550249656110962
mvtec,1,4,cable,S,1,0.9652646477559413,0.6468268386286049,0.9006746626686657,0.9433412905363312
mvtec,1,4,cable,C,1,0.9276994836774763,0.4055894282858175,0.9091079460269864,0.9478220746079982
mvtec,1,4,cable,A1_J,1,0.9673847353991185,0.6244760777968358,0.9349700149925038,0.9659906580179872
mvtec,1,4,cable,TRI_J,1,0.9701532813950577,0.65121220810011,0.9250374812593702,0.9607004666127708
mvtec,1,4,cable,BAL_J,1,0.9742415194268197,0.6550174866124061,0.9366566716641679,0.9657803470510706
mvtec,1,4,cable,DUP_J,1,0.9606896634305534,0.6147324312478837,0.9257871064467766,0.9606792792231302
mvtec,1,4,cable,DUP_BAL_J,1,0.9673847353991185,0.6244760777968358,0.9349700149925038,0.9659906580179872
mvtec,1,4,cable,DUP_EXPECTED_J,1,0.9606896634305534,0.6147324312478837,0.9257871064467766,0.9606792792231302
mvtec,1,4,cable,A1_L,1,0.9650512264665291,0.6084296906257659,0.9424662668665666,0.968266752266589
mvtec,1,4,cable,DUP_L,1,0.9579034077549672,0.6019284223361311,0.9302848575712145,0.9626535332098995
mvtec,1,4,cable,TRI_L,1,0.9695410563224505,0.6452261094378728,0.9239130434782609,0.9604170245107185
mvtec,1,4,cable,BAL_L,1,0.9735996764147736,0.6464695053685736,0.9362818590704647,0.9657407197658149
