dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,1,4,zipper,B,1,0.940467994048602,0.4034006600277155,0.990546218487395,0.9974643328556796
mvtec,1,4,zipper,S,1,0.9352084430532972,0.44688617810232667,0.9915966386554622,0.9979435062983413
mvtec,1,4,zipper,C,1,0.9449437524791106,0.4343910867005935,0.9422268907563025,0.9846949660737483
mvtec,1,4,zipper,A1_J,1,0.9450376031446905,0.4497106978811099,0.9910714285714286,0.997697830337354
mvtec,1,4,zipper,TRI_J,1,0.9414944644280908,0.45709134227022186,0.9913340336134454,0.9979859401666713
mvtec,1,4,zipper,BAL_J,1,0.9440831550089358,0.4689711700869506,0.993172268907563,0.998248519746857
mvtec,1,4,zipper,DUP_J,1,0.9426045266135449,0.43377483140828343,0.990546218487395,0.9975794594004412
mvtec,1,4,zipper,DUP_BAL_J,1,0.9450376031446905,0.4497106978811099,0.9910714285714286,0.997697830337354
mvtec,1,4,zipper,DUP_EXPECTED_J,1,0.9426045266135449,0.43377483140828343,0.990546218487395,0.9975794594004412
mvtec,1,4,zipper,A1_L,1,0.9509521258788437,0.44976755714015776,0.990546218487395,0.9975414409802656
mvtec,1,4,zipper,DUP_L,1,0.9464543492956018,0.43192516200686376,0.9902836134453782,0.9974435794091827
mvtec,1,4,zipper,TRI_L,1,0.949766100213377,0.4634904726780615,0.9900210084033614,0.997650236220919
mvtec,1,4,zipper,BAL_L,1,0.9542341717844953,0.47768156618444707,0.9902836134453782,0.9977185280004407
