dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,2,1,carpet,B,1,0.9889029164712535,0.49061487343951843,1.0,1.0
mvtec,2,1,carpet,S,1,0.992691360589744,0.6331516994481827,0.9991974317817015,0.9997489093689069
mvtec,2,1,carpet,C,1,0.9863719870443216,0.5935513119789413,1.0,1.0
mvtec,2,1,carpet,A1_J,1,0.9916598098606437,0.5738638134155185,1.0,1.0
mvtec,2,1,carpet,TRI_J,1,0.9926360008926439,0.6134603029693241,1.0,1.0
mvtec,2,1,carpet,BAL_J,1,0.9930980817629133,0.6309713670531474,1.0,1.0
mvtec,2,1,carpet,DUP_J,1,0.9906745043423606,0.5401980021851044,1.0,1.0
mvtec,2,1,carpet,DUP_BAL_J,1,0.9916598098606437,0.5738638134155185,1.0,1.0
mvtec,2,1,carpet,DUP_EXPECTED_J,1,0.9906745043423606,0.5401980021851044,1.0,1.0
mvtec,2,1,carpet,A1_L,1,0.9915488806853537,0.5671438962186937,1.0,1.0
mvtec,2,1,carpet,DUP_L,1,0.9906182468497182,0.5353119034593009,1.0,1.0
mvtec,2,1,carpet,TRI_L,1,0.9926756036928293,0.6083674345002849,1.0,1.0
mvtec,2,1,carpet,BAL_L,1,0.9931364779461354,0.626583811678361,1.0,1.0
