dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,2,1,leather,B,1,0.9881796309564248,0.29193079469885275,1.0,1.0000000000000002
mvtec,2,1,leather,S,1,0.9917412897576698,0.3681346470105595,1.0,1.0000000000000002
mvtec,2,1,leather,C,1,0.9883619032155803,0.21948707601077788,1.0,1.0000000000000002
mvtec,2,1,leather,A1_J,1,0.9893160450584275,0.2597035814448777,1.0,1.0000000000000002
mvtec,2,1,leather,TRI_J,1,0.9908706080135288,0.3077173800292672,1.0,1.0000000000000002
mvtec,2,1,leather,BAL_J,1,0.9906344719095638,0.2808248662003702,1.0,1.0000000000000002
mvtec,2,1,leather,DUP_J,1,0.9890395760689524,0.2770721750435572,1.0,1.0000000000000002
mvtec,2,1,leather,DUP_BAL_J,1,0.9893160450584275,0.2597035814448777,1.0,1.0000000000000002
mvtec,2,1,leather,DUP_EXPECTED_J,1,0.9890395760689524,0.2770721750435572,1.0,1.0000000000000002
mvtec,2,1,leather,A1_L,1,0.9895672099834354,0.2668597546802956,1.0,1.0000000000000002
mvtec,2,1,leather,DUP_L,1,0.9891967761165936,0.2813769426523118,1.0,1.0000000000000002
mvtec,2,1,leather,TRI_L,1,0.9910122970023924,0.3124929697401903,1.0,1.0000000000000002
mvtec,2,1,leather,BAL_L,1,0.9909345040580025,0.29117265638827866,1.0,1.0000000000000002
