dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,2,4,grid,B,1,0.9943754540858604,0.5292969896539971,0.9991645781119465,0.9996975196612223
mvtec,2,4,grid,S,1,0.9920052519695923,0.4467010536550082,1.0,1.0000000000000002
mvtec,2,4,grid,C,1,0.944839983425205,0.26296545626010326,0.9782790309106099,0.992292993023334
mvtec,2,4,grid,A1_J,1,0.9939457923611376,0.4878604317293872,0.9983291562238931,0.9994052928932504
mvtec,2,4,grid,TRI_J,1,0.9938701784736229,0.4832369293547375,1.0,1.0000000000000002
mvtec,2,4,grid,BAL_J,1,0.9935125205720887,0.46750123234752317,1.0,1.0000000000000002
mvtec,2,4,grid,DUP_J,1,0.9942806728843133,0.5128387186017612,0.9983291562238931,0.9994052928932504
mvtec,2,4,grid,DUP_BAL_J,1,0.9939457923611376,0.4878604317293872,0.9983291562238931,0.9994052928932504
mvtec,2,4,grid,DUP_EXPECTED_J,1,0.9942806728843133,0.5128387186017612,0.9983291562238931,0.9994052928932504
mvtec,2,4,grid,A1_L,1,0.9942286618571182,0.5138622030720674,0.9983291562238931,0.9994052928932504
mvtec,2,4,grid,DUP_L,1,0.994436313559709,0.5296455041344529,0.9991645781119465,0.9996975196612223
mvtec,2,4,grid,TRI_L,1,0.9941789328667224,0.5013493873783048,1.0,1.0000000000000002
mvtec,2,4,grid,BAL_L,1,0.9938619715659459,0.48657264109109966,1.0,1.0000000000000002
