dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,2,4,hazelnut,B,1,0.9942261886113003,0.757423399641948,0.9953571428571428,0.9975529757043775
mvtec,2,4,hazelnut,S,1,0.9943872903952663,0.8162979506746365,0.9775,0.9888370829617519
mvtec,2,4,hazelnut,C,1,0.9817698079700556,0.5146971953295542,0.9832142857142857,0.9910159418639117
mvtec,2,4,hazelnut,A1_J,1,0.9942730953651605,0.7266345436984314,0.9978571428571428,0.9988721804511276
mvtec,2,4,hazelnut,TRI_J,1,0.9949345468676793,0.7768608467082192,0.9960714285714286,0.9979613925922595
mvtec,2,4,hazelnut,BAL_J,1,0.9946799385831679,0.7513464422249072,0.9992857142857142,0.9995947111238859
mvtec,2,4,hazelnut,DUP_J,1,0.9943620135149275,0.7422447132619454,0.9971428571428572,0.9985347985347983
mvtec,2,4,hazelnut,DUP_BAL_J,1,0.9942730953651605,0.7266345436984314,0.9978571428571428,0.9988721804511276
mvtec,2,4,hazelnut,DUP_EXPECTED_J,1,0.9943620135149275,0.7422447132619454,0.9971428571428572,0.9985347985347983
mvtec,2,4,hazelnut,A1_L,1,0.9943884792336902,0.72366278073022,0.9992857142857142,0.9996031746031744
mvtec,2,4,hazelnut,DUP_L,1,0.9944752037094844,0.740739821848041,0.9971428571428572,0.9985347985347983
mvtec,2,4,hazelnut,TRI_L,1,0.9952828939423319,0.7773833984701626,0.9985714285714286,0.9991920536330472
mvtec,2,4,hazelnut,BAL_L,1,0.9950138211846381,0.7506151543501515,0.9996428571428572,0.999798792756539
