dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
mvtec,2,8,tile,B,1,0.9595159185565911,0.5908834462388879,1.0,0.9999999999999998
mvtec,2,8,tile,S,1,0.9547336423815841,0.5762674442671356,1.0,0.9999999999999998
mvtec,2,8,tile,C,1,0.953253862132294,0.6470315048157667,0.9996392496392497,0.9998599439775908
mvtec,2,8,tile,A1_J,1,0.9662447389161544,0.6426934975041442,1.0,0.9999999999999998
mvtec,2,8,tile,TRI_J,1,0.9645710271335395,0.6222906501499154,1.0,0.9999999999999998
mvtec,2,8,tile,BAL_J,1,0.9664380225557745,0.639701880993483,1.0,0.9999999999999998
mvtec,2,8,tile,DUP_J,1,0.9639639951146348,0.6238159129992129,1.0,0.9999999999999998
mvtec,2,8,tile,DUP_BAL_J,1,0.9662447389161544,0.6426934975041442,1.0,0.9999999999999998
mvtec,2,8,tile,DUP_EXPECTED_J,1,0.9639639951146348,0.6238159129992129,1.0,0.9999999999999998
mvtec,2,8,tile,A1_L,1,0.9654881208296043,0.6320895451346318,1.0,0.9999999999999998
mvtec,2,8,tile,DUP_L,1,0.9634022165812646,0.6168101311995375,1.0,0.9999999999999998
mvtec,2,8,tile,TRI_L,1,0.9638299622798692,0.6165489722907872,1.0,0.9999999999999998
mvtec,2,8,tile,BAL_L,1,0.9655803529931342,0.6314676257050891,1.0,0.9999999999999998
