dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
visa,1,1,cashew,B,1,0.9762738044434786,0.4160882251712027,0.8072,0.89558109145667
visa,1,1,cashew,S,1,0.9853491029958791,0.46758067689677274,0.8952,0.9470139566957594
visa,1,1,cashew,C,1,0.9755581521637113,0.4744280055712683,0.8906000000000001,0.9406933921196381
visa,1,1,cashew,A1_J,1,0.9864474697657613,0.5244743028635588,0.8854000000000001,0.9469816449105878
visa,1,1,cashew,TRI_J,1,0.9875955010570447,0.518693288510649,0.8924,0.9530810290994662
visa,1,1,cashew,BAL_J,1,0.9888672117470745,0.547803466474795,0.9182,0.9642928906321104
visa,1,1,cashew,DUP_J,1,0.9842522136019797,0.48821724163602387,0.858,0.9301773177137522
visa,1,1,cashew,DUP_BAL_J,1,0.9864474697657613,0.5244743028635588,0.8854000000000001,0.9469816449105878
visa,1,1,cashew,DUP_EXPECTED_J,1,0.9842522136019797,0.48821724163602387,0.858,0.9301773177137522
visa,1,1,cashew,A1_L,1,0.9863978597454548,0.5163554915463523,0.875,0.9395161721542754
visa,1,1,cashew,DUP_L,1,0.9833918990426662,0.47553731110818526,0.8466,0.9219003860959127
visa,1,1,cashew,TRI_L,1,0.9884524016746584,0.5230927439199035,0.8948,0.9525341951040852
visa,1,1,cashew,BAL_L,1,0.9897336990954929,0.5547299394081838,0.9128,0.9613801076206777
