dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
visa,1,8,pipe_fryum,B,1,0.9884102145682607,0.43754957724829163,0.9676,0.9845158361497545
visa,1,8,pipe_fryum,S,1,0.9904814025445686,0.4384924358742561,0.9856,0.9934404558118364
visa,1,8,pipe_fryum,C,1,0.9911847527244196,0.5983794032049177,0.9782000000000001,0.9899128033064015
visa,1,8,pipe_fryum,A1_J,1,0.991974584099697,0.5054212984240979,0.9844,0.993286812376206
visa,1,8,pipe_fryum,TRI_J,1,0.9915543773993063,0.47771095087685694,0.9852,0.9939162379084572
visa,1,8,pipe_fryum,BAL_J,1,0.9923749536764569,0.5009458120670273,0.988,0.9949459696315789
visa,1,8,pipe_fryum,DUP_J,1,0.9909388151466141,0.4800857800297301,0.9776,0.9902621089139579
visa,1,8,pipe_fryum,DUP_BAL_J,1,0.991974584099697,0.5054212984240979,0.9844,0.993286812376206
visa,1,8,pipe_fryum,DUP_EXPECTED_J,1,0.9909388151466141,0.4800857800297301,0.9776,0.9902621089139579
visa,1,8,pipe_fryum,A1_L,1,0.9922093533897886,0.5088665094878384,0.9828000000000001,0.9928806338658672
visa,1,8,pipe_fryum,DUP_L,1,0.991006902265685,0.48068500089823063,0.9768000000000001,0.9897406791880936
visa,1,8,pipe_fryum,TRI_L,1,0.9920945264734241,0.4869703313541152,0.9868,0.9944320744470673
visa,1,8,pipe_fryum,BAL_L,1,0.9928686678914207,0.511177418842979,0.9898,0.9957889197890779
