dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
visa,2,1,pcb4,B,1,0.9072312223167454,0.2063436575868773,0.9599009900990099,0.9581030772040374
visa,2,1,pcb4,S,1,0.9449144136273032,0.17255720578265185,0.8914851485148515,0.8289681934104047
visa,2,1,pcb4,C,1,0.9560491999404045,0.1996737060097713,0.9204950495049504,0.9187849919340324
visa,2,1,pcb4,A1_J,1,0.9391099241005164,0.2545621990074079,0.9823762376237624,0.9808789001143714
visa,2,1,pcb4,TRI_J,1,0.9396279072184542,0.24041198465111094,0.9766336633663366,0.972631855922814
visa,2,1,pcb4,BAL_J,1,0.9476214563415528,0.25747449376012177,0.9794059405940594,0.976785459153762
visa,2,1,pcb4,DUP_J,1,0.9280237760713075,0.23658119401118607,0.9822772277227723,0.9803624634629639
visa,2,1,pcb4,DUP_BAL_J,1,0.9391099241005164,0.2545621990074079,0.9823762376237624,0.9808789001143714
visa,2,1,pcb4,DUP_EXPECTED_J,1,0.9280237760713075,0.23658119401118607,0.9822772277227723,0.9803624634629639
visa,2,1,pcb4,A1_L,1,0.947558716951212,0.25653972893138777,0.9806930693069307,0.9778810239986921
visa,2,1,pcb4,DUP_L,1,0.9334290820055604,0.23745338438100214,0.9786138613861386,0.9752788900830264
visa,2,1,pcb4,TRI_L,1,0.9524772959170226,0.25614316830269307,0.9733663366336633,0.9637210661177673
visa,2,1,pcb4,BAL_L,1,0.9615614080751074,0.2734741501079167,0.9769306930693069,0.9707295271921919
