dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
visa,2,2,chewinggum,B,1,0.9939227950900189,0.7477974824681024,0.9732000000000001,0.9859230704514763
visa,2,2,chewinggum,S,1,0.9927643594739136,0.6918555472138498,0.9728,0.9884882233241029
visa,2,2,chewinggum,C,1,0.9911836201466057,0.5044695931149573,0.962,0.984619399948143
visa,2,2,chewinggum,A1_J,1,0.9939133365635575,0.7297944594833928,0.9772,0.9900590119766303
visa,2,2,chewinggum,TRI_J,1,0.9936666191838466,0.7175843821780198,0.9803999999999999,0.9915796543867356
visa,2,2,chewinggum,BAL_J,1,0.9938501651778683,0.6948872831973605,0.9758,0.9900266365967527
visa,2,2,chewinggum,DUP_J,1,0.9939632358453993,0.7528655057406239,0.9768,0.9892482229303462
visa,2,2,chewinggum,DUP_BAL_J,1,0.9939133365635575,0.7297944594833928,0.9772,0.9900590119766303
visa,2,2,chewinggum,DUP_EXPECTED_J,1,0.9939632358453993,0.7528655057406239,0.9768,0.9892482229303462
visa,2,2,chewinggum,A1_L,1,0.9944655669059411,0.7083531751447159,0.9812000000000001,0.9912186103051338
visa,2,2,chewinggum,DUP_L,1,0.9943200549387379,0.7339316128755715,0.9794,0.990156885913267
visa,2,2,chewinggum,TRI_L,1,0.9943548678420026,0.7202476235508208,0.9836,0.9925765355759277
visa,2,2,chewinggum,BAL_L,1,0.9945074898814891,0.6952061149510201,0.9833999999999999,0.9925695842410408
