dataset,seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
visa,2,8,candle,B,1,0.9873875751931145,0.34278602241552575,0.9183,0.9018105979342911
visa,2,8,candle,S,1,0.9907638846017013,0.31077977713210714,0.904,0.8925060557412321
visa,2,8,candle,C,1,0.9840070729401282,0.16857557817612986,0.9313999999999999,0.9370054394237046
visa,2,8,candle,A1_J,1,0.9887528622990083,0.2975706634270952,0.9404000000000001,0.937663686231774
visa,2,8,candle,TRI_J,1,0.9887602834898367,0.3233502519392569,0.9297,0.9278735332856702
visa,2,8,candle,BAL_J,1,0.9890691583485772,0.29174843350173546,0.9403,0.9413276509449133
visa,2,8,candle,DUP_J,1,0.9883161864858883,0.3228003399550153,0.9313,0.9250742716603177
visa,2,8,candle,DUP_BAL_J,1,0.9887528622990083,0.2975706634270952,0.9404000000000001,0.937663686231774
visa,2,8,candle,DUP_EXPECTED_J,1,0.9883161864858883,0.3228003399550153,0.9313,0.9250742716603177
visa,2,8,candle,A1_L,1,0.9902664813268158,0.28034577263402694,0.9412999999999999,0.9318154512325194
visa,2,8,candle,DUP_L,1,0.9892655777233236,0.3062888554880953,0.9326,0.9208090122133396
visa,2,8,candle,TRI_L,1,0.9914940496909506,0.30234645764184387,0.9311999999999999,0.9252222526906819
visa,2,8,candle,BAL_L,1,0.9920358669859868,0.2750850700604685,0.9394,0.9360971898540977
