dataset,seed,shot,category,grid,n_images,n_images_used,query_rows_used,match_exact,match_position,match_within1,cycle_agreement,perm_exact,perm_within1,shifted_exact,positional_information,chance_exact
mpdd,0,1,bracket_black,"[32, 32]",79,20,20480,0.033642578125,0.033642578125,0.1669921875,0.057666015625,0.001171875,0.007421875,0.000439453125,0.032470703125,0.0009765625
mpdd,0,1,bracket_brown,"[32, 32]",77,20,20480,0.060009765625,0.060009765625,0.25107421875,0.08486328125,0.000927734375,0.0103515625,0.0001953125,0.05908203125,0.0009765625
mpdd,0,1,bracket_white,"[32, 32]",60,20,20480,0.072998046875,0.072998046875,0.242041015625,0.091748046875,0.0005859375,0.006494140625,0.000634765625,0.072412109375,0.0009765625
mpdd,0,1,connector,"[32, 32]",44,20,20480,0.109375,0.109375,0.299560546875,0.125390625,0.000927734375,0.006787109375,0.000927734375,0.108447265625,0.0009765625
mpdd,0,1,metal_plate,"[32, 32]",97,20,20480,0.058251953125,0.058251953125,0.22509765625,0.08935546875,0.000732421875,0.009912109375,0.000732421875,0.05751953125,0.0009765625
mpdd,0,1,tubes,"[32, 32]",101,20,20480,0.072314453125,0.072314453125,0.2908203125,0.116845703125,0.0005859375,0.009326171875,0.0005859375,0.071728515625,0.0009765625
mpdd,0,4,bracket_black,"[32, 32]",79,20,20480,0.042578125,0.060791015625,0.240673828125,0.09697265625,9.765625e-05,0.008349609375,0.00068359375,0.04248046875,0.000244140625
mpdd,0,4,bracket_brown,"[32, 32]",77,20,20480,0.046240234375,0.09453125,0.365673828125,0.1408203125,0.00029296875,0.00927734375,0.0001953125,0.045947265625000004,0.000244140625
mpdd,0,4,bracket_white,"[32, 32]",60,20,20480,0.052783203125,0.09599609375,0.311279296875,0.135498046875,0.0001953125,0.009130859375,0.00029296875,0.052587890624999994,0.000244140625
mpdd,0,4,connector,"[32, 32]",44,20,20480,0.104052734375,0.17978515625,0.46396484375,0.235693359375,0.000244140625,0.0078125,0.001171875,0.10380859375,0.000244140625
mpdd,0,4,metal_plate,"[32, 32]",97,20,20480,0.052587890625,0.082373046875,0.32978515625,0.134375,9.765625e-05,0.007275390625,0.0005859375,0.052490234375,0.000244140625
mpdd,0,4,tubes,"[32, 32]",101,20,20480,0.041650390625,0.09912109375,0.373583984375,0.160302734375,0.0001953125,0.010888671875,0.000390625,0.041455078124999996,0.000244140625
mpdd,1,1,bracket_black,"[32, 32]",79,20,20480,0.036181640625,0.036181640625,0.168798828125,0.04541015625,0.000927734375,0.008056640625,0.000732421875,0.035253906249999994,0.0009765625
mpdd,1,1,bracket_brown,"[32, 32]",77,20,20480,0.063623046875,0.063623046875,0.24619140625,0.080712890625,0.0009765625,0.008837890625,0.000390625,0.062646484375,0.0009765625
mpdd,1,1,bracket_white,"[32, 32]",60,20,20480,0.04130859375,0.04130859375,0.188427734375,0.054931640625,0.0015625,0.01318359375,0.000341796875,0.039746093749999996,0.0009765625
mpdd,1,1,connector,"[32, 32]",44,20,20480,0.0634765625,0.0634765625,0.23583984375,0.06015625,0.001123046875,0.00888671875,0.001611328125,0.062353515625,0.0009765625
mpdd,1,1,metal_plate,"[32, 32]",97,20,20480,0.0560546875,0.0560546875,0.22841796875,0.078759765625,0.00107421875,0.01015625,0.000732421875,0.05498046875,0.0009765625
mpdd,1,1,tubes,"[32, 32]",101,20,20480,0.083447265625,0.083447265625,0.312841796875,0.133056640625,0.00078125,0.00673828125,0.000390625,0.082666015625,0.0009765625
mpdd,1,4,bracket_black,"[32, 32]",79,20,20480,0.039697265625,0.057421875,0.2421875,0.08857421875,0.000341796875,0.007666015625,0.000244140625,0.03935546875,0.000244140625
mpdd,1,4,bracket_brown,"[32, 32]",77,20,20480,0.053369140625,0.091650390625,0.34013671875,0.12841796875,0.0001953125,0.006884765625,0.0001953125,0.053173828124999996,0.000244140625
mpdd,1,4,bracket_white,"[32, 32]",60,20,20480,0.03857421875,0.06494140625,0.280078125,0.08369140625,0.000244140625,0.00908203125,0.000146484375,0.038330078125,0.000244140625
mpdd,1,4,connector,"[32, 32]",44,20,20480,0.11611328125,0.171923828125,0.461962890625,0.21748046875,0.000244140625,0.00859375,0.000927734375,0.115869140625,0.000244140625
