category,procrustes_norm_minus_identity,seed,shot,shuffle_positions,variant
bracket_black,39.20908706009611,0,1,,procrustes
bracket_brown,39.19145906511044,0,1,,procrustes
bracket_white,39.1865242582346,0,1,,procrustes
connector,39.17281353652377,0,1,,procrustes
metal_plate,39.16798011306324,0,1,,procrustes
tubes,39.1702533992562,0,1,,procrustes
bracket_black,39.180729669029276,0,4,,procrustes
bracket_brown,39.2048915543338,0,4,,procrustes
bracket_white,39.201728950642,0,4,,procrustes
connector,39.22102237874705,0,4,,procrustes
metal_plate,39.18881649832175,0,4,,procrustes
tubes,39.17772839427304,0,4,,procrustes
bracket_black,39.182737913116746,1,1,,procrustes
bracket_brown,39.19513337457379,1,1,,procrustes
bracket_white,39.20832126665781,1,1,,procrustes
connector,39.23410987992422,1,1,,procrustes
metal_plate,39.19813591979323,1,1,,procrustes
tubes,39.17731886527471,1,1,,procrustes
bracket_black,39.144709083254476,1,4,,procrustes
bracket_brown,39.224188431801004,1,4,,procrustes
bracket_white,39.20313445354972,1,4,,procrustes
connector,39.20154367920551,1,4,,procrustes
metal_plate,39.25449958657349,1,4,,procrustes
tubes,39.192582654009,1,4,,procrustes
bracket_black,,0,1,1024,shuffled
bracket_brown,,0,1,1024,shuffled
bracket_white,,0,1,1024,shuffled
connector,,0,1,1024,shuffled
metal_plate,,0,1,1024,shuffled
tubes,,0,1,1024,shuffled
bracket_black,,0,4,1024,shuffled
bracket_brown,,0,4,1024,shuffled
bracket_white,,0,4,1024,shuffled
connector,,0,4,1024,shuffled
metal_plate,,0,4,1024,shuffled
tubes,,0,4,1024,shuffled
bracket_black,,1,1,1024,shuffled
bracket_brown,,1,1,1024,shuffled
bracket_white,,1,1,1024,shuffled
connector,,1,1,1024,shuffled
metal_plate,,1,1,1024,shuffled
tubes,,1,1,1024,shuffled
bracket_black,,1,4,1024,shuffled
bracket_brown,,1,4,1024,shuffled
bracket_white,,1,4,1024,shuffled
connector,,1,4,1024,shuffled
metal_plate,,1,4,1024,shuffled
tubes,,1,4,1024,shuffled
