variant,dataset,seed,shot,category,method,pixel_ap
identity,mpdd,0,1,bracket_black,A1_J,0.010484217216050983
identity,mpdd,0,1,bracket_black,A1_L,0.009556229616862729
identity,mpdd,0,1,bracket_black,DUP_J,0.012929527309435817
identity,mpdd,0,1,bracket_black,DUP_L,0.012060381744697153
identity,mpdd,0,1,bracket_black,TRI_J,0.011113056505494021
identity,mpdd,0,1,bracket_black,TRI_L,0.010705171640218895
identity,mpdd,0,1,bracket_black,BAL_J,0.009446307517982318
identity,mpdd,0,1,bracket_black,BAL_L,0.008781609064322335
identity,mpdd,0,1,bracket_brown,A1_J,0.03444588566652576
identity,mpdd,0,1,bracket_brown,A1_L,0.038678550206951504
identity,mpdd,0,1,bracket_brown,DUP_J,0.035627507296223875
identity,mpdd,0,1,bracket_brown,DUP_L,0.03851714061851108
identity,mpdd,0,1,bracket_brown,TRI_J,0.040121142520357055
identity,mpdd,0,1,bracket_brown,TRI_L,0.04342882111794431
identity,mpdd,0,1,bracket_brown,BAL_J,0.0378676588894272
identity,mpdd,0,1,bracket_brown,BAL_L,0.04236206668589068
identity,mpdd,0,1,bracket_white,A1_J,0.08474999424338445
identity,mpdd,0,1,bracket_white,A1_L,0.09410628236856855
identity,mpdd,0,1,bracket_white,DUP_J,0.08387013885406
identity,mpdd,0,1,bracket_white,DUP_L,0.08814860824877828
identity,mpdd,0,1,bracket_white,TRI_J,0.10184357352473075
identity,mpdd,0,1,bracket_white,TRI_L,0.10373704377565388
identity,mpdd,0,1,bracket_white,BAL_J,0.09708575137891731
identity,mpdd,0,1,bracket_white,BAL_L,0.09988428122219695
identity,mpdd,0,1,connector,A1_J,0.12611147123539718
identity,mpdd,0,1,connector,A1_L,0.13137876226352618
identity,mpdd,0,1,connector,DUP_J,0.10397221314626978
identity,mpdd,0,1,connector,DUP_L,0.10843820338271042
identity,mpdd,0,1,connector,TRI_J,0.11641761428889523
identity,mpdd,0,1,connector,TRI_L,0.12692809559234808
identity,mpdd,0,1,connector,BAL_J,0.13403105983643138
identity,mpdd,0,1,connector,BAL_L,0.14841404314386564
identity,mpdd,0,1,metal_plate,A1_J,0.8713213434080276
identity,mpdd,0,1,metal_plate,A1_L,0.8692493317059922
identity,mpdd,0,1,metal_plate,DUP_J,0.8340748098453802
identity,mpdd,0,1,metal_plate,DUP_L,0.8305623208871282
identity,mpdd,0,1,metal_plate,TRI_J,0.8639407498701535
identity,mpdd,0,1,metal_plate,TRI_L,0.8704466491408134
identity,mpdd,0,1,metal_plate,BAL_J,0.8926238661743441
identity,mpdd,0,1,metal_plate,BAL_L,0.8981212770854062
identity,mpdd,0,1,tubes,A1_J,0.7281611037239939
identity,mpdd,0,1,tubes,A1_L,0.7360582839949735
identity,mpdd,0,1,tubes,DUP_J,0.7166370354185628
identity,mpdd,0,1,tubes,DUP_L,0.7195812374105562
identity,mpdd,0,1,tubes,TRI_J,0.6880817786987187
identity,mpdd,0,1,tubes,TRI_L,0.7005062281592573
identity,mpdd,0,1,tubes,BAL_J,0.6987113517629404
identity,mpdd,0,1,tubes,BAL_L,0.7167162452668459
identity,mpdd,0,4,bracket_black,A1_J,0.18559157065922827
identity,mpdd,0,4,bracket_black,A1_L,0.16876473974723594
identity,mpdd,0,4,bracket_black,DUP_J,0.1803114012683932
identity,mpdd,0,4,bracket_black,DUP_L,0.1692187353049725
identity,mpdd,0,4,bracket_black,TRI_J,0.18591388339511616
identity,mpdd,0,4,bracket_black,TRI_L,0.1745380437590247
identity,mpdd,0,4,bracket_black,BAL_J,0.1865543949597757
identity,mpdd,0,4,bracket_black,BAL_L,0.17057817621419635
identity,mpdd,0,4,bracket_brown,A1_J,0.033951856163523274
identity,mpdd,0,4,bracket_brown,A1_L,0.0374634610452811
identity,mpdd,0,4,bracket_brown,DUP_J,0.036640322093664066
identity,mpdd,0,4,bracket_brown,DUP_L,0.039511614752297614
identity,mpdd,0,4,bracket_brown,TRI_J,0.03836662013097521
identity,mpdd,0,4,bracket_brown,TRI_L,0.04250924542770828
identity,mpdd,0,4,bracket_brown,BAL_J,0.03551000517190498
identity,mpdd,0,4,bracket_brown,BAL_L,0.0401258758156954
identity,mpdd,0,4,bracket_white,A1_J,0.09536222826166872
identity,mpdd,0,4,bracket_white,A1_L,0.10594663284797728
identity,mpdd,0,4,bracket_white,DUP_J,0.0956388400102652
identity,mpdd,0,4,bracket_white,DUP_L,0.09882279125568984
identity,mpdd,0,4,bracket_white,TRI_J,0.10491556625583406
identity,mpdd,0,4,bracket_white,TRI_L,0.13199372337025184
identity,mpdd,0,4,bracket_white,BAL_J,0.09710997157201837
identity,mpdd,0,4,bracket_white,BAL_L,0.10544507251345342
identity,mpdd,0,4,connector,A1_J,0.37503978922003584
identity,mpdd,0,4,connector,A1_L,0.3957200419315312
identity,mpdd,0,4,connector,DUP_J,0.366008277136542
identity,mpdd,0,4,connector,DUP_L,0.37972629421838844
identity,mpdd,0,4,connector,TRI_J,0.31028767004003915
identity,mpdd,0,4,connector,TRI_L,0.3398192748615556
identity,mpdd,0,4,connector,BAL_J,0.32075354253786514
identity,mpdd,0,4,connector,BAL_L,0.3443699034029069
identity,mpdd,0,4,metal_plate,A1_J,0.8849814686083369
identity,mpdd,0,4,metal_plate,A1_L,0.8850118544281524
identity,mpdd,0,4,metal_plate,DUP_J,0.8579556938160853
identity,mpdd,0,4,metal_plate,DUP_L,0.8570608403854999
identity,mpdd,0,4,metal_plate,TRI_J,0.8863870076194011
identity,mpdd,0,4,metal_plate,TRI_L,0.8905962578781482
identity,mpdd,0,4,metal_plate,BAL_J,0.9068324129103437
identity,mpdd,0,4,metal_plate,BAL_L,0.9109283521514282
