category,sample_id,label,image_score
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0000.bmp,0,0.01596643030643463
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0001.bmp,0,0.02152242697775364
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0002.bmp,0,0.004706679377704859
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0003.bmp,0,0.03228604421019554
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0004.bmp,0,0.03304646536707878
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0005.bmp,0,0.04007284715771675
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0006.bmp,0,0.0379621684551239
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0007.bmp,0,0.10344483703374863
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0008.bmp,0,0.021755479276180267
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0009.bmp,0,0.029801761731505394
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0010.bmp,0,0.016730455681681633
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0011.bmp,0,0.05592875927686691
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0012.bmp,0,0.07998471707105637
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0013.bmp,0,0.005843105725944042
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0014.bmp,0,0.0037828825879842043
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0015.bmp,0,0.07420527935028076
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0016.bmp,0,0.04502338916063309
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0017.bmp,0,0.14219266176223755
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0018.bmp,0,0.03016575425863266
mvtec_01,D:\STUDY\My_github\sci_project\data\patchcore_closeout\btad_s0_k4\01\test\good\0019.bmp,0,0.08759252727031708
