question,extreme,dataset,category,seed,shot,image_index,sample_id,mean_G_J_minus_L,per_image_pixel_ap_A1_L,per_image_pixel_ap_A1_J,per_image_pixel_ap_delta_L_minus_J
mechanism,smaller,mpdd,bracket_black,0,4,60,bracket_black/test/scratches/016.png,0.009010082110762596,0.7933333333333333,0.7869230769230771,0.0064102564102562765
mechanism,larger,mpdd,bracket_black,0,4,74,bracket_black/test/scratches/030.png,0.013700305484235287,0.17617724867724868,0.09788210656576474,0.07829514211148395
performance,worse,mpdd,bracket_black,0,4,76,bracket_black/test/scratches/032.png,0.01097925566136837,0.2072870342089739,0.45624786122298555,-0.24896082701401165
performance,better,mpdd,bracket_black,0,4,77,bracket_black/test/scratches/033.png,0.013523840345442295,0.445277257013388,0.237935835328126,0.20734142168526198
mechanism,smaller,mpdd,bracket_brown,0,4,62,bracket_brown/test/parts_mismatch/019.png,0.007701626978814602,0.4073379295601518,0.3544728898177174,0.052865039742434394
mechanism,larger,mpdd,bracket_brown,0,4,54,bracket_brown/test/parts_mismatch/011.png,0.01220115926116705,0.2271261635967518,0.25739938080495356,-0.030273217208201753
performance,worse,mpdd,bracket_brown,0,4,69,bracket_brown/test/parts_mismatch/026.png,0.008742712438106537,0.20196324143692562,0.24982078853046594,-0.047857547093540315
performance,better,mpdd,bracket_brown,0,4,50,bracket_brown/test/parts_mismatch/007.png,0.008950755000114441,0.767816091954023,0.32446640316205533,0.4433496887919677
mechanism,smaller,mpdd,bracket_white,0,4,57,bracket_white/test/scratches/014.png,0.008939411491155624,0.6898412698412698,0.7359649122807017,-0.0461236424394319
mechanism,larger,mpdd,bracket_white,0,4,12,bracket_white/test/defective_painting/012.png,0.011514890938997269,0.07083333333333333,0.05974025974025974,0.011093073593073592
performance,worse,mpdd,bracket_white,0,4,49,bracket_white/test/scratches/006.png,0.011290960013866425,0.5,1.0,-0.5
performance,better,mpdd,bracket_white,0,4,7,bracket_white/test/defective_painting/007.png,0.009549951180815697,1.0,0.5,0.5
mechanism,smaller,btad,01,0,4,45,01/test/ko/0046.bmp,0.004483951721340418,0.018441301952445224,0.019330165841170904,-0.00088886388872568
mechanism,larger,btad,01,0,4,24,01/test/ko/0024.bmp,0.008770495653152466,0.6759813562445487,0.6730407700756902,0.0029405861688585055
performance,worse,btad,01,0,4,22,01/test/ko/0022.bmp,0.007723087444901466,0.4291911767961742,0.4802083492431037,-0.05101717244692949
performance,better,btad,01,0,4,19,01/test/ko/0019.bmp,0.00635187141597271,0.4818897406455686,0.37830956008705363,0.10358018055851498
mechanism,smaller,btad,02,0,4,149,02/test/ko/0149.png,0.0089589674025774,,,
mechanism,larger,btad,02,0,4,32,02/test/ko/0032.png,0.014112439937889576,0.46133858289461954,0.46701622282994704,-0.005677639935327494
performance,worse,btad,02,0,4,165,02/test/ko/0165.png,0.010634714737534523,0.20510547019247768,0.34745024289488285,-0.14234477270240517
performance,better,btad,02,0,4,135,02/test/ko/0135.png,0.009932059794664383,0.7644230769230769,0.49722222222222223,0.26720085470085464
mechanism,smaller,btad,03,0,4,31,03/test/ko/0031.bmp,0.007315155118703842,,,
mechanism,larger,btad,03,0,4,18,03/test/ko/0018.bmp,0.01058232318609953,0.9459211669355224,0.943813398117599,0.0021077688179234055
performance,worse,btad,03,0,4,10,03/test/ko/0010.bmp,0.007710279431194067,0.4687699483926652,0.557059159109885,-0.08828921071721979
performance,better,btad,03,0,4,17,03/test/ko/0017.bmp,0.008880110457539558,0.8055650971414239,0.6162968489815347,0.18926824815988919
