reference_seed,shot,contrast,category,point_delta,abs_exceeds_scale,note
0,2,DUP_J - A1_J,bracket_black,0.005418716867046919,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,DUP_J - A1_J,bracket_brown,0.0019520408458359936,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,DUP_J - A1_J,bracket_white,-0.005370287177199284,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,DUP_J - A1_J,connector,-0.002044696061652973,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,DUP_J - A1_J,metal_plate,-0.040055022841877785,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,DUP_J - A1_J,tubes,-0.010612089812903958,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,bracket_black,-0.00021413517509162594,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,bracket_brown,0.005729503683360601,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,bracket_white,0.002427244466485165,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,connector,0.028753359426170633,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,metal_plate,-0.011574365552432186,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,2,A1_L - A1_J,tubes,0.007971982342842798,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,bracket_black,-0.005280035481077555,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,bracket_brown,0.0026882553564771955,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,bracket_white,0.0002766117485964448,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,connector,-0.009031129904194302,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,metal_plate,-0.027025764161385357,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,DUP_J - A1_J,tubes,-0.010960092154220225,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,bracket_black,-0.016826756115100677,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,bracket_brown,0.003511364939075022,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,bracket_white,0.010584404586308507,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,connector,0.02068018838244645,True,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,metal_plate,3.047230024155745e-05,False,post-hoc descriptive analysis of existing predictions; no new sampling
0,4,A1_L - A1_J,tubes,0.005670794727227979,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,bracket_black,0.007831253562831528,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,bracket_brown,0.0007391070163540042,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,bracket_white,-0.006389777277351169,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,connector,-0.003330821606012946,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,metal_plate,-0.027447633710028563,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,DUP_J - A1_J,tubes,-0.009865678254341592,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,bracket_black,0.0032281445517477053,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,bracket_brown,0.002900785741066121,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,bracket_white,0.0016313466009723124,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,connector,0.02522988420801453,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,metal_plate,0.0005303990931068148,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,2,A1_L - A1_J,tubes,0.00683362137980259,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,bracket_black,0.0012913623363486892,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,bracket_brown,0.005343969298624886,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,bracket_white,-0.028298512145726207,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,connector,-0.0030938832712193443,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,metal_plate,-0.023678417127290907,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,DUP_J - A1_J,tubes,-0.009780721024498451,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,bracket_black,5.702743588607839e-05,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,bracket_brown,0.005745951387400278,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,bracket_white,-0.01172231612769195,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,connector,0.039974939479846816,True,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,metal_plate,0.0008345871346079337,False,post-hoc descriptive analysis of existing predictions; no new sampling
1,4,A1_L - A1_J,tubes,0.007812504837017675,True,post-hoc descriptive analysis of existing predictions; no new sampling
