reference_seed,shot,category,contrast,contrast_group,metric,delta
1,2,bracket_black,TRI_J - DUP_J,representation,pixel_ap,0.005422629385007524
1,2,bracket_brown,TRI_J - DUP_J,representation,pixel_ap,0.0036417063236127006
1,2,bracket_white,TRI_J - DUP_J,representation,pixel_ap,-0.000939569132592348
1,2,connector,TRI_J - DUP_J,representation,pixel_ap,-0.0382395771338046
1,2,metal_plate,TRI_J - DUP_J,representation,pixel_ap,0.029058122778538364
1,2,tubes,TRI_J - DUP_J,representation,pixel_ap,-0.03869780212587315
1,2,bracket_black,TRI_L - DUP_L,representation,pixel_ap,0.005454933910374896
1,2,bracket_brown,TRI_L - DUP_L,representation,pixel_ap,0.0038107621374710438
1,2,bracket_white,TRI_L - DUP_L,representation,pixel_ap,0.003988157652432003
1,2,connector,TRI_L - DUP_L,representation,pixel_ap,-0.020212828194156318
1,2,metal_plate,TRI_L - DUP_L,representation,pixel_ap,0.035121324251111696
1,2,tubes,TRI_L - DUP_L,representation,pixel_ap,-0.027502701752440406
1,2,bracket_black,BAL_J - A1_J,representation,pixel_ap,0.007379600675853221
1,2,bracket_brown,BAL_J - A1_J,representation,pixel_ap,0.002875501361314932
1,2,bracket_white,BAL_J - A1_J,representation,pixel_ap,-0.0033499535678079076
1,2,connector,BAL_J - A1_J,representation,pixel_ap,-0.047532384422039664
1,2,metal_plate,BAL_J - A1_J,representation,pixel_ap,0.023416661196151156
1,2,tubes,BAL_J - A1_J,representation,pixel_ap,-0.036881972498274185
1,2,bracket_black,BAL_L - A1_L,representation,pixel_ap,0.009353983173711042
1,2,bracket_brown,BAL_L - A1_L,representation,pixel_ap,0.0024401321148038724
1,2,bracket_white,BAL_L - A1_L,representation,pixel_ap,0.003871719170232567
1,2,connector,BAL_L - A1_L,representation,pixel_ap,-0.03453168647751953
1,2,metal_plate,BAL_L - A1_L,representation,pixel_ap,0.027814252307169385
1,2,tubes,BAL_L - A1_L,representation,pixel_ap,-0.026462464907051064
1,2,bracket_black,A1_L - A1_J,matching,pixel_ap,0.0032281445517476637
1,2,bracket_brown,A1_L - A1_J,matching,pixel_ap,0.002900785741066121
1,2,bracket_white,A1_L - A1_J,matching,pixel_ap,0.0016313466009723054
1,2,connector,A1_L - A1_J,matching,pixel_ap,0.02522988420801453
1,2,metal_plate,A1_L - A1_J,matching,pixel_ap,0.0005303990931068148
1,2,tubes,A1_L - A1_J,matching,pixel_ap,0.006833621379802701
1,2,bracket_black,DUP_L - DUP_J,matching,pixel_ap,0.0048924367243210615
1,2,bracket_brown,DUP_L - DUP_J,matching,pixel_ap,0.0022036206403819036
1,2,bracket_white,DUP_L - DUP_J,matching,pixel_ap,0.006568947392685147
1,2,connector,DUP_L - DUP_J,matching,pixel_ap,0.012881021542141324
1,2,metal_plate,DUP_L - DUP_J,matching,pixel_ap,-0.0007035315821901644
1,2,tubes,DUP_L - DUP_J,matching,pixel_ap,0.003143032411717539
1,2,bracket_black,TRI_L - TRI_J,matching,pixel_ap,0.004924741249688433
1,2,bracket_brown,TRI_L - TRI_J,matching,pixel_ap,0.0023726764542402468
1,2,bracket_white,TRI_L - TRI_J,matching,pixel_ap,0.011496674177709498
1,2,connector,TRI_L - TRI_J,matching,pixel_ap,0.03090777048178961
1,2,metal_plate,TRI_L - TRI_J,matching,pixel_ap,0.0053596698903831674
1,2,tubes,TRI_L - TRI_J,matching,pixel_ap,0.014338132785150282
1,2,bracket_black,BAL_L - BAL_J,matching,pixel_ap,0.005202527049605485
1,2,bracket_brown,BAL_L - BAL_J,matching,pixel_ap,0.0024654164945550616
1,2,bracket_white,BAL_L - BAL_J,matching,pixel_ap,0.00885301933901278
