method,image_index,sample_id,label,image_max,pixel_ap
B,0,metal_plate/test/good/000.png,0,0.34550976753234863,
B,1,metal_plate/test/good/001.png,0,0.34997323155403137,
B,2,metal_plate/test/good/002.png,0,0.3326643407344818,
B,3,metal_plate/test/good/003.png,0,0.2978651821613312,
B,4,metal_plate/test/good/004.png,0,0.2696014940738678,
B,5,metal_plate/test/good/005.png,0,0.2728489637374878,
B,6,metal_plate/test/good/006.png,0,0.2346384972333908,
B,7,metal_plate/test/good/007.png,0,0.22841735184192657,
B,8,metal_plate/test/good/008.png,0,0.25375375151634216,
B,9,metal_plate/test/good/009.png,0,0.29720622301101685,
B,10,metal_plate/test/good/010.png,0,0.2680758535861969,
B,11,metal_plate/test/good/011.png,0,0.2890298664569855,
B,12,metal_plate/test/good/012.png,0,0.30261871218681335,
B,13,metal_plate/test/good/013.png,0,0.2877705991268158,
B,14,metal_plate/test/good/014.png,0,0.29120197892189026,
B,15,metal_plate/test/good/015.png,0,0.35011887550354004,
B,16,metal_plate/test/good/016.png,0,0.2706177830696106,
B,17,metal_plate/test/good/017.png,0,0.2702263295650482,
B,18,metal_plate/test/good/018.png,0,0.35449686646461487,
B,19,metal_plate/test/good/019.png,0,0.26610296964645386,
B,20,metal_plate/test/good/020.png,0,0.23560760915279388,
B,21,metal_plate/test/good/021.png,0,0.330844521522522,
B,22,metal_plate/test/good/022.png,0,0.2713279724121094,
B,23,metal_plate/test/good/023.png,0,0.2685260474681854,
B,24,metal_plate/test/good/024.png,0,0.22790144383907318,
B,25,metal_plate/test/good/025.png,0,0.2787017226219177,
B,26,metal_plate/test/major_rust/000.png,1,0.6589481234550476,0.670588286247682
B,27,metal_plate/test/major_rust/001.png,1,0.6123895049095154,0.6146240507360141
B,28,metal_plate/test/major_rust/002.png,1,0.558520495891571,0.5052394124530658
B,29,metal_plate/test/major_rust/003.png,1,0.5651992559432983,0.7374436534986635
B,30,metal_plate/test/major_rust/004.png,1,0.5860413908958435,0.5420097679928065
B,31,metal_plate/test/major_rust/005.png,1,0.584250807762146,0.6010718556974616
B,32,metal_plate/test/major_rust/006.png,1,0.6299020051956177,0.5789537854326817
B,33,metal_plate/test/major_rust/007.png,1,0.6164004802703857,0.6915457044422553
B,34,metal_plate/test/major_rust/008.png,1,0.6407967805862427,0.7938023773419581
B,35,metal_plate/test/major_rust/009.png,1,0.59503173828125,0.7006423469839962
