dataset,reference_seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
btad,0,2,01,B,8,0.9536014002710793,0.5470903076827335,0.9514091350826045,0.9817989946339815
btad,0,2,01,C,8,0.9508527272120698,0.5122310825966448,0.9620991253644315,0.9871376652856035
btad,0,2,01,A1_J,8,0.9589544064776439,0.5797128233066913,0.9407191448007775,0.9784906051816293
btad,0,2,01,A1_L,8,0.9608809844809721,0.5876519616256436,0.9465500485908649,0.9803086391558552
btad,0,2,01,DUP_J,8,0.9568663093051369,0.5677503422788333,0.9416909620991254,0.9784108515833555
btad,0,2,01,DUP_L,8,0.9583673700075358,0.5736276274612669,0.9504373177842566,0.9814431154047453
btad,0,2,01,DUP_BAL_J,8,0.9589544064776439,0.5797128233066913,0.9407191448007775,0.9784906051816293
btad,0,2,01,DUP_BAL_L,8,0.9608809844809721,0.5876519616256436,0.9465500485908649,0.9803086391558552
btad,0,2,01,DUP_EXPECTED_J,8,0.9568663093051369,0.5677503422788333,0.9416909620991254,0.9784108515833555
btad,0,2,01,A1_lambda_0.25,8,0.9605286592433853,0.5861079572943477,0.9465500485908649,0.9802126549940872
btad,0,2,01,A1_lambda_0.50,8,0.9600855836054593,0.5843009677327734,0.9407191448007775,0.9784245873674144
btad,0,2,01,A1_lambda_0.75,8,0.9595591232835133,0.5821926536995503,0.9397473275024295,0.9781240912291096
btad,0,2,02,B,8,0.9598741420516756,0.5630685833231527,0.8666666666666667,0.978110790206403
btad,0,2,02,C,8,0.9368254676619194,0.4899983854154996,0.8383333333333334,0.9741630313113234
btad,0,2,02,A1_J,8,0.9620768905909953,0.5952819584209627,0.861,0.9779857643196723
btad,0,2,02,A1_L,8,0.9627547509988497,0.6046996628990191,0.8646666666666667,0.9779815644730242
btad,0,2,02,DUP_J,8,0.9613129369504051,0.5832299919936349,0.8575,0.9769334159400165
btad,0,2,02,DUP_L,8,0.9617884388822123,0.5897111278522827,0.8665,0.9780715819796505
btad,0,2,02,DUP_BAL_J,8,0.9620768905909953,0.5952819584209627,0.861,0.9779857643196723
btad,0,2,02,DUP_BAL_L,8,0.9627547509988497,0.6046996628990191,0.8646666666666667,0.9779815644730242
btad,0,2,02,DUP_EXPECTED_J,8,0.9613129369504051,0.5832299919936349,0.8575,0.9769334159400165
btad,0,2,02,A1_lambda_0.25,8,0.9626262825872746,0.6026161839283308,0.8636666666666667,0.9779352363397438
btad,0,2,02,A1_lambda_0.50,8,0.9624698755243456,0.6003588361918821,0.8633333333333333,0.9780563688673192
btad,0,2,02,A1_lambda_0.75,8,0.9622862765900776,0.597916920233713,0.8606666666666667,0.977804690300815
btad,0,4,01,B,8,0.9544274565252658,0.5630009588299525,0.9484936831875608,0.9817911687007308
btad,0,4,01,C,8,0.9502413881300762,0.5098057610014511,0.9708454810495627,0.9898101520994298
btad,0,4,01,A1_J,8,0.9596414557690698,0.5877759525716096,0.9319727891156463,0.9751742541979104
btad,0,4,01,A1_L,8,0.9614225003663234,0.5971980492881824,0.9416909620991254,0.979343927510212
btad,0,4,01,DUP_J,8,0.9576406138794692,0.5782389472596443,0.9339164237123421,0.9758004941781352
btad,0,4,01,DUP_L,8,0.9590791379495311,0.585488529734998,0.9475218658892128,0.9815403771398667
btad,0,4,01,DUP_BAL_J,8,0.9596414557690698,0.5877759525716096,0.9319727891156463,0.9751742541979104
btad,0,4,01,DUP_BAL_L,8,0.9614225003663234,0.5971980492881824,0.9416909620991254,0.979343927510212
btad,0,4,01,DUP_EXPECTED_J,8,0.9576406138794692,0.5782389472596443,0.9339164237123421,0.9758004941781352
btad,0,4,01,A1_lambda_0.25,8,0.9610944908235995,0.595243475767588,0.9387755102040817,0.9782025448793181
btad,0,4,01,A1_lambda_0.50,8,0.9606835110001675,0.593068527307336,0.9358600583090378,0.9771021047032477
btad,0,4,01,A1_lambda_0.75,8,0.9601972867213012,0.5905752073549332,0.9339164237123421,0.976157922926726
btad,0,4,02,B,8,0.9598264879711643,0.5631285993284502,0.873,0.9801891405427552
btad,0,4,02,C,8,0.9399742320058967,0.5013368348690214,0.8043333333333333,0.9684196957825306
btad,0,4,02,A1_J,8,0.9621153370413524,0.5954013486581606,0.8845,0.9819114063320411
btad,0,4,02,A1_L,8,0.9627731330535879,0.6044364734116535,0.8788333333333334,0.9811424861210314
btad,0,4,02,DUP_J,8,0.9612818642457454,0.582998912655598,0.8815,0.9813305787507132
btad,0,4,02,DUP_L,8,0.9617580045681663,0.5894209793369224,0.8755,0.9805984248315335
btad,0,4,02,DUP_BAL_J,8,0.9621153370413524,0.5954013486581606,0.8845,0.9819114063320411
btad,0,4,02,DUP_BAL_L,8,0.9627731330535879,0.6044364734116535,0.8788333333333334,0.9811424861210314
btad,0,4,02,DUP_EXPECTED_J,8,0.9612818642457454,0.582998912655598,0.8815,0.9813305787507132
btad,0,4,02,A1_lambda_0.25,8,0.9626438475311452,0.6024478848158958,0.8816666666666667,0.9815473653445983
