method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.9536014002710792,0.5470903076827338,0.6467390163363693,0.9514091350826044,0.9817989946339818,0.923076923076923
C,0.9508527272120699,0.512231082596645,0.6217839014916443,0.9620991253644314,0.9871376652856036,0.9591836734693877
A1_J,0.9589544064776437,0.5797128233066913,0.6449951500082075,0.9407191448007775,0.9784906051816296,0.9247311827956989
DUP_J,0.9568663093051369,0.5677503422788333,0.6418418913344519,0.9416909620991254,0.9784108515833556,0.923076923076923
DUP_BAL_J,0.9589544064776437,0.5797128233066913,0.6449951500082075,0.9407191448007775,0.9784906051816296,0.9247311827956989
DUP_EXPECTED_J,0.9568663093051369,0.5677503422788333,0.6418418913344519,0.9416909620991254,0.9784108515833556,0.923076923076923
A1_L,0.960880984480972,0.5876519616256435,0.6528192464641326,0.9465500485908649,0.9803086391558554,0.9247311827956989
DUP_L,0.9583673700075358,0.5736276274612673,0.6530622113395953,0.9504373177842564,0.9814431154047453,0.923076923076923
DUP_BAL_L,0.960880984480972,0.5876519616256435,0.6528192464641326,0.9465500485908649,0.9803086391558554,0.9247311827956989
A1_lambda_0.25,0.9605286592433853,0.5861079572943477,0.6601394626020285,0.9465500485908649,0.9802126549940873,0.9247311827956989
A1_lambda_0.50,0.9600855836054594,0.5843009677327732,0.6553078776975485,0.9407191448007773,0.9784245873674147,0.9247311827956989
A1_lambda_0.75,0.9595591232835133,0.5821926536995503,0.6503405679232782,0.9397473275024295,0.9781240912291097,0.9247311827956989
