method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.9481783125603881,0.04184882277916868,0.8465429377029002,0.46276595744680854,0.6130649371564897,0.7460317460317459
S,0.9367137912351433,0.047821291241002456,0.8179097960945899,0.48204787234042556,0.6241102071768769,0.7460317460317459
C,0.9191619461292069,0.005424674815386872,0.733187321723404,0.3876329787234043,0.5412927554094715,0.7603305785123967
A1_J,0.9498238120973826,0.014647863408783119,0.8509179143616364,0.4607712765957447,0.561718394831281,0.7519999999999999
TRI_J,0.9458112703761294,0.018055578185973007,0.8427435555385054,0.47938829787234044,0.5764820482888724,0.7460317460317459
BAL_J,0.9457638986359859,0.013042686377683695,0.8378523343266877,0.47207446808510634,0.561077603905514,0.7519999999999999
DUP_J,0.9502956112022274,0.020066580275830033,0.8535811962202398,0.4753989361702127,0.5824820692923546,0.7460317460317459
DUP_BAL_J,0.9498238120973826,0.014647863408783119,0.8509179143616364,0.4607712765957447,0.561718394831281,0.7519999999999999
DUP_EXPECTED_J,0.9502956112022274,0.020066580275830033,0.8535811962202398,0.4753989361702127,0.5824820692923546,0.7460317460317459
A1_J__perm_C_within_p00,0.9562142861556636,0.013188385863007027,0.8711848496130881,0.43218085106382975,0.5470720456655975,0.7580645161290321
TRI_J__perm_C_within_p00,0.9520348611190615,0.017090674958696324,0.8591562995886867,0.4627659574468085,0.5692446718393434,0.7519999999999999
TRI_J__perm_S_within_p00,0.9551681863989445,0.025117565920398523,0.8726465201090777,0.46874999999999994,0.5666552508121481,0.7519999999999999
BAL_J__perm_C_within_p00,0.9520020888042982,0.012140250623083836,0.8589828126497921,0.4308510638297872,0.5447599287718455,0.7519999999999999
BAL_J__perm_S_within_p00,0.9553706515696385,0.017111116964320335,0.8700611702065392,0.44148936170212766,0.5420033469718292,0.7519999999999999
A1_J__perm_C_cross_p00,0.9484301526481965,0.01485209022886913,0.8518589990312198,0.4454787234042553,0.5579072485008659,0.7519999999999999
TRI_J__perm_C_cross_p00,0.9441444828398015,0.019640367494760193,0.8414149223870855,0.4727393617021277,0.5803187206014239,0.7519999999999999
TRI_J__perm_S_cross_p00,0.9436975027581032,0.01855277169425419,0.8410152401031195,0.46875,0.560942099534601,0.7642276422764228
BAL_J__perm_C_cross_p00,0.9442717355056736,0.013539126209804618,0.8376353476024657,0.45146276595744683,0.554072013672998,0.7519999999999999
BAL_J__perm_S_cross_p00,0.9431077623650852,0.013206493437520648,0.8362232175743834,0.4541223404255319,0.5530195468148696,0.7642276422764228
A1_J__perm_C_within_p01,0.9546717889599416,0.013978960066132569,0.8634688584391492,0.4474734042553191,0.5552702954951685,0.7704918032786886
TRI_J__perm_C_within_p01,0.9513941755218972,0.018252657455541495,0.8558999824667652,0.4767287234042553,0.5812281208059481,0.7519999999999999
TRI_J__perm_S_within_p01,0.9433355643292443,0.01755309340016318,0.8320669758556662,0.4587765957446809,0.5538975302651351,0.7519999999999999
BAL_J__perm_C_within_p01,0.9505478587158603,0.012305919500090905,0.8518776599956035,0.442154255319149,0.5495570207975677,0.7627118644067797
BAL_J__perm_S_within_p01,0.9436827590360767,0.012679172000374125,0.8330414333730872,0.4421542553191489,0.5404232463650724,0.7519999999999999
A1_J__perm_C_within_p02,0.9518099705519405,0.015277762123312182,0.8563743078018338,0.464095744680851,0.5652516999617994,0.7580645161290321
TRI_J__perm_C_within_p02,0.9479689381267524,0.019656927345327507,0.8498901105012276,0.48936170212765956,0.5935221091798715,0.7519999999999999
TRI_J__perm_S_within_p02,0.9633064832924516,0.021159421437374946,0.8897337352086429,0.5206117021276595,0.5761492921556985,0.7666666666666666
BAL_J__perm_C_within_p02,0.9489854570710009,0.013733422353057299,0.853059159623399,0.46742021276595747,0.5626746049706342,0.7519999999999999
BAL_J__perm_S_within_p02,0.9587893107353241,0.016001720319242387,0.8744697723802504,0.48670212765957444,0.5531394688064655,0.7692307692307693
A1_J__perm_C_within_p03,0.9499813161307286,0.014350226823305187,0.8502800555353256,0.46143617021276595,0.5683017046696142,0.7519999999999999
TRI_J__perm_C_within_p03,0.9461938771775467,0.018869987563858825,0.8410684069801887,0.47805851063829785,0.5833892761716396,0.7460317460317459
TRI_J__perm_S_within_p03,0.9545878507520436,0.02166702703086323,0.8653203029862758,0.5039893617021277,0.6045652479931434,0.7519999999999999
BAL_J__perm_C_within_p03,0.9469080182556647,0.012927819569247576,0.8397335403452801,0.46875,0.5599453443471095,0.7563025210084033
BAL_J__perm_S_within_p03,0.9519462120500669,0.014565024340277354,0.8578572390595557,0.4767287234042553,0.5698896369479481,0.7580645161290321
A1_J__perm_C_within_p04,0.9581412914733176,0.01686550208668083,0.8757014368117273,0.45345744680851063,0.5500340644579336,0.7580645161290321
TRI_J__perm_C_within_p04,0.9515337103787722,0.019894397138602055,0.8558324718299339,0.4773936170212766,0.5751126718164843,0.7519999999999999
TRI_J__perm_S_within_p04,0.9557840529729625,0.02086461656360552,0.8651903523339242,0.4780585106382978,0.5714608097392698,0.7519999999999999
BAL_J__perm_C_within_p04,0.9523287000189521,0.013870646556136366,0.8556529117693417,0.4607712765957447,0.5485094358419955,0.7521367521367521
BAL_J__perm_S_within_p04,0.9534643655527713,0.014150174570417,0.860068923065906,0.4474734042553191,0.5427055177132778,0.7519999999999999
