shot,kind,branch,base,category,seed,method,macro_pixel_ap,delta_vs_base
2,within,C,A1_J,bracket_black,0,A1_J__perm_C_within_p00,0.013188385863007026,-0.0014594775457760917
2,within,C,TRI_J,bracket_black,0,TRI_J__perm_C_within_p00,0.017090674958696324,-0.0009649032272766797
2,within,S,TRI_J,bracket_black,0,TRI_J__perm_S_within_p00,0.02511756592039852,0.007061987734425516
2,within,C,BAL_J,bracket_black,0,BAL_J__perm_C_within_p00,0.01214025062308384,-0.0009024357545998549
2,within,S,BAL_J,bracket_black,0,BAL_J__perm_S_within_p00,0.01711111696432033,0.0040684305866366365
2,cross,C,A1_J,bracket_black,0,A1_J__perm_C_cross_p00,0.01485209022886913,0.00020422682008601305
2,cross,C,TRI_J,bracket_black,0,TRI_J__perm_C_cross_p00,0.01964036749476019,0.0015847893087871864
2,cross,S,TRI_J,bracket_black,0,TRI_J__perm_S_cross_p00,0.01855277169425419,0.0004971935082811879
2,cross,C,BAL_J,bracket_black,0,BAL_J__perm_C_cross_p00,0.01353912620980462,0.0004964398321209255
2,cross,S,BAL_J,bracket_black,0,BAL_J__perm_S_cross_p00,0.013206493437520648,0.0001638070598369533
2,within,C,A1_J,bracket_black,1,A1_J__perm_C_within_p01,0.01397896006613257,-0.000668903342650547
2,within,C,TRI_J,bracket_black,1,TRI_J__perm_C_within_p01,0.018252657455541495,0.00019707926956849184
2,within,S,TRI_J,bracket_black,1,TRI_J__perm_S_within_p01,0.01755309340016318,-0.0005024847858098244
2,within,C,BAL_J,bracket_black,1,BAL_J__perm_C_within_p01,0.012305919500090906,-0.0007367668775927882
2,within,S,BAL_J,bracket_black,1,BAL_J__perm_S_within_p01,0.012679172000374125,-0.00036351437730956955
2,within,C,A1_J,bracket_black,2,A1_J__perm_C_within_p02,0.01527776212331218,0.0006298987145290629
2,within,C,TRI_J,bracket_black,2,TRI_J__perm_C_within_p02,0.019656927345327504,0.0016013491593545003
2,within,S,TRI_J,bracket_black,2,TRI_J__perm_S_within_p02,0.021159421437374946,0.003103843251401943
2,within,C,BAL_J,bracket_black,2,BAL_J__perm_C_within_p02,0.013733422353057299,0.0006907359753736044
2,within,S,BAL_J,bracket_black,2,BAL_J__perm_S_within_p02,0.01600172031924239,0.0029590339415586954
2,within,C,A1_J,bracket_black,3,A1_J__perm_C_within_p03,0.014350226823305185,-0.0002976365854779322
2,within,C,TRI_J,bracket_black,3,TRI_J__perm_C_within_p03,0.018869987563858825,0.0008144093778858219
2,within,S,TRI_J,bracket_black,3,TRI_J__perm_S_within_p03,0.021667027030863234,0.0036114488448902304
2,within,C,BAL_J,bracket_black,3,BAL_J__perm_C_within_p03,0.012927819569247578,-0.00011486680843611659
2,within,S,BAL_J,bracket_black,3,BAL_J__perm_S_within_p03,0.014565024340277354,0.0015223379625936596
2,within,C,A1_J,bracket_black,4,A1_J__perm_C_within_p04,0.01686550208668083,0.002217638677897713
2,within,C,TRI_J,bracket_black,4,TRI_J__perm_C_within_p04,0.01989439713860205,0.0018388189526290476
2,within,S,TRI_J,bracket_black,4,TRI_J__perm_S_within_p04,0.02086461656360552,0.0028090383776325153
2,within,C,BAL_J,bracket_black,4,BAL_J__perm_C_within_p04,0.013870646556136366,0.0008279601784526719
2,within,S,BAL_J,bracket_black,4,BAL_J__perm_S_within_p04,0.014150174570417003,0.0011074881927333087
2,within,C,A1_J,bracket_black,5,A1_J__perm_C_within_p05,0.01578404150911081,0.001136178100327694
2,within,C,TRI_J,bracket_black,5,TRI_J__perm_C_within_p05,0.019512833439345536,0.0014572552533725323
2,within,S,TRI_J,bracket_black,5,TRI_J__perm_S_within_p05,0.01735335708418827,-0.0007022211017847328
2,within,C,BAL_J,bracket_black,5,BAL_J__perm_C_within_p05,0.013214353313441349,0.00017166693575765453
2,within,S,BAL_J,bracket_black,5,BAL_J__perm_S_within_p05,0.01288839601877791,-0.00015429035890578494
2,within,C,A1_J,bracket_black,6,A1_J__perm_C_within_p06,0.014260639110915232,-0.0003872242978678851
2,within,C,TRI_J,bracket_black,6,TRI_J__perm_C_within_p06,0.01823785702449075,0.00018227883851774582
2,within,S,TRI_J,bracket_black,6,TRI_J__perm_S_within_p06,0.01526661691005625,-0.0027889612759167542
2,within,C,BAL_J,bracket_black,6,BAL_J__perm_C_within_p06,0.012226842953826972,-0.0008158434238567224
2,within,S,BAL_J,bracket_black,6,BAL_J__perm_S_within_p06,0.010877261256356368,-0.002165425121327327
2,within,C,A1_J,bracket_black,7,A1_J__perm_C_within_p07,0.01418275408001845,-0.00046510932876466654
2,within,C,TRI_J,bracket_black,7,TRI_J__perm_C_within_p07,0.018422012692398012,0.0003664345064250084
2,within,S,TRI_J,bracket_black,7,TRI_J__perm_S_within_p07,0.027663322443768037,0.009607744257795033
2,within,C,BAL_J,bracket_black,7,BAL_J__perm_C_within_p07,0.012261749268687719,-0.0007809371089959761
2,within,S,BAL_J,bracket_black,7,BAL_J__perm_S_within_p07,0.016081550460017552,0.0030388640823338572
2,within,C,A1_J,bracket_black,8,A1_J__perm_C_within_p08,0.015109301360646856,0.0004614379518637392
2,within,C,TRI_J,bracket_black,8,TRI_J__perm_C_within_p08,0.018301528217772475,0.00024595003179947103
2,within,S,TRI_J,bracket_black,8,TRI_J__perm_S_within_p08,0.028235925084067467,0.010180346898094463
2,within,C,BAL_J,bracket_black,8,BAL_J__perm_C_within_p08,0.013562702457462753,0.0005200160797790582
2,within,S,BAL_J,bracket_black,8,BAL_J__perm_S_within_p08,0.01674082743630781,0.0036981410586241145
2,within,C,A1_J,bracket_black,9,A1_J__perm_C_within_p09,0.014327810484077516,-0.0003200529247056015
2,within,C,TRI_J,bracket_black,9,TRI_J__perm_C_within_p09,0.017869425572913482,-0.00018615261305952174
