method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.964635800957075,0.2682592141886535,0.8770839204007411,0.7523809523809524,0.49926502652342986,0.6666666666666665
S,0.9649259491579616,0.16761426403087207,0.8765788016298434,0.6833333333333333,0.4191647362899403,0.6153846153846153
C,0.9693936572218267,0.12903005007187535,0.8911461005694067,0.8714285714285714,0.7565393945579704,0.7272727272727273
A1_J,0.9694350265671895,0.29911096929860254,0.8932614344814487,0.7928571428571429,0.6124756244175316,0.6666666666666666
TRI_J,0.9657751987674472,0.24787411212382754,0.8795788120499185,0.7428571428571429,0.5240828909366061,0.6470588235294117
BAL_J,0.9683445765999645,0.24484213739182079,0.8900955408217692,0.7452380952380953,0.5288753152153558,0.6842105263157894
DUP_J,0.9672984911301529,0.2970662732369496,0.8852988106173697,0.780952380952381,0.5393737653444031,0.6511627906976745
DUP_BAL_J,0.9694350265671895,0.29911096929860254,0.8932614344814487,0.7928571428571429,0.6124756244175316,0.6666666666666666
DUP_EXPECTED_J,0.9672984911301529,0.2970662732369496,0.8852988106173697,0.780952380952381,0.5393737653444031,0.6511627906976745
A1_J__perm_C_within_p00,0.9665901710556136,0.2821182064038082,0.8841058180082464,0.8,0.6480401849735109,0.6857142857142857
TRI_J__perm_C_within_p00,0.9682291058574491,0.25142281063492394,0.8879640022406854,0.7714285714285714,0.5119133181633182,0.6666666666666666
TRI_J__perm_S_within_p00,0.9377769084841784,0.11212170207402469,0.8007971111077424,0.5642857142857143,0.37521387061730427,0.5416666666666667
BAL_J__perm_C_within_p00,0.9651008126209983,0.22559048476606416,0.8786184970988271,0.7642857142857142,0.6400036299104621,0.65
BAL_J__perm_S_within_p00,0.9436828666237806,0.12333539054157884,0.816496255441682,0.6142857142857143,0.40811560907792954,0.5777777777777778
A1_J__perm_C_cross_p00,0.9668127327919929,0.28254898226004904,0.8847535372242875,0.7595238095238095,0.5742798304874748,0.6470588235294117
TRI_J__perm_C_cross_p00,0.9637665486920152,0.2527218440816359,0.8746878959475407,0.7523809523809524,0.4964090281225831,0.6666666666666666
TRI_J__perm_S_cross_p00,0.9663453650689725,0.1618277199139402,0.8785360120314589,0.6595238095238095,0.4050735227952001,0.6086956521739131
BAL_J__perm_C_cross_p00,0.9653669042184714,0.23273336099944741,0.8760952338815876,0.7357142857142858,0.5155718722895857,0.7000000000000001
BAL_J__perm_S_cross_p00,0.9677151368116779,0.16313653801798927,0.8856423183157349,0.6857142857142857,0.4368202878200933,0.6086956521739131
A1_J__perm_C_within_p01,0.9780356009114419,0.29788441803245624,0.92267170710168,0.8023809523809524,0.5844492086647793,0.7027027027027025
TRI_J__perm_C_within_p01,0.9755961687999017,0.24592489718841123,0.9142731263705648,0.7238095238095239,0.4558046450903594,0.6363636363636364
TRI_J__perm_S_within_p01,0.9539810149330269,0.12090340181223512,0.8383670203857763,0.6357142857142857,0.41121972697855336,0.5531914893617021
BAL_J__perm_C_within_p01,0.975069985447758,0.2107225449164343,0.9133925940597636,0.7547619047619047,0.5371194944669071,0.6857142857142857
BAL_J__perm_S_within_p01,0.9578842465303931,0.13323893765515776,0.8560334598238066,0.7023809523809523,0.4642250125998777,0.6222222222222222
A1_J__perm_C_within_p02,0.9645428224710424,0.19237377197915312,0.8742818468414107,0.7595238095238096,0.6193636586493729,0.6190476190476191
TRI_J__perm_C_within_p02,0.9682971167941418,0.20533321441738503,0.8843176824139743,0.7238095238095239,0.4626790893996052,0.631578947368421
TRI_J__perm_S_within_p02,0.9502794982414452,0.07943964193178743,0.8275661531989118,0.4642857142857143,0.3260775824047484,0.5090909090909091
BAL_J__perm_C_within_p02,0.9623969009524201,0.1269800978443562,0.8682231991618495,0.7404761904761905,0.596270231555215,0.6486486486486486
BAL_J__perm_S_within_p02,0.9537154145786451,0.09586079421483093,0.8406476351222237,0.6214285714285714,0.4217660866987384,0.5945945945945946
A1_J__perm_C_within_p03,0.9649898107598072,0.2441944538079851,0.8787955623106716,0.7904761904761904,0.642891131424966,0.6666666666666667
TRI_J__perm_C_within_p03,0.9679577965906394,0.226262047132613,0.8872716356436006,0.7428571428571429,0.4862105994458936,0.6857142857142857
TRI_J__perm_S_within_p03,0.9551517569142227,0.09084328165140035,0.8440436062587862,0.6785714285714285,0.4703238868755557,0.6250000000000001
BAL_J__perm_C_within_p03,0.96293809345027,0.16080285159018723,0.8722245554699105,0.7309523809523809,0.5811603613216436,0.631578947368421
BAL_J__perm_S_within_p03,0.9570380063810093,0.10248687164008596,0.8471921614445419,0.719047619047619,0.5110583463358783,0.6666666666666667
A1_J__perm_C_within_p04,0.968427687300021,0.22162721163487004,0.8907257555535624,0.7761904761904762,0.6168443504541902,0.6666666666666666
TRI_J__perm_C_within_p04,0.970788816216707,0.21811982578401354,0.8981045392716489,0.7166666666666667,0.4566217372036267,0.6190476190476191
TRI_J__perm_S_within_p04,0.9347856863782011,0.08136895857101382,0.7926277461781712,0.5571428571428572,0.3603068219098785,0.55
BAL_J__perm_C_within_p04,0.9667716257609023,0.15358920740593107,0.883358597834748,0.7619047619047619,0.604253640593681,0.6486486486486486
BAL_J__perm_S_within_p04,0.9411282308533475,0.08753978372771175,0.8046471451270948,0.6904761904761905,0.4837314584008525,0.588235294117647
A1_J__perm_C_within_p05,0.964927208266467,0.26942838215311177,0.8766346293709623,0.8095238095238095,0.6683164938776394,0.6666666666666667
TRI_J__perm_C_within_p05,0.969489726246918,0.2590362792463879,0.8923361880720946,0.7952380952380953,0.6304855878486944,0.7096774193548386
TRI_J__perm_S_within_p05,0.9377134331997152,0.11520158805141562,0.8010421549801346,0.6238095238095238,0.41049993035287147,0.5714285714285715
BAL_J__perm_C_within_p05,0.9641160133038168,0.19695449060959275,0.8713822770740589,0.7952380952380953,0.6184435649707581,0.7222222222222223
BAL_J__perm_S_within_p05,0.944118656477808,0.1325031413323671,0.8126917095593569,0.7476190476190476,0.5225615877699628,0.6222222222222222
A1_J__perm_C_within_p06,0.9722289644939032,0.28932944818469863,0.9043451305844664,0.8071428571428572,0.5651357512702051,0.6875000000000001
TRI_J__perm_C_within_p06,0.9712558977787037,0.24603065069027916,0.9002947732472023,0.7666666666666666,0.49926802520787483,0.6666666666666666
TRI_J__perm_S_within_p06,0.9711861651065168,0.1216673669467115,0.9007081490468969,0.638095238095238,0.4488534790799599,0.55
BAL_J__perm_C_within_p06,0.9712454767480815,0.20247428909613702,0.8994884469233166,0.7642857142857142,0.5205556626609258,0.6666666666666667
BAL_J__perm_S_within_p06,0.9718009105262234,0.12923215694644402,0.9022854995488554,0.7071428571428572,0.48680485424182907,0.6111111111111112
