method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.8871821936693219,0.04032724325979936,0.773794039810352,0.5150829562594269,0.6645723235428354,0.8031496062992126
S,0.9352839142227739,0.046818777616311015,0.8148674066452019,0.5309200603318249,0.6888227415054772,0.8225806451612903
C,0.9251645372427428,0.028487614258524804,0.7967265462718554,0.6304675716440422,0.7388409292818838,0.8095238095238095
A1_J,0.9060588741282167,0.033952103093274184,0.7971227323893852,0.5731523378582202,0.7250777918550071,0.8130081300813009
TRI_J,0.9176322806762108,0.038366633069525466,0.8144312613153072,0.5829562594268477,0.732595412158507,0.8196721311475409
BAL_J,0.920053292193632,0.03550997631935356,0.8115257781665122,0.5987933634992458,0.734580241604812,0.8196721311475409
DUP_J,0.8986660749845139,0.03664035844975139,0.7862447737589849,0.5558069381598794,0.6975675639472827,0.8095238095238095
DUP_BAL_J,0.9060588741282167,0.033952103093274184,0.7971227323893852,0.5731523378582202,0.7250777918550071,0.8130081300813009
DUP_EXPECTED_J,0.8986660749845139,0.03664035844975139,0.7862447737589849,0.5558069381598794,0.6975675639472827,0.8095238095238095
A1_J__perm_C_within_p00,0.9417933521063878,0.044982196977662606,0.8624909996940285,0.5859728506787331,0.7238441894320224,0.8196721311475409
TRI_J__perm_C_within_p00,0.9465137743389351,0.050065347806754146,0.8595882083177031,0.5829562594268477,0.7343013416939839,0.8166666666666667
TRI_J__perm_S_within_p00,0.9400280880866061,0.044079986600564676,0.8913318773235244,0.40573152337858226,0.6107981993342071,0.796875
BAL_J__perm_C_within_p00,0.9474257622440507,0.04763821235391594,0.8662045511435519,0.5935143288084465,0.7312718655580603,0.8196721311475409
BAL_J__perm_S_within_p00,0.9392655631076896,0.041254255435128055,0.8897007256246817,0.4193061840120663,0.64185505227198,0.796875
A1_J__perm_C_cross_p00,0.9148046621268295,0.035693247256526076,0.8080445498466522,0.5957767722473606,0.7396152144248502,0.8160000000000001
TRI_J__perm_C_cross_p00,0.9228727545800144,0.03958315173787296,0.8241055945138104,0.5859728506787331,0.7301413937554433,0.8292682926829268
TRI_J__perm_S_cross_p00,0.9251082639124323,0.04069821235449972,0.8304919876560458,0.5859728506787331,0.7189940277462388,0.8099173553719008
BAL_J__perm_C_cross_p00,0.9263238696561875,0.03734466414833738,0.8273933319221087,0.5957767722473605,0.7340462001594006,0.8360655737704918
BAL_J__perm_S_cross_p00,0.9252966621263263,0.036759212120737704,0.8257744043287029,0.5920060331825038,0.7236517720201476,0.8103448275862069
A1_J__perm_C_within_p01,0.9333792347239652,0.03895292488335118,0.838997866095393,0.5512820512820513,0.7148674336650019,0.8095238095238095
TRI_J__perm_C_within_p01,0.9396035272007521,0.04242035698619135,0.8521759645808021,0.5716440422322775,0.732019426713993,0.8166666666666667
TRI_J__perm_S_within_p01,0.9326833145964649,0.04547383105449352,0.8415140305857713,0.47360482654600305,0.6347229941242131,0.796875
BAL_J__perm_C_within_p01,0.93945939495051,0.03996549150303722,0.8476177283192201,0.5701357466063348,0.7492343515516923,0.8225806451612903
BAL_J__perm_S_within_p01,0.9329401860675113,0.0415143704107963,0.8365788662133004,0.49924585218702866,0.6609959052630927,0.796875
A1_J__perm_C_cross_p01,0.9131798545549851,0.0347897174065982,0.8002135590269515,0.5897435897435898,0.7434272681980929,0.8225806451612903
TRI_J__perm_C_cross_p01,0.9237011084500057,0.04122007585305385,0.8205105433317792,0.5904977375565611,0.7334545044844651,0.8225806451612903
TRI_J__perm_S_cross_p01,0.9255720880102531,0.04118595686187529,0.8125717891592016,0.5708898944193062,0.7169031649469897,0.8225806451612903
