method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.9534589088291197,0.7909846048745672,0.9012513098699054,0.9956663055254605,0.9984148917167269,0.9861111111111112
C,0.9889622039768033,0.9325919120115782,0.962854858802525,1.0,1.0,1.0
A1_J,0.9776560041939694,0.8688472805185181,0.9408735370721295,1.0,1.0,1.0
DUP_J,0.9707651086698887,0.8413996468084897,0.9283218741049132,0.9983748645720477,0.9994048012645513,0.993006993006993
DUP_BAL_J,0.9776560041939694,0.8688472805185181,0.9408735370721295,1.0,1.0,1.0
DUP_EXPECTED_J,0.9707651086698887,0.8413996468084897,0.9283218741049132,0.9983748645720477,0.9994048012645513,0.993006993006993
A1_L,0.9791569031644394,0.8693776796116249,0.9452071293472987,1.0,1.0,1.0
A1_lambda_0.25,0.9789583882555521,0.8699070997772254,0.9454708323769083,1.0,1.0,1.0
A1_lambda_0.50,0.978629228849021,0.8699832615884482,0.9420407524884429,1.0,1.0,1.0
A1_lambda_0.75,0.9781893665934961,0.8696250998567013,0.9416458809788341,1.0,1.0,1.0
