method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
B,0.9972989348167908,0.11030072833116149,0.9911040228723624,0.8266666666666667,0.7780309847064358,0.8484848484848485
C,0.9936769929550275,0.038269182979561035,0.977219020904822,0.7577777777777779,0.6522439486866117,0.8571428571428571
A1_J,0.9983195762261264,0.1561633017689133,0.9942451405633411,0.8877777777777778,0.8932489762774318,0.819672131147541
DUP_J,0.9979133470993002,0.12786478962318706,0.9928244621080942,0.8677777777777778,0.8496834065419784,0.84375
DUP_BAL_J,0.9983195762261264,0.1561633017689133,0.9942451405633411,0.8877777777777778,0.8932489762774318,0.819672131147541
DUP_EXPECTED_J,0.9979133470993002,0.12786478962318706,0.9928244621080942,0.8677777777777778,0.8496834065419784,0.84375
A1_L,0.9983171037420923,0.14444098564122132,0.9941350654807345,0.8744444444444445,0.8814896799592602,0.8064516129032259
A1_lambda_0.25,0.9983418285824347,0.14462439366845445,0.9942670973082864,0.8811111111111111,0.8859486313033668,0.819672131147541
A1_lambda_0.50,0.9983506059007562,0.14860596658879835,0.9940658797025002,0.8844444444444444,0.887535115746994,0.819672131147541
A1_lambda_0.75,0.9983352764997439,0.15188510671816596,0.994111988000209,0.8866666666666667,0.8884248919201275,0.8307692307692307
