shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,also_listed_as
2,B - A1_J,primary_vs_A1_J,pixel_auroc,B,A1_J,-0.011540447830643119,-0.011323987788541472,-0.013348165766993315,-0.009509928424354086,1.0,20,
2,S - A1_J,primary_vs_A1_J,pixel_auroc,S,A1_J,-0.0027544299607240585,-0.0029769824230464147,-0.005625343338280239,-0.00046594124866289923,1.0,20,
2,C - A1_J,primary_vs_A1_J,pixel_auroc,C,A1_J,-0.0022354477390190697,-0.003206044545895054,-0.006442342708898821,0.001875599682185907,0.9,20,
2,TRI_J - A1_J,primary_vs_A1_J,pixel_auroc,TRI_J,A1_J,-0.00035689567560837077,-0.0004384418252933231,-0.0014601094861639353,0.0006692353603716338,0.7,20,
2,BAL_J - A1_J,primary_vs_A1_J,pixel_auroc,BAL_J,A1_J,0.0022067337147299027,0.002050954846927383,0.0010390853857142114,0.0032518302514934257,0.0,20,
2,DUP_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_J,A1_J,-0.003668426339338504,-0.003584760144362609,-0.004670378217285884,-0.0027685645212460865,1.0,20,
2,DUP_BAL_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,20,
2,DUP_EXPECTED_J - A1_J,primary_vs_A1_J,pixel_auroc,DUP_EXPECTED_J,A1_J,-0.003668426339338504,-0.003584760144362609,-0.004670378217285884,-0.0027685645212460865,1.0,20,
2,A1_L - A1_J,family_lambda,pixel_auroc,A1_L,A1_J,0.0022689266152973175,0.0022748336303380135,0.001555159904214659,0.0031544767807199885,0.0,20,additional_vs_A1_J
2,A1_lambda_0.25 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.25,A1_J,0.001984247451883414,0.0019920268381096564,0.001464147845554556,0.0026473834400840414,0.0,20,additional_vs_A1_J
2,A1_lambda_0.50 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.50,A1_J,0.0015042908005943323,0.0015112677405446306,0.001169359096084388,0.0019433379210435028,0.0,20,additional_vs_A1_J
2,A1_lambda_0.75 - A1_J,family_lambda,pixel_auroc,A1_lambda_0.75,A1_J,0.0008374682405859479,0.0008422125283118975,0.0006790241228790212,0.001052879806088633,0.0,20,additional_vs_A1_J
2,TRI_L - TRI_J,family_lambda,pixel_auroc,TRI_L,TRI_J,0.0035394021912655838,0.00357336075070232,0.0027524886582132478,0.004880202069131064,0.0,20,
2,TRI_lambda_0.25 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.25,TRI_J,0.0029356746990085725,0.0029629404470204066,0.002345854476371992,0.003947104330289926,0.0,20,
2,TRI_lambda_0.50 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.50,TRI_J,0.002133002130389805,0.0021532705951587293,0.0017394776239210486,0.002811239489963129,0.0,20,
2,TRI_lambda_0.75 - TRI_J,family_lambda,pixel_auroc,TRI_lambda_0.75,TRI_J,0.0011504030069086069,0.0011614905475712922,0.0009569703438028681,0.0014903796924681798,0.0,20,
2,BAL_L - BAL_J,family_lambda,pixel_auroc,BAL_L,BAL_J,0.0035732150161306153,0.003610945402935062,0.0027558278020480497,0.004798568950199121,0.0,20,
2,BAL_lambda_0.25 - BAL_J,family_lambda,pixel_auroc,BAL_lambda_0.25,BAL_J,0.0030333881843369603,0.0030652384305109026,0.002425855238501959,0.003978190701458092,0.0,20,
2,BAL_lambda_0.50 - BAL_J,family_lambda,pixel_auroc,BAL_lambda_0.50,BAL_J,0.0022440322360522957,0.002266436188188192,0.0018457980184877266,0.002880981699817619,0.0,20,
2,BAL_lambda_0.75 - BAL_J,family_lambda,pixel_auroc,BAL_lambda_0.75,BAL_J,0.001226243945037897,0.0012387740575838357,0.0010343380428122662,0.0015469648701109948,0.0,20,
2,A1_L - A1_J,additional_vs_A1_J,pixel_auroc,A1_L,A1_J,0.0022689266152973175,0.0022748336303380135,0.001555159904214659,0.0031544767807199885,0.0,20,family_lambda
2,A1_lambda_0.25 - A1_J,additional_vs_A1_J,pixel_auroc,A1_lambda_0.25,A1_J,0.001984247451883414,0.0019920268381096564,0.001464147845554556,0.0026473834400840414,0.0,20,family_lambda
2,A1_lambda_0.50 - A1_J,additional_vs_A1_J,pixel_auroc,A1_lambda_0.50,A1_J,0.0015042908005943323,0.0015112677405446306,0.001169359096084388,0.0019433379210435028,0.0,20,family_lambda
2,A1_lambda_0.75 - A1_J,additional_vs_A1_J,pixel_auroc,A1_lambda_0.75,A1_J,0.0008374682405859479,0.0008422125283118975,0.0006790241228790212,0.001052879806088633,0.0,20,family_lambda
2,TRI_L - A1_J,additional_vs_A1_J,pixel_auroc,TRI_L,A1_J,0.003182506515657213,0.0031349189254089973,0.002192250610171112,0.004463973620114894,0.0,20,
2,TRI_lambda_0.25 - A1_J,additional_vs_A1_J,pixel_auroc,TRI_lambda_0.25,A1_J,0.0025787790234002017,0.002524498621727084,0.0015719002024293244,0.003733763437359127,0.0,20,
2,TRI_lambda_0.50 - A1_J,additional_vs_A1_J,pixel_auroc,TRI_lambda_0.50,A1_J,0.0017761064547814343,0.0017148287698654063,0.0007437426845857492,0.002816189478724609,0.0,20,
2,TRI_lambda_0.75 - A1_J,additional_vs_A1_J,pixel_auroc,TRI_lambda_0.75,A1_J,0.0007935073313002361,0.0007230487222779691,-0.000274952040803067,0.001746402777826478,0.1,20,
2,BAL_L - A1_J,additional_vs_A1_J,pixel_auroc,BAL_L,A1_J,0.005779948730860518,0.005661900249862445,0.0045231882478299155,0.007823878466843884,0.0,20,
2,BAL_lambda_0.25 - A1_J,additional_vs_A1_J,pixel_auroc,BAL_lambda_0.25,A1_J,0.005240121899066863,0.005116193277438286,0.004008624167143279,0.007007648399270439,0.0,20,
2,BAL_lambda_0.50 - A1_J,additional_vs_A1_J,pixel_auroc,BAL_lambda_0.50,A1_J,0.004450765950782198,0.004317391035115576,0.0032554486493821507,0.005923473228511586,0.0,20,
2,BAL_lambda_0.75 - A1_J,additional_vs_A1_J,pixel_auroc,BAL_lambda_0.75,A1_J,0.0034329776597677997,0.003289728904511219,0.002256060514555544,0.0046284608507775014,0.0,20,
