method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9970182825475113,0.7476190757500469,0.9955940204563336,0.939929750844092,0.923076923076923
S,0.9974728972818948,0.7153718743652382,0.9963808025177026,0.954046315284521,0.9523809523809523
C,0.9856139041023495,0.31677957353363156,0.9284028324154209,0.4498062406382363,0.5434782608695652
A1_J,0.9976814537098255,0.7599332663825095,0.9896144767899292,0.8794642249038295,0.7868852459016393
DUP_J,0.997506694019866,0.7621106720054518,0.995200629425649,0.9327748500021698,0.909090909090909
TRI_J,0.9979510314610435,0.7676655982390337,0.9939417781274588,0.9244215754331653,0.90625
BAL_J,0.9978913854698989,0.7573162779562747,0.9896931549960661,0.8838723803403428,0.8275862068965517
DUP_BAL_J,0.9976814537098255,0.7599332663825095,0.9896144767899292,0.8794642249038295,0.7868852459016393
DUP_EXPECTED_J,0.997506694019866,0.7621106720054518,0.995200629425649,0.9327748500021698,0.909090909090909
A1_L,0.9980695377481904,0.7772743704911746,0.9951219512195122,0.9341946104333063,0.90625
DUP_L,0.9978377013721056,0.7711458282898113,0.9959874114870181,0.9431782161193363,0.9374999999999999
TRI_L,0.9982347339545385,0.7753763359737472,0.9960660896931549,0.952119111325972,0.9374999999999999
BAL_L,0.9982031937499818,0.7711354182416659,0.994571203776554,0.9400736412919213,0.9206349206349206
