method,image_index,sample_id,label,image_max,pixel_ap
B,0,03/test/ko/0000.bmp,1,0.6818680763244629,0.7219408811200965
B,1,03/test/ko/0001.bmp,1,0.6292643547058105,0.8471060093317118
B,2,03/test/ko/0002.bmp,1,0.6724280118942261,0.7781004677309633
B,3,03/test/ko/0003.bmp,1,0.701647937297821,0.8783419295175814
B,4,03/test/ko/0004.bmp,1,0.6077499389648438,0.8881801537331859
B,5,03/test/ko/0005.bmp,1,0.6118787527084351,0.8564016577631915
B,6,03/test/ko/0006.bmp,1,0.609473705291748,0.887008927544934
B,7,03/test/ko/0007.bmp,1,0.5368068814277649,0.9439866311335079
B,8,03/test/ko/0008.bmp,1,0.6000946760177612,0.8464634339830314
B,9,03/test/ko/0009.bmp,1,0.4454422891139984,0.20561528479392605
B,10,03/test/ko/0010.bmp,1,0.4195939898490906,0.3871403421632944
B,11,03/test/ko/0011.bmp,1,0.5729452967643738,0.9252433007605201
B,12,03/test/ko/0012.bmp,1,0.3724389970302582,0.7593909326711821
B,13,03/test/ko/0013.bmp,1,0.5729230046272278,0.7134036185894694
B,14,03/test/ko/0014.bmp,1,0.41983532905578613,0.7324574163288554
B,15,03/test/ko/0015.bmp,1,0.3716181218624115,0.6066674199543186
B,16,03/test/ko/0016.bmp,1,0.4189734160900116,0.571370147049047
B,17,03/test/ko/0017.bmp,1,0.5302180647850037,0.8550802869576174
B,18,03/test/ko/0018.bmp,1,0.6321544051170349,0.9250290929409027
B,19,03/test/ko/0019.bmp,1,0.6324272155761719,0.9645694780755185
B,20,03/test/ko/0020.bmp,1,0.5114196538925171,0.2241799741102251
B,21,03/test/ko/0021.bmp,1,0.3111950159072876,0.4185854349577865
B,22,03/test/ko/0022.bmp,1,0.48803097009658813,0.5859287230617946
B,23,03/test/ko/0023.bmp,1,0.4117286503314972,0.25159547724295805
B,24,03/test/ko/0024.bmp,1,0.5329420566558838,0.8851918745719519
B,25,03/test/ko/0025.bmp,1,0.513843297958374,0.8028060572483288
B,26,03/test/ko/0026.bmp,1,0.6505164504051208,0.9029419492088895
B,27,03/test/ko/0027.bmp,1,0.4597131311893463,0.833532625391506
B,28,03/test/ko/0028.bmp,0,0.3120902180671692,
B,29,03/test/ko/0029.bmp,0,0.29571664333343506,
B,30,03/test/ko/0030.bmp,0,0.27196162939071655,
B,31,03/test/ko/0031.bmp,0,0.37773674726486206,
B,32,03/test/ko/0032.bmp,0,0.3516935706138611,
B,33,03/test/ko/0033.bmp,0,0.3105962574481964,
B,34,03/test/ko/0034.bmp,0,0.5400170087814331,
B,35,03/test/ko/0035.bmp,0,0.24248585104942322,
B,36,03/test/ko/0036.bmp,0,0.29409512877464294,
B,37,03/test/ko/0037.bmp,0,0.29504814743995667,
B,38,03/test/ko/0038.bmp,1,0.6595585942268372,0.9502382602689708
B,39,03/test/ko/0039.bmp,1,0.35841283202171326,0.308145624704117
B,40,03/test/ko/0040.bmp,1,0.4353959262371063,0.7922001217306778
B,41,03/test/ok/0000.bmp,0,0.27989012002944946,
B,42,03/test/ok/0001.bmp,0,0.2060631960630417,
B,43,03/test/ok/0002.bmp,0,0.2567159831523895,
B,44,03/test/ok/0003.bmp,0,0.22303394973278046,
B,45,03/test/ok/0004.bmp,0,0.20946940779685974,
B,46,03/test/ok/0005.bmp,0,0.2182569056749344,
B,47,03/test/ok/0006.bmp,0,0.26109176874160767,
B,48,03/test/ok/0007.bmp,0,0.27100467681884766,
B,49,03/test/ok/0008.bmp,0,0.23293019831180573,
B,50,03/test/ok/0009.bmp,0,0.20970480144023895,
B,51,03/test/ok/0010.bmp,0,0.25105875730514526,
B,52,03/test/ok/0011.bmp,0,0.24619212746620178,
B,53,03/test/ok/0012.bmp,0,0.24286510050296783,
B,54,03/test/ok/0013.bmp,0,0.20847059786319733,
B,55,03/test/ok/0014.bmp,0,0.24776232242584229,
B,56,03/test/ok/0015.bmp,0,0.27176085114479065,
B,57,03/test/ok/0016.bmp,0,0.27951058745384216,
B,58,03/test/ok/0017.bmp,0,0.2879883944988251,
B,59,03/test/ok/0018.bmp,0,0.2706771492958069,
B,60,03/test/ok/0019.bmp,0,0.22865034639835358,
B,61,03/test/ok/0020.bmp,0,0.2668370008468628,
B,62,03/test/ok/0021.bmp,0,0.21069622039794922,
B,63,03/test/ok/0022.bmp,0,0.2838115096092224,
B,64,03/test/ok/0023.bmp,0,0.18218177556991577,
B,65,03/test/ok/0024.bmp,0,0.25590622425079346,
B,66,03/test/ok/0025.bmp,0,0.2540227472782135,
B,67,03/test/ok/0026.bmp,0,0.25266361236572266,
B,68,03/test/ok/0027.bmp,0,0.16251440346240997,
B,69,03/test/ok/0028.bmp,0,0.24160896241664886,
B,70,03/test/ok/0029.bmp,0,0.2657514214515686,
B,71,03/test/ok/0030.bmp,0,0.26839420199394226,
B,72,03/test/ok/0031.bmp,0,0.23597797751426697,
B,73,03/test/ok/0032.bmp,0,0.5562611818313599,
B,74,03/test/ok/0033.bmp,0,0.21102586388587952,
B,75,03/test/ok/0034.bmp,0,0.23529697954654694,
B,76,03/test/ok/0035.bmp,0,0.2182694971561432,
B,77,03/test/ok/0036.bmp,0,0.30853596329689026,
B,78,03/test/ok/0037.bmp,0,0.2686094641685486,
B,79,03/test/ok/0038.bmp,0,0.24722608923912048,
B,80,03/test/ok/0039.bmp,0,0.2370622754096985,
B,81,03/test/ok/0040.bmp,0,0.19536037743091583,
B,82,03/test/ok/0041.bmp,0,0.2808277904987335,
B,83,03/test/ok/0042.bmp,0,0.24667108058929443,
