method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9939206189585025,0.71890602003924,0.9828481510621558,0.9211714046334228,0.8666666666666666
S,0.9958037837007735,0.6752292228284917,0.9823760818253344,0.8996622805621749,0.8709677419354839
C,0.9733120548001917,0.1639189230223246,0.8212431156569631,0.18997403442910893,0.3214285714285714
A1_J,0.9955572928854661,0.7491938109769045,0.9892210857592447,0.9320691889275339,0.8852459016393444
DUP_J,0.9950472114797811,0.742374008210923,0.9882769472856019,0.9298571243361642,0.8813559322033899
TRI_J,0.9963822082096936,0.7469775145586403,0.9915027537372149,0.9415041431892611,0.8923076923076922
BAL_J,0.9964035283673066,0.7444715795686183,0.9886703383162865,0.9189718885199669,0.8771929824561403
DUP_BAL_J,0.9955572928854661,0.7491938109769045,0.9892210857592447,0.9320691889275339,0.8852459016393444
DUP_EXPECTED_J,0.9950472114797811,0.742374008210923,0.9882769472856019,0.9298571243361642,0.8813559322033899
A1_L,0.9964272355785121,0.7585784977342467,0.9885916601101494,0.9406627164853955,0.9
DUP_L,0.9957939871610387,0.7484427347208036,0.98654602675059,0.9331423805130593,0.8852459016393444
TRI_L,0.9970006370805539,0.7542989572480651,0.9924468922108576,0.9486380747851975,0.9206349206349206
BAL_L,0.997073140548984,0.7527760216897585,0.9916601101494886,0.9364782479605307,0.8888888888888888
