method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9970552584841621,0.7465827035823269,0.993705743509048,0.9331529418828044,0.9
S,0.997475406986994,0.7172086716199129,0.9959874114870181,0.9515797710620839,0.9354838709677419
C,0.9857324801543108,0.3869573299060932,0.9339103068450039,0.5123259502549911,0.5617977528089887
A1_J,0.9978302894821719,0.7796551085920371,0.9946498819826908,0.9375320786843085,0.8666666666666666
DUP_J,0.9976675063778623,0.7713024573598677,0.9947285601888276,0.9384418206485003,0.9
TRI_J,0.9981169391368666,0.7748537477373206,0.996774193548387,0.9551924629273829,0.909090909090909
BAL_J,0.9980924149763939,0.7761779516252526,0.9948859166011015,0.9408403034186521,0.9
DUP_BAL_J,0.9978302894821719,0.7796551085920371,0.9946498819826908,0.9375320786843085,0.8666666666666666
DUP_EXPECTED_J,0.9976675063778623,0.7713024573598677,0.9947285601888276,0.9384418206485003,0.9
A1_L,0.998199012614487,0.7858510414911929,0.995200629425649,0.9436496964277994,0.9
DUP_L,0.997936880977451,0.7743506183428871,0.9948859166011015,0.9425848633424143,0.9
TRI_L,0.9983355852827946,0.7788210827178007,0.9965381589299763,0.9536757889738143,0.923076923076923
BAL_L,0.9983458399792211,0.7807356696843981,0.9963021243115656,0.951042462515192,0.90625
