dataset,evaluation_revision,interaction,stride,n_conditions,point_delta,stride8_point_delta,stride8_replicate_mean,mean_delta,ci95_low,ci95_high,n_replicates,stride8_seed_count,shot
mpdd,study,I_TRI,1,12,0.007869823318832897,0.007721134215031747,0.007624361410800091,,,,0,,
mpdd,study,I_TRI,1,3,0.004310359052117074,0.004177215618186532,0.004115154629639448,,,,0,3,1
mpdd,study,I_TRI,1,3,0.007517029115579277,0.006811708944079046,0.007467979326833857,,,,0,3,2
mpdd,study,I_TRI,1,3,0.010322354650586138,0.009569734107438851,0.00884322968791054,,,,0,3,4
mpdd,study,I_TRI,1,3,0.009329550457049104,0.010325878190422558,0.010071081998816513,,,,0,3,8
mpdd,study,I_BAL,1,12,0.006012335758718586,0.005954790261502886,0.006153887625480011,,,,0,,
mpdd,study,I_BAL,1,3,0.0033657041229160356,0.0035324882180972073,0.0037088699417130457,,,,0,3,1
mpdd,study,I_BAL,1,3,0.005572540161961052,0.005835213505797188,0.006176833624854506,,,,0,3,2
mpdd,study,I_BAL,1,3,0.007561940757399077,0.006488000393016206,0.006444558143454658,,,,0,3,4
mpdd,study,I_BAL,1,3,0.007549157992598181,0.007963458929100942,0.008285288791897834,,,,0,3,8
btad,study,I_TRI,1,8,-0.000446338773060051,-0.00047796160378309194,-0.00019683547507656795,,,,0,,
btad,study,I_TRI,1,2,0.0019437880933178553,0.0018601665575539439,0.0020983639107900747,,,,0,2,1
btad,study,I_TRI,1,2,0.0006286992534937363,0.0006013337640233263,0.0008897661722182741,,,,0,2,2
btad,study,I_TRI,1,2,-0.0018097861526317205,-0.0018332885265673338,-0.0014990520305364179,,,,0,2,4
btad,study,I_TRI,1,2,-0.002548056286420075,-0.002540058210142304,-0.0022764199527782027,,,,0,2,8
btad,study,I_BAL,1,8,-0.0011497291758882505,-0.0011688266450667617,-0.0008731771729971874,,,,0,,
btad,study,I_BAL,1,2,0.0007660617062322794,0.0007713525290100609,0.0010072217775913546,,,,0,2,1
btad,study,I_BAL,1,2,-0.00027480114049466264,-0.0002728335094555612,3.6641510246854693e-05,,,,0,2,2
btad,study,I_BAL,1,2,-0.002286273033013597,-0.0023730740222127067,-0.001986035103410057,,,,0,2,4
btad,study,I_BAL,1,2,-0.0028039042362770217,-0.00280075157760884,-0.0025505368764169012,,,,0,2,8
btad,corrected,I_TRI,1,8,-0.00044325406324023653,-0.0004962528649813114,-0.0002074859568708924,,,,0,,
btad,corrected,I_TRI,1,2,0.0018904268571588445,0.0017470323023269785,0.001991175094612579,,,,0,2,1
btad,corrected,I_TRI,1,2,0.0006305583206898113,0.0006145395805666753,0.0009178990062825243,,,,0,2,2
btad,corrected,I_TRI,1,2,-0.001734739611141567,-0.0017630234619798735,-0.0014172519916926007,,,,0,2,4
btad,corrected,I_TRI,1,2,-0.002559261819668035,-0.002583559880839026,-0.0023217659366860724,,,,0,2,8
btad,corrected,I_BAL,1,8,-0.0011693303927403642,-0.0011939279267075692,-0.0008945533002541816,,,,0,,
btad,corrected,I_BAL,1,2,0.0006805738192192656,0.0006489266573982966,0.0008785124096502117,,,,0,2,1
btad,corrected,I_BAL,1,2,-0.0003555877184168721,-0.00036052857919144365,-4.381709973198922e-05,,,,0,2,2
btad,corrected,I_BAL,1,2,-0.0022700200563851025,-0.0023229145517919547,-0.0019203967747249244,,,,0,2,4
btad,corrected,I_BAL,1,2,-0.002732287615378748,-0.002741195233245175,-0.002492511736210025,,,,0,2,8
