dataset,evaluation_revision,interaction,dropped_category,remaining_categories,mean_delta,ci95_low,ci95_high,full_mean_delta,sign_flip,attenuation,n_replicates
mpdd,study,I_TRI,bracket_black,bracket_brown;bracket_white;connector;metal_plate;tubes,0.008651645892001753,0.004626431799008837,0.012856012127604972,0.007624361410800091,False,-0.13473711775342778,1000
mpdd,study,I_TRI,bracket_brown,bracket_black;bracket_white;connector;metal_plate;tubes,0.008861314035610244,0.004828903306430545,0.013086325680526152,0.007624361410800091,False,-0.1622368822991498,1000
mpdd,study,I_TRI,bracket_white,bracket_black;bracket_brown;connector;metal_plate;tubes,0.008394633190803483,0.005890421426144591,0.011504311199286342,0.007624361410800091,False,-0.10102771084700723,1000
mpdd,study,I_TRI,connector,bracket_black;bracket_brown;bracket_white;metal_plate;tubes,0.005046320158113969,0.0016527452622021714,0.0078412400952857,0.007624361410800091,False,0.3381320892047778,1000
mpdd,study,I_TRI,metal_plate,bracket_black;bracket_brown;bracket_white;connector;tubes,0.007834869877786936,0.003833240637248233,0.012020127889151746,0.007624361410800091,False,-0.02760998012091287,1000
mpdd,study,I_TRI,tubes,bracket_black;bracket_brown;bracket_white;connector;metal_plate,0.006957385310484156,0.002932157439558195,0.011157129922848938,0.007624361410800091,False,0.08747960181572023,1000
mpdd,study,I_BAL,bracket_black,bracket_brown;bracket_white;connector;metal_plate;tubes,0.007125024742405723,0.0036654810103440194,0.010937357661786083,0.006153887625480011,False,-0.15780871800530516,1000
mpdd,study,I_BAL,bracket_brown,bracket_black;bracket_white;connector;metal_plate;tubes,0.007264788245322754,0.0037113142280328837,0.011011394949412768,0.006153887625480011,False,-0.180520134173898,1000
mpdd,study,I_BAL,bracket_white,bracket_black;bracket_brown;connector;metal_plate;tubes,0.006806163797470471,0.004446327943665199,0.009559997232576911,0.006153887625480011,False,-0.10599416363888858,1000
mpdd,study,I_BAL,connector,bracket_black;bracket_brown;bracket_white;metal_plate;tubes,0.0041855548218848885,0.0011748289529334918,0.0070481912259349805,0.006153887625480011,False,0.31985192505714466,1000
mpdd,study,I_BAL,metal_plate,bracket_black;bracket_brown;bracket_white;connector;tubes,0.006371725979091442,0.0028702879578043627,0.010141983923505885,0.006153887625480011,False,-0.03539849390643357,1000
mpdd,study,I_BAL,tubes,bracket_black;bracket_brown;bracket_white;connector;metal_plate,0.005170068166704793,0.0017458055733017368,0.008811063993923096,0.006153887625480011,False,0.15986958466737988,1000
btad,study,I_TRI,01,02;03,-0.0004379293289580215,-0.002000580177174602,0.0012746197991056257,-0.00019683547507656795,False,-1.2248496049183681,1000
btad,study,I_TRI,02,01;03,0.00036791421419915646,-0.0021197411261867894,0.00352737752193145,-0.00019683547507656795,True,-0.8691458643623047,1000
btad,study,I_TRI,03,01;02,-0.0005204913104708367,-0.002864059518103253,0.0023078692486782925,-0.00019683547507656795,False,-1.644296259443926,1000
btad,study,I_BAL,01,02;03,-0.001850520967390813,-0.0031637734674051492,-0.0004533144649887926,-0.0008731771729971874,False,-1.1192960886035141,1000
btad,study,I_BAL,02,01;03,-0.0005049910352732386,-0.0030136936082528955,0.0024588096473624342,-0.0008731771729971874,False,0.4216625778937245,1000
btad,study,I_BAL,03,01;02,-0.00026401951632751454,-0.0025778269929330445,0.0025238603883237006,-0.0008731771729971874,False,0.6976335107097846,1000
btad,corrected,I_TRI,01,02;03,-0.0004539050516495075,-0.002016509183424133,0.0012779508132792074,-0.0002074859568708924,False,-1.1876422794818287,1000
btad,corrected,I_TRI,02,01;03,0.00035193849150767055,-0.0022088667001501825,0.0034796364191088613,-0.0002074859568708924,True,-0.6962039109310099,1000
btad,corrected,I_TRI,03,01;02,-0.0005204913104708367,-0.002864059518103253,0.0023078692486782925,-0.0002074859568708924,False,-1.5085616314491643,1000
btad,corrected,I_BAL,01,02;03,-0.0018825851582763035,-0.0032483511879592593,-0.0004058492102975077,-0.0008945533002541816,False,-1.1044974712422153,1000
btad,corrected,I_BAL,02,01;03,-0.0005370552261587293,-0.0030873799703076124,0.0023815858272739432,-0.0008945533002541816,False,0.3996386509265256,1000
btad,corrected,I_BAL,03,01;02,-0.00026401951632751454,-0.0025778269929330445,0.0025238603883237006,-0.0008945533002541816,False,0.7048588203156871,1000
