method,image_index,sample_id,label,image_max,pixel_ap
D,0,bracket_brown/test/bend_and_parts_mismatch/000.png,1,0.383132666349411,0.4903876949225354
D,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1,0.4199267625808716,0.5220926488210497
D,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1,0.38413068652153015,0.43700423936896243
D,3,bracket_brown/test/bend_and_parts_mismatch/003.png,1,0.3702481687068939,0.3551698544428715
D,4,bracket_brown/test/bend_and_parts_mismatch/004.png,1,0.35404837131500244,0.28328212700605804
D,5,bracket_brown/test/bend_and_parts_mismatch/005.png,1,0.3619098365306854,0.15931979650169437
D,6,bracket_brown/test/bend_and_parts_mismatch/006.png,1,0.41471004486083984,0.11260474221441624
D,7,bracket_brown/test/bend_and_parts_mismatch/007.png,1,0.3749483525753021,0.09688091494612647
D,8,bracket_brown/test/bend_and_parts_mismatch/008.png,1,0.41958749294281006,0.18686462852192431
D,9,bracket_brown/test/bend_and_parts_mismatch/009.png,1,0.41377538442611694,0.24259071108301614
D,10,bracket_brown/test/bend_and_parts_mismatch/010.png,1,0.4007278382778168,0.38775707661404973
D,11,bracket_brown/test/bend_and_parts_mismatch/011.png,1,0.37087151408195496,0.40569538793533394
D,12,bracket_brown/test/bend_and_parts_mismatch/012.png,1,0.3727143704891205,0.16647607818448396
D,13,bracket_brown/test/bend_and_parts_mismatch/013.png,1,0.3490862250328064,0.382361361985435
D,14,bracket_brown/test/bend_and_parts_mismatch/014.png,1,0.3746475577354431,0.11575283927006029
D,15,bracket_brown/test/bend_and_parts_mismatch/015.png,1,0.3548181354999542,0.2636881713960757
D,16,bracket_brown/test/bend_and_parts_mismatch/016.png,1,0.36075133085250854,0.4078710894606771
D,17,bracket_brown/test/good/000.png,0,0.32836923003196716,
D,18,bracket_brown/test/good/001.png,0,0.4107487201690674,
D,19,bracket_brown/test/good/002.png,0,0.3895551562309265,
D,20,bracket_brown/test/good/003.png,0,0.4057976007461548,
D,21,bracket_brown/test/good/004.png,0,0.4231777787208557,
D,22,bracket_brown/test/good/005.png,0,0.33468350768089294,
D,23,bracket_brown/test/good/006.png,0,0.404167115688324,
D,24,bracket_brown/test/good/007.png,0,0.40797582268714905,
D,25,bracket_brown/test/good/008.png,0,0.37759795784950256,
D,26,bracket_brown/test/good/009.png,0,0.37080079317092896,
D,27,bracket_brown/test/good/010.png,0,0.3801704943180084,
D,28,bracket_brown/test/good/011.png,0,0.3303568959236145,
D,29,bracket_brown/test/good/012.png,0,0.3990395963191986,
D,30,bracket_brown/test/good/013.png,0,0.3477022647857666,
D,31,bracket_brown/test/good/014.png,0,0.3012336194515228,
D,32,bracket_brown/test/good/015.png,0,0.39298751950263977,
D,33,bracket_brown/test/good/016.png,0,0.4007255733013153,
D,34,bracket_brown/test/good/017.png,0,0.3611847758293152,
D,35,bracket_brown/test/good/018.png,0,0.44456326961517334,
D,36,bracket_brown/test/good/019.png,0,0.42342257499694824,
D,37,bracket_brown/test/good/020.png,0,0.42679089307785034,
D,38,bracket_brown/test/good/021.png,0,0.3401668667793274,
D,39,bracket_brown/test/good/022.png,0,0.34882065653800964,
D,40,bracket_brown/test/good/023.png,0,0.30057990550994873,
D,41,bracket_brown/test/good/024.png,0,0.3630920648574829,
D,42,bracket_brown/test/good/025.png,0,0.37474194169044495,
D,43,bracket_brown/test/parts_mismatch/000.png,1,0.3088347613811493,0.21207264957264957
D,44,bracket_brown/test/parts_mismatch/001.png,1,0.31302767992019653,0.04222251746548422
D,45,bracket_brown/test/parts_mismatch/002.png,1,0.3826253116130829,0.05808080808080808
D,46,bracket_brown/test/parts_mismatch/003.png,1,0.4055483937263489,0.023255813953488372
D,47,bracket_brown/test/parts_mismatch/004.png,1,0.39156484603881836,0.024263038548752835
D,48,bracket_brown/test/parts_mismatch/005.png,1,0.402539998292923,0.021419559213274677
D,49,bracket_brown/test/parts_mismatch/006.png,1,0.3577691912651062,0.027144576955694062
D,50,bracket_brown/test/parts_mismatch/007.png,1,0.32121044397354126,0.07078796393864886
D,51,bracket_brown/test/parts_mismatch/008.png,1,0.3281566798686981,0.015393479974991568
D,52,bracket_brown/test/parts_mismatch/009.png,1,0.3626028001308441,0.03272868511621242
D,53,bracket_brown/test/parts_mismatch/010.png,1,0.28568005561828613,0.07042509601450744
D,54,bracket_brown/test/parts_mismatch/011.png,1,0.4225834012031555,0.19387898922782643
D,55,bracket_brown/test/parts_mismatch/012.png,1,0.42426252365112305,0.019130304055323785
D,56,bracket_brown/test/parts_mismatch/013.png,1,0.41919857263565063,0.03874521909952086
D,57,bracket_brown/test/parts_mismatch/014.png,1,0.2916781008243561,0.11686184857199786
