method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
controlled_A1_J,mpdd,0,1,__macro__,canvas grid*14,0.31440996738097865,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_L,mpdd,0,1,__macro__,canvas grid*14,0.31934009466031105,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_J,mpdd,0,4,__macro__,canvas grid*14,0.38699362568098966,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_L,mpdd,0,4,__macro__,canvas grid*14,0.39459767175176846,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_J,mpdd,1,1,__macro__,canvas grid*14,0.34167157876706017,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_L,mpdd,1,1,__macro__,canvas grid*14,0.34821213860868006,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_J,mpdd,1,4,__macro__,canvas grid*14,0.4058513415747375,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_L,mpdd,1,4,__macro__,canvas grid*14,0.41260997827835255,,,canvas,False,study,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv,
controlled_A1_J,btad,0,1,__macro__,canvas grid*14,0.6180088049001055,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_L,btad,0,1,__macro__,canvas grid*14,0.6282613708343763,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_J,btad,0,4,__macro__,canvas grid*14,0.648794549369239,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_L,btad,0,4,__macro__,canvas grid*14,0.6607613149675856,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_J,btad,1,1,__macro__,canvas grid*14,0.6313319833259481,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_L,btad,1,1,__macro__,canvas grid*14,0.6397464726467293,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_J,btad,1,4,__macro__,canvas grid*14,0.6462953114859743,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
controlled_A1_L,btad,1,4,__macro__,canvas grid*14,0.6533757404230773,,,canvas,False,corrected,full-pixel (stride-1) macro over categories,R/p4_fullpixel/fullpixel_metrics.csv + NEW/01_geometry/btad03_variant_metrics.csv,
PatchCore_native_local128,mpdd,0,1,bracket_black,canvas grid*14 (448x448),0.0019597199353301384,0.7762494062594009,0.002140536833976013,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,True
PatchCore_native_local128,mpdd,0,1,bracket_brown,canvas grid*14 (448x448),0.02140531301470815,0.8769795175115496,0.021031087804975077,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_local128,mpdd,0,1,bracket_white,canvas grid*14 (448x448),0.002602152559898621,0.9372307139424522,0.0025999423610009492,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,True
