method,dataset,seed,shot,category,revision,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source,source_table,note
controlled_A1_J,btad,0,1,01,corrected,392x392,0.765625,0.5920857519907419,0.9641842749727609,10756480,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\01\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_L,btad,0,1,01,corrected,392x392,0.765625,0.6027101006572567,0.9669428988479429,10756480,1.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\01\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas,btad,0,1,01,corrected,392x392,0.765625,0.3779393149133239,0.9296528848323169,10756480,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_01.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas_rotation,btad,0,1,01,corrected,392x392,0.765625,0.3927553964600652,0.9358149558994807,10756480,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_01.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
PatchCore_harmonised448,btad,0,1,01,corrected,392x392,0.765625,0.3403012648094415,0.9402227808540005,10756480,1.4,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_01.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_J,btad,0,1,02,corrected,392x392,0.765625,0.6213032558265671,0.9641186579905846,35342720,4.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\02\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_L,btad,0,1,02,corrected,392x392,0.765625,0.6277788397644478,0.9644812729231599,35342720,4.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p3_external\units\btad_s0_k1\02\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas,btad,0,1,02,corrected,392x392,0.765625,0.6536784515422925,0.964377504839921,35342720,3.9,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_02.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas_rotation,btad,0,1,02,corrected,392x392,0.765625,0.6897374960268629,0.9670476630598858,35342720,3.9,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_02.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
PatchCore_harmonised448,btad,0,1,02,corrected,392x392,0.765625,0.6645880416668459,0.9636962217908658,35342720,5.0,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_02.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_J,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6387138337628119,0.9881603851800443,67765824,7.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k1\03__rev_correct\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_L,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6529217398304452,0.9898645516666988,67765824,6.7,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\01_geometry\units\btad_s0_k1\03__rev_correct\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6413039606051928,0.9910965185366457,67765824,6.5,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\btad_s0_k1_03.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas_rotation,btad,0,1,03,corrected,392x392,0.5835777126099707,0.6817472575503138,0.9936506341781589,67765824,6.7,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\btad_s0_k1_03.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
PatchCore_harmonised448,btad,0,1,03,corrected,392x392,0.5835777126099707,0.11272658229531478,0.9722118211827531,67765824,8.9,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\btad_s0_k1\predictions\mvtec_03.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_J,mpdd,0,1,bracket_black,study,392x392,0.765625,0.010274731966875145,0.9262981030034734,12139456,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_L,mpdd,0,1,bracket_black,study,392x392,0.765625,0.009271959091544393,0.9198735977741512,12139456,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_black\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas,mpdd,0,1,bracket_black,study,392x392,0.765625,0.023429638568317722,0.9134700275578133,12139456,1.2,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_black.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas_rotation,mpdd,0,1,bracket_black,study,392x392,0.765625,0.044146481733702385,0.9152160061079493,12139456,1.2,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_black.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
PatchCore_harmonised448,mpdd,0,1,bracket_black,study,392x392,0.765625,0.006254671422096857,0.9049595087615055,12139456,1.5,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_bracket_black.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_J,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.040238613930084564,0.9008171333755981,11832128,1.2,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
controlled_A1_L,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.04478865200391644,0.9090960737940728,11832128,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\bracket_brown\patch_scores.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.05100107479533445,0.9206683146656112,11832128,1.1,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_brown.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
anomalydino_canvas_rotation,mpdd,0,1,bracket_brown,study,392x392,0.765625,0.05447569713366411,0.9223622032694321,11832128,1.2,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_brown.npz,05_baselines_harmonised_20260922,harmonised subset: single input geometry (short side 448)
