dataset,category,seed,grid,n_query,n_ref,dim,query_sha256,ref_sha256,ref_shape,query_encoded,ref_encoded,reused,query_seconds,ref_seconds,query_shape,features_dir,created_utc
btad,01,0,"[32, 32]",70,8,384,c845fe5e14f8c49998ab2a310321e7624570b95f6d0fc897657aa91f2a3e84a3,0cc7f47fc157db6176b7cf9e139c6826a5e5f36ac86fdf3116d19910021499de,"[8, 32, 32, 384]",False,False,True,,,"[70, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:04.813142+00:00
btad,01,1,"[32, 32]",70,8,384,c845fe5e14f8c49998ab2a310321e7624570b95f6d0fc897657aa91f2a3e84a3,9febe83f7c66653db1f37211aa0c70ac34b12860bae529bb9b05af6846bd055b,"[8, 32, 32, 384]",False,False,True,,,"[70, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:04.962242+00:00
btad,01,2,"[32, 32]",70,8,384,c845fe5e14f8c49998ab2a310321e7624570b95f6d0fc897657aa91f2a3e84a3,e2cf38c54fa5d82b68af456aae5d1e39fe1b76df79f189081d7a685db733c732,"[8, 32, 32, 384]",False,False,True,,,"[70, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:05.113303+00:00
btad,02,0,"[32, 32]",230,8,384,c175e4826cdf7940dd8b987b506ecf5108026af0c1f575c06942de5d0e9495f8,ea604589a9cc62c61451ccd62f9d2514509c95497e8d65686f229366c5071aa9,"[8, 32, 32, 384]",False,False,True,,,"[230, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:05.535932+00:00
btad,02,1,"[32, 32]",230,8,384,c175e4826cdf7940dd8b987b506ecf5108026af0c1f575c06942de5d0e9495f8,440a5323ad77e2aa65b9412b7a9a8c82394f543996bf6b8deaafab80faa1e263,"[8, 32, 32, 384]",False,False,True,,,"[230, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:05.985798+00:00
btad,02,2,"[32, 32]",230,8,384,c175e4826cdf7940dd8b987b506ecf5108026af0c1f575c06942de5d0e9495f8,81684b42f0fa1215f8b3650660426c6e5dc9a8fd4e67c9aa988d7a04cb88cbfb,"[8, 32, 32, 384]",False,False,True,,,"[230, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:06.430863+00:00
btad,03,0,"[32, 42]",441,8,384,6d5db0c9bce9caefe75930a98802d8dbff5fdc69231cf6557ee54def2539f3fd,ca417ac845db9135856a521f1dee897dae636c9420b94ff8d15152ed29da8958,"[8, 32, 42, 384]",False,False,True,,,"[441, 32, 42, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:07.537878+00:00
btad,03,1,"[32, 42]",441,8,384,6d5db0c9bce9caefe75930a98802d8dbff5fdc69231cf6557ee54def2539f3fd,f0df6c963c24054a8b801461f287d10ec532e136fde2fd0e9a964edc128cf04c,"[8, 32, 42, 384]",False,False,True,,,"[441, 32, 42, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:08.641345+00:00
btad,03,2,"[32, 42]",441,8,384,6d5db0c9bce9caefe75930a98802d8dbff5fdc69231cf6557ee54def2539f3fd,55476e6d95e96c29509245d5dead4a62ab6daed2eebf1247bc624264f89af8db,"[8, 32, 42, 384]",False,False,True,,,"[441, 32, 42, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:09.700839+00:00
mpdd,bracket_black,0,"[32, 32]",79,8,384,d555b4e5f3ac1bd3e06fdf67d56adf04524b09ae4d2d5afbccd9e75dc5951251,4cb67df0d71218ebe8a138147f779883c0b0087ad5886da50ae301ec15208cbe,"[8, 32, 32, 384]",False,False,True,,,"[79, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:09.874190+00:00
mpdd,bracket_black,1,"[32, 32]",79,8,384,d555b4e5f3ac1bd3e06fdf67d56adf04524b09ae4d2d5afbccd9e75dc5951251,53b92d78e7121c0f2214a1a472d990d7af1d3d450a171e53a3dc4b5250a352ad,"[8, 32, 32, 384]",False,False,True,,,"[79, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.040505+00:00
mpdd,bracket_black,2,"[32, 32]",79,8,384,d555b4e5f3ac1bd3e06fdf67d56adf04524b09ae4d2d5afbccd9e75dc5951251,7708553c54a149c4911de0a9acd683ad3ce7396100235fec6522276d642e1a7f,"[8, 32, 32, 384]",False,False,True,,,"[79, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.225461+00:00
mpdd,bracket_brown,0,"[32, 32]",77,8,384,4e1257855a20fb653cc2bfe196d361098cc00b3c0649578b47fd98587b0f3eb0,c588f4835ea582c44768f591032103f4066c5ff967a814b24bb20944525fc610,"[8, 32, 32, 384]",False,False,True,,,"[77, 32, 32, 384]",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_extra_encoders\E1\features,2026-09-18T21:37:10.384596+00:00
