method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,02/test/ko/0000.png,4096,3447,3416,52,21,3395,628,0,0,0.841552734375,0.833984375,0.0126953125,0.005126953125
A1,image,1,02/test/ko/0001.png,4096,3643,3608,48,13,3595,440,0,0,0.889404296875,0.880859375,0.01171875,0.003173828125
A1,image,2,02/test/ko/0002.png,4096,3666,3631,74,39,3592,391,0,0,0.89501953125,0.886474609375,0.01806640625,0.009521484375
A1,image,3,02/test/ko/0003.png,4032,3440,3432,63,55,3377,537,0,0,0.8531746031746031,0.8511904761904762,0.015625,0.013640873015873016
A1,image,4,02/test/ko/0004.png,4096,3628,3660,14,46,3614,422,0,0,0.8857421875,0.8935546875,0.00341796875,0.01123046875
A1,image,5,02/test/ko/0005.png,4096,3104,3108,47,51,3057,941,0,0,0.7578125,0.7587890625,0.011474609375,0.012451171875
A1,image,6,02/test/ko/0006.png,4096,3449,3424,53,28,3396,619,0,0,0.842041015625,0.8359375,0.012939453125,0.0068359375
A1,image,7,02/test/ko/0007.png,4096,3527,3496,45,14,3482,555,0,0,0.861083984375,0.853515625,0.010986328125,0.00341796875
A1,image,8,02/test/ko/0008.png,4096,3572,3564,44,36,3528,488,0,0,0.8720703125,0.8701171875,0.0107421875,0.0087890625
A1,image,9,02/test/ko/0009.png,4096,3713,3706,23,16,3690,367,0,0,0.906494140625,0.90478515625,0.005615234375,0.00390625
A1,image,10,02/test/ko/0010.png,4096,3022,2982,69,29,2953,1045,0,0,0.73779296875,0.72802734375,0.016845703125,0.007080078125
A1,image,11,02/test/ko/0011.png,1856,1703,1682,41,20,1662,133,0,0,0.9175646551724138,0.90625,0.02209051724137931,0.010775862068965518
A1,image,12,02/test/ko/0012.png,4096,3334,3270,84,20,3250,742,0,0,0.81396484375,0.79833984375,0.0205078125,0.0048828125
A1,image,13,02/test/ko/0013.png,4096,3737,3723,38,24,3699,335,0,0,0.912353515625,0.908935546875,0.00927734375,0.005859375
A1,image,14,02/test/ko/0014.png,4096,2902,2918,46,62,2856,1132,0,0,0.70849609375,0.71240234375,0.01123046875,0.01513671875
A1,image,15,02/test/ko/0015.png,4096,3447,3482,33,68,3414,581,0,0,0.841552734375,0.85009765625,0.008056640625,0.0166015625
A1,image,16,02/test/ko/0016.png,4096,3627,3548,101,22,3526,447,0,0,0.885498046875,0.8662109375,0.024658203125,0.00537109375
A1,image,17,02/test/ko/0017.png,4096,3712,3708,42,38,3670,346,0,0,0.90625,0.9052734375,0.01025390625,0.00927734375
A1,image,18,02/test/ko/0018.png,4096,3982,3980,9,7,3973,107,0,0,0.97216796875,0.9716796875,0.002197265625,0.001708984375
A1,image,19,02/test/ko/0019.png,1600,1530,1535,4,9,1526,61,0,0,0.95625,0.959375,0.0025,0.005625
A1,image,20,02/test/ko/0020.png,3712,3385,3376,12,3,3373,324,0,0,0.9119073275862069,0.9094827586206896,0.003232758620689655,0.0008081896551724138
A1,image,21,02/test/ko/0021.png,4096,3675,3662,69,56,3606,365,0,0,0.897216796875,0.89404296875,0.016845703125,0.013671875
A1,image,22,02/test/ko/0022.png,4096,3839,3832,24,17,3815,240,0,0,0.937255859375,0.935546875,0.005859375,0.004150390625
A1,image,23,02/test/ko/0023.png,4096,3712,3724,32,44,3680,340,0,0,0.90625,0.9091796875,0.0078125,0.0107421875
A1,image,24,02/test/ko/0024.png,4096,3631,3618,38,25,3593,440,0,0,0.886474609375,0.88330078125,0.00927734375,0.006103515625
A1,image,25,02/test/ko/0025.png,4096,3637,3633,35,31,3602,428,0,0,0.887939453125,0.886962890625,0.008544921875,0.007568359375
A1,image,26,02/test/ko/0026.png,4096,3416,3384,59,27,3357,653,0,0,0.833984375,0.826171875,0.014404296875,0.006591796875
A1,image,27,02/test/ko/0027.png,256,243,239,4,0,239,13,0,0,0.94921875,0.93359375,0.015625,0.0
A1,image,28,02/test/ko/0028.png,4096,3128,3147,34,53,3094,915,0,0,0.763671875,0.768310546875,0.00830078125,0.012939453125
A1,image,29,02/test/ko/0029.png,4096,3857,3854,17,14,3840,225,0,0,0.941650390625,0.94091796875,0.004150390625,0.00341796875
A1,image,30,02/test/ko/0030.png,4096,3775,3775,30,30,3745,291,0,0,0.921630859375,0.921630859375,0.00732421875,0.00732421875
A1,image,31,02/test/ko/0031.png,960,900,889,13,2,887,58,0,0,0.9375,0.9260416666666667,0.013541666666666667,0.0020833333333333333
A1,image,32,02/test/ko/0032.png,4096,3271,3262,45,36,3226,789,0,0,0.798583984375,0.79638671875,0.010986328125,0.0087890625
A1,image,33,02/test/ko/0033.png,896,835,828,10,3,825,58,0,0,0.9319196428571429,0.9241071428571429,0.011160714285714286,0.0033482142857142855
A1,image,34,02/test/ko/0034.png,3008,2889,2864,36,11,2853,108,0,0,0.960438829787234,0.9521276595744681,0.011968085106382979,0.0036569148936170214
A1,image,35,02/test/ko/0035.png,4096,3739,3739,24,24,3715,333,0,0,0.912841796875,0.912841796875,0.005859375,0.005859375
A1,image,36,02/test/ko/0036.png,4096,3164,3117,78,31,3086,901,0,0,0.7724609375,0.760986328125,0.01904296875,0.007568359375
A1,image,37,02/test/ko/0037.png,4096,3701,3692,35,26,3666,369,0,0,0.903564453125,0.9013671875,0.008544921875,0.00634765625
A1,image,38,02/test/ko/0038.png,4096,3741,3723,32,14,3709,341,0,0,0.913330078125,0.908935546875,0.0078125,0.00341796875
A1,image,39,02/test/ko/0039.png,4096,3679,3691,32,44,3647,373,0,0,0.898193359375,0.901123046875,0.0078125,0.0107421875
A1,image,40,02/test/ko/0040.png,4096,3817,3819,24,26,3793,253,0,0,0.931884765625,0.932373046875,0.005859375,0.00634765625
A1,image,41,02/test/ko/0041.png,4096,3691,3659,41,9,3650,396,0,0,0.901123046875,0.893310546875,0.010009765625,0.002197265625
A1,image,42,02/test/ko/0042.png,768,715,712,5,2,710,51,0,0,0.9309895833333334,0.9270833333333334,0.006510416666666667,0.0026041666666666665
A1,image,43,02/test/ko/0043.png,4096,3618,3575,65,22,3553,456,0,0,0.88330078125,0.872802734375,0.015869140625,0.00537109375
A1,image,44,02/test/ko/0044.png,4096,3782,3849,11,78,3771,236,0,0,0.92333984375,0.939697265625,0.002685546875,0.01904296875
A1,image,45,02/test/ko/0045.png,4096,3025,3044,78,97,2947,974,0,0,0.738525390625,0.7431640625,0.01904296875,0.023681640625
A1,image,46,02/test/ko/0046.png,4096,3245,3218,66,39,3179,812,0,0,0.792236328125,0.78564453125,0.01611328125,0.009521484375
A1,image,47,02/test/ko/0047.png,4096,3428,3417,56,45,3372,623,0,0,0.8369140625,0.834228515625,0.013671875,0.010986328125
A1,image,48,02/test/ko/0048.png,4096,3318,3278,70,30,3248,748,0,0,0.81005859375,0.80029296875,0.01708984375,0.00732421875
A1,image,49,02/test/ko/0049.png,4096,3684,3694,16,26,3668,386,0,0,0.8994140625,0.90185546875,0.00390625,0.00634765625
A1,image,50,02/test/ko/0050.png,4096,3512,3504,38,30,3474,554,0,0,0.857421875,0.85546875,0.00927734375,0.00732421875
A1,image,51,02/test/ko/0051.png,4096,3647,3647,25,25,3622,424,0,0,0.890380859375,0.890380859375,0.006103515625,0.006103515625
A1,image,52,02/test/ko/0052.png,4096,3931,3921,28,18,3903,147,0,0,0.959716796875,0.957275390625,0.0068359375,0.00439453125
A1,image,53,02/test/ko/0053.png,4096,3956,3930,31,5,3925,135,0,0,0.9658203125,0.95947265625,0.007568359375,0.001220703125
A1,image,54,02/test/ko/0054.png,3712,3184,3150,88,54,3096,474,0,0,0.8577586206896551,0.8485991379310345,0.023706896551724137,0.014547413793103448
A1,image,55,02/test/ko/0055.png,4032,3847,3838,27,18,3820,167,0,0,0.9541170634920635,0.9518849206349206,0.006696428571428571,0.004464285714285714
A1,image,56,02/test/ko/0056.png,4096,3943,3924,25,6,3918,147,0,0,0.962646484375,0.9580078125,0.006103515625,0.00146484375
A1,image,57,02/test/ko/0057.png,4096,3543,3533,35,25,3508,528,0,0,0.864990234375,0.862548828125,0.008544921875,0.006103515625
A1,image,58,02/test/ko/0058.png,4096,3521,3473,67,19,3454,556,0,0,0.859619140625,0.847900390625,0.016357421875,0.004638671875
A1,image,59,02/test/ko/0059.png,4096,3885,3889,11,15,3874,196,0,0,0.948486328125,0.949462890625,0.002685546875,0.003662109375
A1,image,60,02/test/ko/0060.png,4096,3760,3765,14,19,3746,317,0,0,0.91796875,0.919189453125,0.00341796875,0.004638671875
A1,image,61,02/test/ko/0061.png,4096,3601,3578,51,28,3550,467,0,0,0.879150390625,0.87353515625,0.012451171875,0.0068359375
A1,image,62,02/test/ko/0062.png,4096,3940,3932,17,9,3923,147,0,0,0.9619140625,0.9599609375,0.004150390625,0.002197265625
A1,image,63,02/test/ko/0063.png,4096,3333,3302,72,41,3261,722,0,0,0.813720703125,0.80615234375,0.017578125,0.010009765625
A1,image,64,02/test/ko/0064.png,4096,3535,3501,77,43,3458,518,0,0,0.863037109375,0.854736328125,0.018798828125,0.010498046875
A1,image,65,02/test/ko/0065.png,3968,3703,3675,46,18,3657,247,0,0,0.9332157258064516,0.9261592741935484,0.011592741935483871,0.0045362903225806455
A1,image,66,02/test/ko/0066.png,4096,3885,3852,39,6,3846,205,0,0,0.948486328125,0.9404296875,0.009521484375,0.00146484375
A1,image,67,02/test/ko/0067.png,4096,3362,3324,54,16,3308,718,0,0,0.82080078125,0.8115234375,0.01318359375,0.00390625
A1,image,68,02/test/ko/0068.png,4096,3370,3323,68,21,3302,705,0,0,0.82275390625,0.811279296875,0.0166015625,0.005126953125
A1,image,69,02/test/ko/0069.png,4096,3915,3916,10,11,3905,170,0,0,0.955810546875,0.9560546875,0.00244140625,0.002685546875
A1,image,70,02/test/ko/0070.png,896,824,825,6,7,818,65,0,0,0.9196428571428571,0.9207589285714286,0.006696428571428571,0.0078125
A1,image,71,02/test/ko/0071.png,1280,967,961,20,14,947,299,0,0,0.75546875,0.75078125,0.015625,0.0109375
A1,image,72,02/test/ko/0072.png,4096,3569,3534,47,12,3522,515,0,0,0.871337890625,0.86279296875,0.011474609375,0.0029296875
A1,image,73,02/test/ko/0073.png,1408,1308,1292,20,4,1288,96,0,0,0.9289772727272727,0.9176136363636364,0.014204545454545454,0.002840909090909091
A1,image,74,02/test/ko/0074.png,704,698,695,3,0,695,6,0,0,0.9914772727272727,0.9872159090909091,0.004261363636363636,0.0
A1,image,75,02/test/ko/0075.png,4096,3091,3092,72,73,3019,932,0,0,0.754638671875,0.7548828125,0.017578125,0.017822265625
A1,image,76,02/test/ko/0076.png,4096,3794,3799,19,24,3775,278,0,0,0.92626953125,0.927490234375,0.004638671875,0.005859375
A1,image,77,02/test/ko/0077.png,4096,3625,3610,39,24,3586,447,0,0,0.885009765625,0.88134765625,0.009521484375,0.005859375
A1,image,78,02/test/ko/0078.png,4096,3743,3714,56,27,3687,326,0,0,0.913818359375,0.90673828125,0.013671875,0.006591796875
A1,image,79,02/test/ko/0079.png,4096,3817,3795,37,15,3780,264,0,0,0.931884765625,0.926513671875,0.009033203125,0.003662109375
A1,image,80,02/test/ko/0080.png,2112,1857,1825,64,32,1793,223,0,0,0.8792613636363636,0.8641098484848485,0.030303030303030304,0.015151515151515152
A1,image,81,02/test/ko/0081.png,1152,1090,1089,1,0,1089,62,0,0,0.9461805555555556,0.9453125,0.0008680555555555555,0.0
A1,image,82,02/test/ko/0082.png,640,537,521,19,3,518,100,0,0,0.8390625,0.8140625,0.0296875,0.0046875
A1,image,83,02/test/ko/0083.png,960,946,926,20,0,926,14,0,0,0.9854166666666667,0.9645833333333333,0.020833333333333332,0.0
A1,image,84,02/test/ko/0084.png,320,302,304,1,3,301,15,0,0,0.94375,0.95,0.003125,0.009375
A1,image,85,02/test/ko/0085.png,1664,1411,1417,20,26,1391,227,0,0,0.8479567307692307,0.8515625,0.01201923076923077,0.015625
A1,image,86,02/test/ko/0086.png,640,637,635,2,0,635,3,0,0,0.9953125,0.9921875,0.003125,0.0
A1,image,87,02/test/ko/0087.png,4096,2807,2815,160,168,2647,1121,0,0,0.685302734375,0.687255859375,0.0390625,0.041015625
A1,image,88,02/test/ko/0088.png,320,274,264,10,0,264,46,0,0,0.85625,0.825,0.03125,0.0
A1,image,89,02/test/ko/0089.png,576,486,498,8,20,478,70,0,0,0.84375,0.8645833333333334,0.013888888888888888,0.034722222222222224
A1,image,90,02/test/ko/0090.png,320,318,317,1,0,317,2,0,0,0.99375,0.990625,0.003125,0.0
A1,image,91,02/test/ko/0091.png,640,627,619,8,0,619,13,0,0,0.9796875,0.9671875,0.0125,0.0
A1,image,92,02/test/ko/0092.png,320,308,301,7,0,301,12,0,0,0.9625,0.940625,0.021875,0.0
A1,image,93,02/test/ko/0093.png,512,445,451,8,14,437,53,0,0,0.869140625,0.880859375,0.015625,0.02734375
A1,image,94,02/test/ko/0094.png,1152,1076,1102,4,30,1072,46,0,0,0.9340277777777778,0.9565972222222222,0.003472222222222222,0.026041666666666668
A1,image,95,02/test/ko/0095.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,96,02/test/ko/0096.png,960,764,742,54,32,710,164,0,0,0.7958333333333333,0.7729166666666667,0.05625,0.03333333333333333
A1,image,97,02/test/ko/0097.png,320,223,212,13,2,210,95,0,0,0.696875,0.6625,0.040625,0.00625
A1,image,98,02/test/ko/0098.png,256,256,256,0,0,256,0,0,0,1.0,1.0,0.0,0.0
A1,image,99,02/test/ko/0099.png,320,320,318,2,0,318,0,0,0,1.0,0.99375,0.00625,0.0
A1,image,100,02/test/ko/0100.png,320,318,318,1,1,317,1,0,0,0.99375,0.99375,0.003125,0.003125
A1,image,101,02/test/ko/0101.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,102,02/test/ko/0102.png,1024,951,950,14,13,937,60,0,0,0.9287109375,0.927734375,0.013671875,0.0126953125
A1,image,103,02/test/ko/0103.png,1280,801,828,43,70,758,409,0,0,0.62578125,0.646875,0.03359375,0.0546875
A1,image,104,02/test/ko/0104.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,105,02/test/ko/0105.png,1536,962,911,97,46,865,528,0,0,0.6263020833333334,0.5930989583333334,0.06315104166666667,0.029947916666666668
A1,image,106,02/test/ko/0106.png,2560,2135,2118,84,67,2051,358,0,0,0.833984375,0.82734375,0.0328125,0.026171875
A1,image,107,02/test/ko/0107.png,896,718,732,5,19,713,159,0,0,0.8013392857142857,0.8169642857142857,0.005580357142857143,0.021205357142857144
A1,image,108,02/test/ko/0108.png,1152,736,706,79,49,657,367,0,0,0.6388888888888888,0.6128472222222222,0.0685763888888889,0.042534722222222224
A1,image,109,02/test/ko/0109.png,320,320,320,0,0,320,0,0,0,1.0,1.0,0.0,0.0
A1,image,110,02/test/ko/0110.png,2816,2269,2269,88,88,2181,459,0,0,0.8057528409090909,0.8057528409090909,0.03125,0.03125
A1,image,111,02/test/ko/0111.png,576,506,499,8,1,498,69,0,0,0.8784722222222222,0.8663194444444444,0.013888888888888888,0.001736111111111111
A1,image,112,02/test/ko/0112.png,256,255,252,3,0,252,1,0,0,0.99609375,0.984375,0.01171875,0.0
A1,image,113,02/test/ko/0113.png,768,700,699,10,9,690,59,0,0,0.9114583333333334,0.91015625,0.013020833333333334,0.01171875
A1,image,114,02/test/ko/0114.png,2048,1552,1485,106,39,1446,457,0,0,0.7578125,0.72509765625,0.0517578125,0.01904296875
