method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,metal_plate/test/good/000.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,1,metal_plate/test/good/001.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,2,metal_plate/test/good/002.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,3,metal_plate/test/good/003.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,4,metal_plate/test/good/004.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,5,metal_plate/test/good/005.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,6,metal_plate/test/good/006.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,7,metal_plate/test/good/007.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,8,metal_plate/test/good/008.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,9,metal_plate/test/good/009.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,10,metal_plate/test/good/010.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,11,metal_plate/test/good/011.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,12,metal_plate/test/good/012.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,13,metal_plate/test/good/013.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,14,metal_plate/test/good/014.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,15,metal_plate/test/good/015.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,16,metal_plate/test/good/016.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,17,metal_plate/test/good/017.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,18,metal_plate/test/good/018.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,19,metal_plate/test/good/019.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,20,metal_plate/test/good/020.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,21,metal_plate/test/good/021.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,22,metal_plate/test/good/022.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,23,metal_plate/test/good/023.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,24,metal_plate/test/good/024.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,25,metal_plate/test/good/025.png,0,0,0,0,0,0,0,0,0,,,,
A1,image,26,metal_plate/test/major_rust/000.png,4096,3746,3782,34,70,3712,280,0,0,0.91455078125,0.92333984375,0.00830078125,0.01708984375
A1,image,27,metal_plate/test/major_rust/001.png,4096,3845,3786,78,19,3767,232,0,0,0.938720703125,0.92431640625,0.01904296875,0.004638671875
A1,image,28,metal_plate/test/major_rust/002.png,4096,3713,3658,75,20,3638,363,0,0,0.906494140625,0.89306640625,0.018310546875,0.0048828125
A1,image,29,metal_plate/test/major_rust/003.png,4096,3949,3929,32,12,3917,135,0,0,0.964111328125,0.959228515625,0.0078125,0.0029296875
A1,image,30,metal_plate/test/major_rust/004.png,4096,3588,3571,61,44,3527,464,0,0,0.8759765625,0.871826171875,0.014892578125,0.0107421875
A1,image,31,metal_plate/test/major_rust/005.png,4096,3635,3608,57,30,3578,431,0,0,0.887451171875,0.880859375,0.013916015625,0.00732421875
A1,image,32,metal_plate/test/major_rust/006.png,4096,3874,3876,29,31,3845,191,0,0,0.94580078125,0.9462890625,0.007080078125,0.007568359375
A1,image,33,metal_plate/test/major_rust/007.png,4096,4008,3998,21,11,3987,77,0,0,0.978515625,0.97607421875,0.005126953125,0.002685546875
A1,image,34,metal_plate/test/major_rust/008.png,4096,3942,3919,40,17,3902,137,0,0,0.96240234375,0.956787109375,0.009765625,0.004150390625
A1,image,35,metal_plate/test/major_rust/009.png,4096,3853,3793,85,25,3768,218,0,0,0.940673828125,0.926025390625,0.020751953125,0.006103515625
A1,image,36,metal_plate/test/major_rust/010.png,4096,3893,3871,50,28,3843,175,0,0,0.950439453125,0.945068359375,0.01220703125,0.0068359375
