dataset,category,seed,shot,revision,method,pixel_ap,pixel_auroc,is_new_method
mpdd,bracket_black,0,1,study,E,0.00792436444652458,0.9349591949455838,True
mpdd,bracket_black,0,1,study,A1_J,0.010484232161356622,0.9419427536838594,False
mpdd,bracket_black,0,1,study,A1_L,0.009556229131525418,0.937041081492838,False
mpdd,bracket_black,0,1,study,DUP_J,0.012929527309435819,0.9424884326715584,False
mpdd,bracket_black,0,1,study,DUP_L,0.012060382761230528,0.938913126764366,False
mpdd,bracket_black,0,1,study,TRI_E_J,0.0106100830722938,0.9443827420667911,True
mpdd,bracket_black,0,1,study,TRI_E_L,0.009558630802027724,0.939072116204364,True
mpdd,bracket_black,0,1,study,BAL_E_J,0.008728305662289612,0.940862565966485,True
mpdd,bracket_black,0,1,study,BAL_E_L,0.007741950740346053,0.9344096284364756,True
mpdd,bracket_black,0,4,study,E,0.019809750585627995,0.9579285812407434,True
mpdd,bracket_black,0,4,study,A1_J,0.18559157635179818,0.9740839573569118,False
mpdd,bracket_black,0,4,study,A1_L,0.16876473964784217,0.978410166034851,False
mpdd,bracket_black,0,4,study,DUP_J,0.18031140142017277,0.9726147968096113,False
mpdd,bracket_black,0,4,study,DUP_L,0.16921876467679542,0.9759600938627614,False
mpdd,bracket_black,0,4,study,TRI_E_J,0.19454808065664242,0.9772611912574296,True
mpdd,bracket_black,0,4,study,TRI_E_L,0.1733424517698239,0.9804174002877921,True
mpdd,bracket_black,0,4,study,BAL_E_J,0.18372405924159746,0.9775525346741446,True
mpdd,bracket_black,0,4,study,BAL_E_L,0.1594907464478698,0.981154739173796,True
mpdd,bracket_black,1,1,study,E,0.01590938562388102,0.9491982352078792,True
mpdd,bracket_black,1,1,study,A1_J,0.11756469163354114,0.9466303999964145,False
mpdd,bracket_black,1,1,study,A1_L,0.11936835974401842,0.949256683837628,False
mpdd,bracket_black,1,1,study,DUP_J,0.13323286856994548,0.9402992573238357,False
mpdd,bracket_black,1,1,study,DUP_L,0.13344086127595936,0.9426639568096031,False
mpdd,bracket_black,1,1,study,TRI_E_J,0.12237999482607867,0.9513147614382593,True
mpdd,bracket_black,1,1,study,TRI_E_L,0.12918942154452745,0.9528815429107329,True
mpdd,bracket_black,1,1,study,BAL_E_J,0.07101086446315674,0.9544332666037737,True
mpdd,bracket_black,1,1,study,BAL_E_L,0.07206518848284993,0.9558008762643018,True
mpdd,bracket_black,1,4,study,E,0.020578999364001916,0.9566091327078939,True
mpdd,bracket_black,1,4,study,A1_J,0.10532372399485382,0.9627968360261124,False
mpdd,bracket_black,1,4,study,A1_L,0.10538234808389786,0.965353832013036,False
mpdd,bracket_black,1,4,study,DUP_J,0.10661666041634735,0.9589262058123775,False
mpdd,bracket_black,1,4,study,DUP_L,0.10371319909258477,0.9604628462618714,False
mpdd,bracket_black,1,4,study,TRI_E_J,0.11786349810270738,0.9652948486368924,True
mpdd,bracket_black,1,4,study,TRI_E_L,0.11412662534206466,0.9674795423005449,True
mpdd,bracket_black,1,4,study,BAL_E_J,0.0985125687185047,0.9670326046590365,True
mpdd,bracket_black,1,4,study,BAL_E_L,0.09370004738019677,0.9702629736775077,True
mpdd,bracket_brown,0,1,study,E,0.10425108952147327,0.9596913730799743,True
mpdd,bracket_brown,0,1,study,A1_J,0.03444585948347389,0.9098313168602559,False
mpdd,bracket_brown,0,1,study,A1_L,0.03867851710036843,0.919644801503644,False
mpdd,bracket_brown,0,1,study,DUP_J,0.03562750059539196,0.9046030161917834,False
mpdd,bracket_brown,0,1,study,DUP_L,0.038517126605211574,0.9112560810934762,False
mpdd,bracket_brown,0,1,study,TRI_E_J,0.043316143193228025,0.9271690696823863,True
mpdd,bracket_brown,0,1,study,TRI_E_L,0.04570739071514639,0.9312054819207323,True
mpdd,bracket_brown,0,1,study,BAL_E_J,0.038927090624291394,0.9274566325774515,True
