dataset,evaluation_revision,metric,contrast,encoder,encoder_key,encoder_status,n_conditions,mean,ci95_low,ci95_high,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero,point_delta,stride
mpdd,study,pixel_ap,I_TRI,S (DINOv2-S),S,baseline,4,0.006948775004053959,0.002759775251851938,0.010637102413284616,0.0019297204077052686,0.011601501404138527,True,True,0.0076709002973735785,8
mpdd,study,pixel_ap,I_TRI,D (WideResNet50-2),D,pre-specified extension,4,0.01020447401959265,0.006015345919860121,0.014717621006207427,0.005136088501626534,0.016887566757780373,True,True,0.009736654303729997,8
mpdd,study,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,post-hoc exploratory extension,4,0.008113675420906588,0.004051766271151997,0.012313374773566635,0.0024559697400283473,0.013622455758360364,True,True,0.008193675052278276,8
mpdd,study,pixel_ap,I_TRI,E2 (ConvNeXt-Tiny),E2,post-hoc exploratory extension,4,-0.00017535814658874044,-0.0024985730047156042,0.001961020967448362,-0.003584049369666766,0.002978187685033789,False,False,-0.00018647504292564065,8
mpdd,study,pixel_ap,I_TRI,E3 (Swin-Tiny),E3,post-hoc exploratory extension,4,0.01252982006246349,0.007638833016536212,0.01824934296921806,0.006440982305161415,0.020557400698421616,True,True,0.012870473172602967,8
mpdd,study,pixel_ap,I_BAL,S (DINOv2-S),S,baseline,4,0.00546955397656201,0.0017951486799582471,0.008630474697418327,0.0007827304845194826,0.00961706136859155,True,True,0.005469806652101006,8
mpdd,study,pixel_ap,I_BAL,D (WideResNet50-2),D,pre-specified extension,4,0.0068585612151054855,0.0027875161330798647,0.012182193036272257,0.001623819026713348,0.013944361088120893,True,True,0.006284159533464229,8
mpdd,study,pixel_ap,I_BAL,E1 (DINO deiT-small/8),E1,post-hoc exploratory extension,4,0.0048840719198802365,0.00017870303200139765,0.009417671551164145,-0.0013561133806321696,0.010909353500694927,True,False,0.004860771131305633,8
mpdd,study,pixel_ap,I_BAL,E2 (ConvNeXt-Tiny),E2,post-hoc exploratory extension,4,0.0007627135778202334,-0.0022986465314856477,0.004753077075969307,-0.0031526940268701313,0.005882258032879231,False,False,0.00039269600257689496,8
mpdd,study,pixel_ap,I_BAL,E3 (Swin-Tiny),E3,post-hoc exploratory extension,4,0.007447116903062729,0.0025287316163170666,0.012492837192218243,0.0005496796420787077,0.014252324609404622,True,True,0.007958128717172927,8
btad,corrected,pixel_ap,I_TRI,S (DINOv2-S),S,baseline,4,0.00028696155145998924,-0.001559955779887624,0.002391334726482933,-0.0018864672308899428,0.0029301824486413974,False,False,-7.995579826447496e-06,8
btad,corrected,pixel_ap,I_TRI,D (WideResNet50-2),D,pre-specified extension,4,0.006314626223621986,0.003733548562649305,0.009174510029621111,0.0029813446669314804,0.01002763316638257,True,True,0.0062192514187020265,8
btad,corrected,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,post-hoc exploratory extension,4,0.005834671569327225,0.0028198950166056372,0.009434138564328023,0.0017222561996220337,0.0105593439102672,True,True,0.005682808254760752,8
btad,corrected,pixel_ap,I_TRI,E2 (ConvNeXt-Tiny),E2,post-hoc exploratory extension,4,0.0027755551415281137,0.0016844332778784257,0.004341377187885995,0.0015182522665971292,0.0049353335793966575,True,True,0.0026874772407942393,8
btad,corrected,pixel_ap,I_TRI,E3 (Swin-Tiny),E3,post-hoc exploratory extension,4,0.004880957455720569,0.0026177794954637293,0.007834293559796262,0.0021681126077140716,0.009056424335357995,True,True,0.004778349364372408,8
btad,corrected,pixel_ap,I_BAL,S (DINOv2-S),S,baseline,4,-0.0005209421825373564,-0.002313427977669937,0.0015438016616149903,-0.002729140133990354,0.002080075995393985,False,False,-0.0008369939471968291,8
btad,corrected,pixel_ap,I_BAL,D (WideResNet50-2),D,pre-specified extension,4,0.005238034469989172,0.0023877728208764877,0.008827992083292229,0.0018828184352207371,0.009948754123030312,True,True,0.005012147241435255,8
btad,corrected,pixel_ap,I_BAL,E1 (DINO deiT-small/8),E1,post-hoc exploratory extension,4,0.0022431349015296326,-0.0007849732199877149,0.005384257874061277,-0.0015750027059980081,0.006486510965584169,False,False,0.002098306672269845,8
btad,corrected,pixel_ap,I_BAL,E2 (ConvNeXt-Tiny),E2,post-hoc exploratory extension,4,0.004218819560660888,0.0020304891982820847,0.007700764871457727,0.0015792100418951694,0.008723109145638862,True,True,0.003980898191868559,8
btad,corrected,pixel_ap,I_BAL,E3 (Swin-Tiny),E3,post-hoc exploratory extension,4,0.004651016930234709,0.0022721140207432504,0.008092019737880984,0.001707418883995149,0.009547767038239502,True,True,0.004481845384118804,8
