dataset,evaluation_revision,metric,branch,contrast,n_conditions,conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,n_replicates,effect_scale
mpdd,study,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.041061316024751944,0.04168318150821744,0.030326905711207348,0.05614523645953674,1000,0.005
mpdd,study,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.026939730863778114,0.027715269329223417,0.016093646713115604,0.040158897168437895,1000,0.005
mpdd,study,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.029120238062136147,0.029545876378694033,0.019131419243459295,0.04208720084846239,1000,0.005
mpdd,study,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.019268812238055308,0.020157491228095667,0.009505965589502135,0.03208195622199679,1000,0.005
btad,corrected,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.03267106586670674,0.03224281730050193,0.020477227339731806,0.042926225608949806,1000,0.005
btad,corrected,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.02973824870222101,0.029263581627498564,0.018377216867232028,0.039817051671505725,1000,0.005
btad,corrected,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.011297307061114129,0.010679554282253185,-0.004199936046852546,0.023164495853816768,1000,0.005
btad,corrected,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.009604001584928218,0.008878483196943043,-0.005485891043356158,0.02142933160241402,1000,0.005
btad,study,pixel_ap,E3,E_TRI_E_L: TRI_E_L - DUP_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.03254309042578558,0.0321510160630931,0.020323932949755843,0.04277947463663355,1000,0.005
btad,study,pixel_ap,E3,E_TRI_E_J: TRI_E_J - DUP_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.029719483567893723,0.029272834431562835,0.01824976356730761,0.03967801555351321,1000,0.005
btad,study,pixel_ap,E3,E_BAL_E_L: BAL_E_L - A1_L,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.011200112458465842,0.010626637796241595,-0.004185045716524312,0.02295614930925084,1000,0.005
btad,study,pixel_ap,E3,E_BAL_E_J: BAL_E_J - A1_J,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.009691055328555668,0.009004901034511964,-0.005188177716882655,0.021257350710385866,1000,0.005
