dataset,evaluation_revision,metric,contrast,encoder,encoder_key,comparison,n_conditions,conditions,s_mean,encoder_mean,difference_mean,difference_ci95_low,difference_ci95_high,difference_ci9875_low,difference_ci9875_high,difference_ci95_excludes_zero,difference_ci9875_excludes_zero,pairing
mpdd,study,pixel_ap,I_TRI,D (WideResNet50-2),D,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.01020447401959265,0.00325569901553869,-0.001928553579893591,0.00933531101405887,-0.002964437152950343,0.011183909973609896,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.009952522912272034,0.0030037479082180747,-0.0022790432646279334,0.008603025782249875,-0.004103236801531748,0.010523902259500086,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E2 (ConvNeXt-Tiny),E2,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,-0.00038041502330279215,-0.0073291900273567525,-0.010945649656237545,-0.0031850183314512375,-0.012055541933971011,-0.002240314596456099,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_TRI,E3 (Swin-Tiny),E3,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.006948775004053959,0.01396791217899402,0.0070191371749400615,0.001865383976918797,0.012265521546471989,0.00043406792444616963,0.013736804809873496,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,D (WideResNet50-2),D,I_BAL_D - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0068585612151054855,0.0013890072385434747,-0.002764388244653583,0.0065024637352281995,-0.003720766207940008,0.00805543985422599,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E1 (DINO deiT-small/8),E1,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.007469564399186048,0.0020000104226240386,-0.0029496053010786448,0.007166210843937963,-0.003962018678394711,0.009461815383259454,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E2 (ConvNeXt-Tiny),E2,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.0003624411693288211,-0.00510711280723319,-0.008485210397953014,-0.0014465121127645595,-0.009247816126281711,-0.00019580357177540503,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
mpdd,study,pixel_ap,I_BAL,E3 (Swin-Tiny),E3,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,0.00546955397656201,0.009388385150598368,0.003918831174036357,-0.00043830037914256454,0.008193611474912155,-0.002036145001107911,0.009973779664030945,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,D (WideResNet50-2),D,I_TRI_D - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.006314626223621986,0.006027664672161995,0.0032594584821576964,0.008756405067387429,0.0025534246245762096,0.009449898315319479,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,E1 (DINO deiT-small/8),E1,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.0044112790693151835,0.004124317517855195,0.0015280415142145687,0.006880839030613896,0.00034965414624146097,0.007662996691293774,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,E2 (ConvNeXt-Tiny),E2,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.0017847224055549775,0.001497760854094988,-0.0004035500282815677,0.003337913468418903,-0.0010328256748115244,0.0037639818825120205,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_TRI,E3 (Swin-Tiny),E3,I_TRI_E - I_TRI,4,s0k1;s0k4;s1k1;s1k4,0.00028696155145998924,0.002979235673003361,0.0026922741215433714,0.00027009684974954357,0.005140203611812868,-0.0005714593611480432,0.005728674059462567,True,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_BAL,D (WideResNet50-2),D,I_BAL_D - I_BAL,4,s0k1;s0k4;s1k1;s1k4,-0.0005209421825373564,0.005238034469989172,0.005758976652526528,0.002754522486717146,0.009491223892092995,0.0020392104493736855,0.010598353266804063,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_BAL,E1 (DINO deiT-small/8),E1,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,-0.0005209421825373564,0.0017376959547885547,0.002258638137325911,-0.00043821669985007444,0.004900756610749239,-0.0015714167461545559,0.00547342065590016,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_BAL,E2 (ConvNeXt-Tiny),E2,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,-0.0005209421825373564,0.002258728907694763,0.002779671090232119,0.0005861467693975924,0.00524050926362701,0.00011254815646741588,0.006200305993030453,True,True,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
btad,corrected,pixel_ap,I_BAL,E3 (Swin-Tiny),E3,I_BAL_E - I_BAL,4,s0k1;s0k4;s1k1;s1k4,-0.0005209421825373564,0.0018010710853101424,0.002322013267847499,-0.00014096527747574442,0.004959226989020966,-0.0007020480421864503,0.005504332678128387,False,False,"both series are indexed by the same image-resampling stream, so the difference is formed inside each replicate before percentiling; S is restricted to the same seed/K conditions and the same S0 revision"
