config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.0007122671813704073,0.0027660191990435123,0.06022325158119202,0.8250279017857143,0.0043274639174342155,-0.001199541031382978,4741,0.0026554286014288664,-0.0006777556263841689,66939
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.0005939789116382599,0.0033090822398662567,0.06603187322616577,0.9993582589285714,0.004834514576941729,-0.0003600413620006293,4741,0.003201042301952839,-0.0006105477805249393,66939
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.000565949478186667,0.00321849063038826,0.08151718974113464,0.9390764508928572,0.004981759004294872,-0.00020463760301936418,4741,0.003093605861067772,-0.0005915395449846983,66939
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.015098964795470238,0.015805143862962723,0.11603838205337524,0.9988560267857143,0.011612878181040287,-0.009843328967690468,4741,0.01610206440091133,-0.015471196733415127,66939
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.015126318670809269,0.015865150839090347,0.11973607540130615,0.9987444196428571,0.010629040189087391,-0.008905952796339989,4741,0.01623600348830223,-0.015566881746053696,66939
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.015290403738617897,0.01598428748548031,0.12465152144432068,0.9991350446428572,0.011834866367280483,-0.010133646428585052,4741,0.01627817377448082,-0.0156556349247694,66939
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.0007404568023048341,0.0026884227991104126,0.05818742513656616,0.8628627232142857,0.0036773006431758404,-0.0011156285181641579,4741,0.0026183845475316048,-0.0007138850633054972,66939
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.0005874104681424797,0.003147090319544077,0.05646955966949463,0.9993722098214286,0.004346518777310848,-0.0004168266896158457,4741,0.0030621401965618134,-0.0005994922248646617,66939
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.0005209474475122988,0.003019730094820261,0.057159021496772766,0.9333844866071429,0.00429888442158699,-0.0004151528119109571,4741,0.0029291328974068165,-0.0005284404614940286,66939
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.014858707785606384,0.015452993102371693,0.10595053434371948,0.9990234375,0.010982615873217583,-0.009435531683266163,4741,0.015769610181450844,-0.015242807567119598,66939
