method,image_index,sample_id,image_label,region,grid,boundary_count,patch_count,mean,p05,p25,median,p75,p95,min,max
A1_G,0,01/test/ko/0000.bmp,1,abnormal_normal,32x32,116,795,0.007285669614683907,0.0,0.00022226572036743164,0.0035139620304107666,0.010975688695907593,0.0259453684091568,0.0,0.14663013815879822
A1_G,0,01/test/ko/0000.bmp,1,defect,32x32,116,229,0.010959545337477105,0.001043611764907837,0.0054216086864471436,0.0095042884349823,0.014998048543930054,0.024589204788208002,0.0,0.03581362962722778
A1_G,0,01/test/ko/0000.bmp,1,clean_defect,32x32,116,113,0.011209790685535532,0.0012246251106262209,0.006827801465988159,0.01042744517326355,0.015106499195098877,0.02399058938026428,0.0,0.02953881025314331
A1_G,0,01/test/ko/0000.bmp,1,boundary,32x32,116,116,0.010715771851868465,0.0007510855793952942,0.0046197474002838135,0.009196281433105469,0.014437377452850342,0.025057345628738403,0.0,0.03581362962722778
A1_G,1,01/test/ko/0001.bmp,1,abnormal_normal,32x32,74,875,0.007689231055123465,0.0,0.0003252178430557251,0.004344969987869263,0.011623665690422058,0.027315583825111366,0.0,0.07854759693145752
A1_G,1,01/test/ko/0001.bmp,1,defect,32x32,74,149,0.011990198953039695,0.0007669627666473389,0.007470995187759399,0.010828077793121338,0.016233503818511963,0.024457234144210815,0.0,0.036422938108444214
A1_G,1,01/test/ko/0001.bmp,1,clean_defect,32x32,74,75,0.014379680554072061,0.0035740822553634644,0.009740903973579407,0.014171510934829712,0.01836821436882019,0.027183863520622253,0.0,0.036422938108444214
A1_G,1,01/test/ko/0001.bmp,1,boundary,32x32,74,74,0.009568427060101484,0.00011318773031234747,0.003927677869796753,0.009787321090698242,0.013343773782253265,0.022028237581253045,0.0,0.025119394063949585
A1_G,2,01/test/ko/0002.bmp,1,abnormal_normal,32x32,61,948,0.006912683132831558,0.0,3.318488597869873e-05,0.0032605230808258057,0.010958962142467499,0.0255045711994171,0.0,0.06473362445831299
A1_G,2,01/test/ko/0002.bmp,1,defect,32x32,61,76,0.009132435839427145,0.0,0.002807728946208954,0.006930038332939148,0.0131305530667305,0.022912509739398956,0.0,0.03439420461654663
A1_G,2,01/test/ko/0002.bmp,1,clean_defect,32x32,61,15,0.01106564998626709,0.0027892589569091797,0.005245715379714966,0.01219940185546875,0.015704408288002014,0.02137937247753143,0.002022385597229004,0.02226179838180542
A1_G,2,01/test/ko/0002.bmp,1,boundary,32x32,61,61,0.008657055311515683,0.0,0.0021693408489227295,0.00642085075378418,0.01306191086769104,0.024864643812179565,0.0,0.03439420461654663
A1_G,3,01/test/ko/0003.bmp,1,abnormal_normal,32x32,8,1016,0.006811205209709528,0.0,0.0,0.0031904876232147217,0.010441556572914124,0.02508939802646637,0.0,0.05357232689857483
A1_G,3,01/test/ko/0003.bmp,1,defect,32x32,8,8,0.02171173319220543,0.003563894331455231,0.008631296455860138,0.014120936393737793,0.036309435963630676,0.04824502766132354,0.0012477636337280273,0.0539933443069458
A1_G,3,01/test/ko/0003.bmp,1,clean_defect,32x32,8,0,,,,,,,,
A1_G,3,01/test/ko/0003.bmp,1,boundary,32x32,8,8,0.02171173319220543,0.003563894331455231,0.008631296455860138,0.014120936393737793,0.036309435963630676,0.04824502766132354,0.0012477636337280273,0.0539933443069458
A1_G,4,01/test/ko/0004.bmp,1,abnormal_normal,32x32,31,986,0.0074248577469986305,0.0,7.468461990356445e-05,0.003827214241027832,0.011295348405838013,0.027565672993659973,0.0,0.05259579420089722
A1_G,4,01/test/ko/0004.bmp,1,defect,32x32,31,38,0.015562961760320161,0.0,0.0036150962114334106,0.008861899375915527,0.02488718181848526,0.04187532663345334,0.0,0.06045833230018616
A1_G,4,01/test/ko/0004.bmp,1,clean_defect,32x32,31,7,0.011862857001168388,0.0017247259616851808,0.0037089884281158447,0.004499495029449463,0.019751131534576416,0.029860106110572812,0.0009548068046569824,0.030665457248687744
A1_G,4,01/test/ko/0004.bmp,1,boundary,32x32,31,31,0.01639846928658024,0.0,0.0036713331937789917,0.009588062763214111,0.024829760193824768,0.04827016592025757,0.0,0.06045833230018616
A1_G,5,01/test/ko/0005.bmp,1,abnormal_normal,32x32,64,903,0.007293837048022586,0.0,0.00034669041633605957,0.003988385200500488,0.011188238859176636,0.025698187947273254,0.0,0.05920317769050598
A1_G,5,01/test/ko/0005.bmp,1,defect,32x32,64,121,0.01138057418106016,0.0003597736358642578,0.004545241594314575,0.009727180004119873,0.015273451805114746,0.03005528450012207,0.0,0.04108521342277527
A1_G,5,01/test/ko/0005.bmp,1,clean_defect,32x32,64,57,0.012718506549534044,0.0021377742290496827,0.006255060434341431,0.011068373918533325,0.016887366771697998,0.03027082681655883,0.0003597736358642578,0.037286728620529175
A1_G,5,01/test/ko/0005.bmp,1,boundary,32x32,64,64,0.010188978165388107,0.0,0.00331076979637146,0.007985353469848633,0.013944007456302643,0.026632234454154958,0.0,0.04108521342277527
A1_G,6,01/test/ko/0006.bmp,1,abnormal_normal,32x32,70,880,0.007840162176977505,0.0,0.0005365088582038879,0.004402950406074524,0.012324199080467224,0.025522196292877188,0.0,0.07543936371803284
A1_G,6,01/test/ko/0006.bmp,1,defect,32x32,70,144,0.010611086462934812,0.00035512447357177745,0.003641091287136078,0.008192986249923706,0.015022650361061096,0.027537108957767484,0.0,0.06166505813598633
A1_G,6,01/test/ko/0006.bmp,1,clean_defect,32x32,70,74,0.011706621260256381,0.001468336582183838,0.005325920879840851,0.009472310543060303,0.016634978353977203,0.026794074475765216,0.0006491243839263916,0.06166505813598633
A1_G,6,01/test/ko/0006.bmp,1,boundary,32x32,70,70,0.009452949677194868,0.0,0.001766689121723175,0.007156461477279663,0.014476858079433441,0.027510528266429902,0.0,0.05847370624542236
A1_G,7,01/test/ko/0007.bmp,1,abnormal_normal,32x32,61,924,0.007712884156992941,0.0,0.00024402886629104614,0.003968223929405212,0.012016385793685913,0.0274791419506073,0.0,0.07564526796340942
A1_G,7,01/test/ko/0007.bmp,1,defect,32x32,61,100,0.010902279019355775,2.0837783813476567e-05,0.003802083432674408,0.008670121431350708,0.014759458601474762,0.02602426260709762,0.0,0.0478169322013855
A1_G,7,01/test/ko/0007.bmp,1,clean_defect,32x32,61,39,0.011341522137324015,1.9741058349609378e-05,0.0029593855142593384,0.008399993181228638,0.017262250185012817,0.027330225706100483,0.0,0.046145498752593994
A1_G,7,01/test/ko/0007.bmp,1,boundary,32x32,61,61,0.010621451452130178,0.00013631582260131836,0.003839045763015747,0.009302020072937012,0.014480352401733398,0.025365233421325684,0.0,0.0478169322013855
A1_G,8,01/test/ko/0008.bmp,1,abnormal_normal,32x32,67,896,0.007944650848263077,0.0,0.00020182877779006958,0.0037196576595306396,0.01277989149093628,0.02768770605325699,0.0,0.07482963800430298
