method,pixel_auroc,pixel_ap,image_auroc,image_ap,image_f1_max
B,0.9620771040473739,0.584567279655571,0.8965000000000001,0.9832309992483952,0.9476190476190477
S,0.9634995445963039,0.6436032705632826,0.9136666666666666,0.9863435632114342,0.9491525423728814
C,0.9412413364508548,0.5181137477211244,0.7678333333333334,0.9617397233779568,0.9302325581395349
A1_J,0.9646448287991513,0.6208628087779396,0.9128333333333333,0.9861484436552467,0.9502487562189055
TRI_J,0.9662418421162485,0.6588760960612415,0.9116666666666667,0.9861658665974956,0.9423558897243106
BAL_J,0.9668976821916262,0.6646405354572622,0.9151666666666667,0.9868440948802354,0.9431279620853079
DUP_J,0.9636946696523844,0.6072963798911996,0.9068333333333334,0.9850620343822698,0.9452736318407959
DUP_BAL_J,0.9646448287991513,0.6208628087779396,0.9128333333333333,0.9861484436552467,0.9502487562189055
DUP_EXPECTED_J,0.9636946696523844,0.6072963798911996,0.9068333333333334,0.9850620343822698,0.9452736318407959
A1_L,0.964970587814991,0.6256448087814968,0.903,0.9844931484497388,0.9501187648456058
DUP_L,0.963953695421325,0.6110340638500854,0.8993333333333333,0.9837966609284567,0.9501187648456058
TRI_L,0.9665313114572243,0.66350888455733,0.9141666666666666,0.9864425995118085,0.9514563106796116
BAL_L,0.967220984163281,0.6694770114256883,0.9124999999999999,0.986186162755447,0.9491525423728814
