method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,0,01/test/ko/0000.bmp,4096,3858,3826,54,22,3804,216,0,0,0.94189453125,0.93408203125,0.01318359375,0.00537109375
A1,image,1,01/test/ko/0001.bmp,4096,3620,3626,29,35,3591,441,0,0,0.8837890625,0.88525390625,0.007080078125,0.008544921875
A1,image,2,01/test/ko/0002.bmp,4096,3683,3550,168,35,3515,378,0,0,0.899169921875,0.86669921875,0.041015625,0.008544921875
A1,image,3,01/test/ko/0003.bmp,512,392,391,7,6,385,114,0,0,0.765625,0.763671875,0.013671875,0.01171875
A1,image,4,01/test/ko/0004.bmp,2432,2138,2150,27,39,2111,255,0,0,0.8791118421052632,0.884046052631579,0.011101973684210526,0.016036184210526317
A1,image,5,01/test/ko/0005.bmp,4096,3360,3336,68,44,3292,692,0,0,0.8203125,0.814453125,0.0166015625,0.0107421875
A1,image,6,01/test/ko/0006.bmp,4096,3667,3594,85,12,3582,417,0,0,0.895263671875,0.87744140625,0.020751953125,0.0029296875
A1,image,7,01/test/ko/0007.bmp,4096,3387,3297,144,54,3243,655,0,0,0.826904296875,0.804931640625,0.03515625,0.01318359375
A1,image,8,01/test/ko/0008.bmp,4096,3372,3300,105,33,3267,691,0,0,0.8232421875,0.8056640625,0.025634765625,0.008056640625
A1,image,9,01/test/ko/0009.bmp,1920,1450,1425,77,52,1373,418,0,0,0.7552083333333334,0.7421875,0.04010416666666667,0.027083333333333334
A1,image,10,01/test/ko/0010.bmp,4096,3577,3544,50,17,3527,502,0,0,0.873291015625,0.865234375,0.01220703125,0.004150390625
A1,image,11,01/test/ko/0011.bmp,1472,982,1017,62,97,920,393,0,0,0.6671195652173914,0.6908967391304348,0.042119565217391304,0.06589673913043478
A1,image,12,01/test/ko/0012.bmp,4096,3330,3268,98,36,3232,730,0,0,0.81298828125,0.7978515625,0.02392578125,0.0087890625
A1,image,13,01/test/ko/0013.bmp,3840,3373,3365,80,72,3293,395,0,0,0.8783854166666667,0.8763020833333334,0.020833333333333332,0.01875
A1,image,14,01/test/ko/0014.bmp,4096,3668,3646,57,35,3611,393,0,0,0.8955078125,0.89013671875,0.013916015625,0.008544921875
A1,image,15,01/test/ko/0015.bmp,4096,3595,3561,63,29,3532,472,0,0,0.877685546875,0.869384765625,0.015380859375,0.007080078125
A1,image,16,01/test/ko/0016.bmp,4096,3644,3626,29,11,3615,441,0,0,0.8896484375,0.88525390625,0.007080078125,0.002685546875
A1,image,17,01/test/ko/0017.bmp,1984,1719,1725,58,64,1661,201,0,0,0.8664314516129032,0.8694556451612904,0.029233870967741934,0.03225806451612903
A1,image,18,01/test/ko/0018.bmp,2816,2690,2692,25,27,2665,99,0,0,0.9552556818181818,0.9559659090909091,0.00887784090909091,0.009588068181818182
A1,image,19,01/test/ko/0019.bmp,768,670,678,6,14,664,84,0,0,0.8723958333333334,0.8828125,0.0078125,0.018229166666666668
A1,image,20,01/test/ko/0020.bmp,2176,1700,1688,45,33,1655,443,0,0,0.78125,0.7757352941176471,0.02068014705882353,0.015165441176470588
A1,image,21,01/test/ko/0021.bmp,3712,1910,1788,170,48,1740,1754,0,0,0.5145474137931034,0.4816810344827586,0.045797413793103446,0.01293103448275862
A1,image,22,01/test/ko/0022.bmp,2624,2260,2241,46,28,2213,336,0,1,0.8612804878048781,0.8540396341463414,0.01753048780487805,0.010670731707317074
A1,image,23,01/test/ko/0023.bmp,3776,3384,3284,134,34,3250,358,0,0,0.8961864406779662,0.8697033898305084,0.03548728813559322,0.009004237288135594
A1,image,24,01/test/ko/0024.bmp,4096,3592,3590,43,41,3549,463,0,0,0.876953125,0.87646484375,0.010498046875,0.010009765625
A1,image,25,01/test/ko/0025.bmp,2816,2203,2206,59,62,2144,551,0,0,0.7823153409090909,0.7833806818181818,0.020951704545454544,0.022017045454545456
A1,image,26,01/test/ko/0026.bmp,1536,1486,1474,15,3,1471,47,0,0,0.9674479166666666,0.9596354166666666,0.009765625,0.001953125
A1,image,27,01/test/ko/0028.bmp,4096,3880,3881,15,16,3865,200,0,0,0.947265625,0.947509765625,0.003662109375,0.00390625
A1,image,28,01/test/ko/0029.bmp,4096,3706,3621,104,19,3602,371,0,0,0.90478515625,0.884033203125,0.025390625,0.004638671875
