config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.014939672313630581,0.018753422424197197,0.1723848283290863,0.9999112215909091,0.04510996863245964,-0.04164384305477142,819,0.018476780503988266,-0.014659383334219456,78029
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.015578977763652802,0.019359184429049492,0.1872585117816925,0.999315137987013,0.05313863977789879,-0.050074510276317596,819,0.019004633650183678,-0.015216909348964691,78029
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.015676146373152733,0.019130419939756393,0.2029615044593811,0.9997463474025974,0.04936926066875458,-0.046623483300209045,819,0.018813030794262886,-0.015351316891610622,78029
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.014253622852265835,0.017541958019137383,0.1723848283290863,0.9999239042207793,0.03900573030114174,-0.03609193488955498,819,0.017316672950983047,-0.014024403877556324,78029
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.015170024707913399,0.01845468208193779,0.1757740080356598,0.9990868506493507,0.0519479475915432,-0.04933544620871544,819,0.018103130161762238,-0.014811421744525433,78029
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.01506901066750288,0.01812089793384075,0.19418968260288239,0.9997843952922078,0.047115255147218704,-0.04458937793970108,819,0.0178165715187788,-0.014759164303541183,78029
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04810716211795807,0.048183225095272064,0.2183380424976349,1.0,0.06461378186941147,-0.06454463303089142,819,0.04801076278090477,-0.0479346364736557,78029
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.048857223242521286,0.04894990846514702,0.23393243551254272,0.9990107548701299,0.08250562101602554,-0.08241811394691467,819,0.048597704619169235,-0.048504967242479324,78029
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.049645524471998215,0.04975130781531334,0.24125291407108307,0.9998604910714286,0.08896533399820328,-0.0888543501496315,819,0.049339715391397476,-0.04923399165272713,78029
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.01275610737502575,0.016086777672171593,0.14953747391700745,0.9999239042207793,0.03549822047352791,-0.03259009122848511,819,0.015883034095168114,-0.012547927908599377,78029
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.01312965713441372,0.016474230214953423,0.1422373652458191,0.9990107548701299,0.042350515723228455,-0.039688024669885635,819,0.01620263233780861,-0.012850898317992687,78029
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.013135002925992012,0.01625562272965908,0.14430509507656097,0.9997590300324676,0.03896464407444,-0.03647337108850479,819,0.016017267480492592,-0.012890039943158627,78029
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.06190607324242592,0.061986736953258514,0.27719220519065857,1.0,0.08029105514287949,-0.08027568459510803,819,0.06179461628198624,-0.06171325966715813,78029
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.06254702061414719,0.06264592707157135,0.3102421164512634,0.9989346590909091,0.10429242253303528,-0.10422937572002411,819,0.062208790332078934,-0.06210951879620552,78029
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.0638565868139267,0.06397105753421783,0.3216705620288849,0.9998351258116883,0.11268968880176544,-0.11260673403739929,819,0.06345970183610916,-0.06334488838911057,78029
