config,base,permuted_branch,permutation_index,mean_delta,mean_abs_delta,max_abs_delta,frac_changed_gt_1e-6,defect_mean_abs_delta,defect_mean_delta,defect_n_patches,normal_mean_abs_delta,normal_mean_delta,normal_n_patches
A1_J__perm_C_cross_p00,A1_J,C_cross,00,-0.004369289148598909,0.008209958672523499,0.1135166585445404,0.9998259591584159,0.010953717865049839,-0.006268629804253578,1544,0.008168376982212067,-0.004340504761785269,101880
A1_J__perm_C_cross_p01,A1_J,C_cross,01,-0.004619994200766087,0.008319014683365822,0.09410688281059265,0.9997582766089109,0.011482215486466885,-0.00710946274921298,1544,0.00827107671648264,-0.0045822663232684135,101880
A1_J__perm_C_cross_p02,A1_J,C_cross,02,-0.004240917041897774,0.007882296107709408,0.12022492289543152,0.9997389387376238,0.011120774783194065,-0.006564464420080185,1544,0.007833216339349747,-0.004205703269690275,101880
A1_J__perm_C_within_p00,A1_J,C_within,00,-0.014020691625773907,0.015565747395157814,0.1288285255432129,0.9985109839108911,0.018216997385025024,-0.015016498975455761,1544,0.015525566413998604,-0.014005601406097412,101880
A1_J__perm_C_within_p01,A1_J,C_within,01,-0.014258300885558128,0.015832502394914627,0.1724620759487152,0.9987720451732673,0.018794234842061996,-0.01624453440308571,1544,0.01578761823475361,-0.01422820333391428,101880
A1_J__perm_C_within_p02,A1_J,C_within,02,-0.014582398347556591,0.016144003719091415,0.16588756442070007,0.9995358910891089,0.019831717014312744,-0.016772771254181862,1544,0.01608811691403389,-0.014549204148352146,101880
BAL_J__perm_C_cross_p00,BAL_J,C_cross,00,-0.004246314521878958,0.007685653865337372,0.09590621292591095,0.9998549659653465,0.010190282016992569,-0.006234464235603809,1544,0.0076476954855024815,-0.0042161839082837105,101880
BAL_J__perm_C_cross_p01,BAL_J,C_cross,01,-0.004488992039114237,0.007772653363645077,0.09391701221466064,0.9998066212871287,0.010753274895250797,-0.007171776611357927,1544,0.007727480959147215,-0.004448334686458111,101880
BAL_J__perm_C_cross_p02,BAL_J,C_cross,02,-0.004138910677284002,0.0073891873471438885,0.113284632563591,0.9997679455445545,0.010297640226781368,-0.006422786507755518,1544,0.007345109712332487,-0.004104298073798418,101880
BAL_J__perm_C_within_p00,BAL_J,C_within,00,-0.013575570657849312,0.014905073679983616,0.12687069177627563,0.9990137685643564,0.016963891685009003,-0.01440517045557499,1544,0.014873870648443699,-0.013562996871769428,101880
BAL_J__perm_C_within_p01,BAL_J,C_within,01,-0.013700226321816444,0.015048790723085403,0.16297852993011475,0.9988590655940595,0.017606249079108238,-0.01575823500752449,1544,0.015010032802820206,-0.013669039122760296,101880
BAL_J__perm_C_within_p02,BAL_J,C_within,02,-0.013986482284963131,0.015352042391896248,0.16484901309013367,0.9995068842821783,0.017919087782502174,-0.015862254425883293,1544,0.015313138253986835,-0.013958056457340717,101880
BAL_J__perm_S_cross_p00,BAL_J,S_cross,00,-0.012494540773332119,0.01370976958423853,0.13891558349132538,0.9999516553217822,0.022481469437479973,-0.021885650232434273,1544,0.01357683353126049,-0.012352216988801956,101880
BAL_J__perm_S_cross_p01,BAL_J,S_cross,01,-0.012654026970267296,0.013880808837711811,0.14058047533035278,0.9999516553217822,0.021991826593875885,-0.021442443132400513,1544,0.013757886365056038,-0.012520838528871536,101880
BAL_J__perm_S_cross_p02,BAL_J,S_cross,02,-0.011215505190193653,0.012378983199596405,0.1334633231163025,0.9999226485148515,0.019409118220210075,-0.018463896587491035,1544,0.012272441759705544,-0.011105655692517757,101880
BAL_J__perm_S_within_p00,BAL_J,S_within,00,-0.04257458448410034,0.042622603476047516,0.17986617982387543,0.9989847617574258,0.03308877348899841,-0.03293846175074577,1544,0.04276709631085396,-0.04272061213850975,101880
BAL_J__perm_S_within_p01,BAL_J,S_within,01,-0.043164417147636414,0.04320603981614113,0.1878267377614975,0.998801051980198,0.034364353865385056,-0.03421178460121155,1544,0.043340034782886505,-0.043300092220306396,101880
BAL_J__perm_S_within_p02,BAL_J,S_within,02,-0.04431188106536865,0.044349800795316696,0.1909363567829132,0.9994778774752475,0.03403427079319954,-0.03384680300951004,1544,0.044506147503852844,-0.04447047784924507,101880
TRI_J__perm_C_cross_p00,TRI_J,C_cross,00,-0.004118070472031832,0.00740016857162118,0.09454654157161713,0.9998259591584159,0.00980724673718214,-0.006201615557074547,1544,0.007363689597696066,-0.004086493980139494,101880
TRI_J__perm_C_cross_p01,TRI_J,C_cross,01,-0.004402786958962679,0.0075683919712901115,0.08445188403129578,0.999777614480198,0.010473877191543579,-0.007051120977848768,1544,0.007524358574301004,-0.00436265068128705,101880
TRI_J__perm_C_cross_p02,TRI_J,C_cross,02,-0.0040919897146523,0.007174321915954351,0.08542268723249435,0.9997486076732673,0.009964430704712868,-0.006291390862315893,1544,0.007132037077099085,-0.004058656748384237,101880
TRI_J__perm_C_within_p00,TRI_J,C_within,00,-0.012355737388134003,0.013836966827511787,0.1128876656293869,0.9990717821782178,0.017411358654499054,-0.014914448373019695,1544,0.013782800175249577,-0.012316958978772163,101880
TRI_J__perm_C_within_p01,TRI_J,C_within,01,-0.012507912702858448,0.014015313237905502,0.11601636558771133,0.9989170792079208,0.01840350218117237,-0.016477422788739204,1544,0.01394880935549736,-0.012447754852473736,101880
TRI_J__perm_C_within_p02,TRI_J,C_within,02,-0.012757310643792152,0.014291522093117237,0.11531637609004974,0.9995165532178217,0.01792365312576294,-0.015836384147405624,1544,0.014236478134989738,-0.012710647657513618,101880
TRI_J__perm_S_cross_p00,TRI_J,S_cross,00,-0.015817314386367798,0.017252076417207718,0.17032653093338013,0.999932317450495,0.02829810418188572,-0.027448555454611778,1544,0.017084673047065735,-0.015641039237380028,101880
TRI_J__perm_S_cross_p01,TRI_J,S_cross,01,-0.01610104739665985,0.017540615051984787,0.1786288022994995,0.9999129795792079,0.028251586481928825,-0.02735656499862671,1544,0.01737828738987446,-0.01593047007918358,101880
TRI_J__perm_S_cross_p02,TRI_J,S_cross,02,-0.014072572812438011,0.015465316362679005,0.17317289113998413,0.9998936417079208,0.024915773421525955,-0.023618925362825394,1544,0.015322093851864338,-0.01392789650708437,101880
TRI_J__perm_S_within_p00,TRI_J,S_within,00,-0.05363770201802254,0.053697675466537476,0.23647594451904297,0.9990717821782178,0.04234304651618004,-0.04218161851167679,1544,0.05386975035071373,-0.053811319172382355,101880
TRI_J__perm_S_within_p01,TRI_J,S_within,01,-0.054358724504709244,0.05440797284245491,0.21428248286247253,0.9989460860148515,0.04354862868785858,-0.043342940509319305,1544,0.05457254871726036,-0.054525669664144516,101880
TRI_J__perm_S_within_p02,TRI_J,S_within,02,-0.05584178492426872,0.05588335171341896,0.24211381375789642,0.9995455600247525,0.043360937386751175,-0.04312954097986221,1544,0.056073129177093506,-0.05603443831205368,101880
